date,campaign_id,campaign_name,ad_group_id,ad_group_name,ad_group_status,impressions,clicks,conversions,spend
"2026-08-31","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869451f308192941498bf69f65c1c","Truck Accidents  / landverpersonalinjury.com","paused","26","2","0","15.68"
"2026-08-31","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886994267c8192810f5cae7ffda13c","Motorcycle Accidents / landverpersonalinjury.com","paused","168","2","0","10.23"
"2026-08-31","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6da2256adef8819296758767bbf33170","Cell A - Offer Interception","paused","802","6","0","46.4"
"2026-08-31","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_8ebd4a1bd5a08192a33f5c9fcab5ae80","Cell C - Situation Specificity","paused","68","1","0","7.74"
"2026-08-30","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869451f308192941498bf69f65c1c","Truck Accidents  / landverpersonalinjury.com","paused","52","1","0","7.78"
"2026-08-30","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886994267c8192810f5cae7ffda13c","Motorcycle Accidents / landverpersonalinjury.com","paused","389","1","0","4.07"
"2026-08-30","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6da2256adef8819296758767bbf33170","Cell A - Offer Interception","paused","1017","6","0","46.76"
"2026-08-30","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_8ebd4a1bd5a08192a33f5c9fcab5ae80","Cell C - Situation Specificity","paused","294","2","0","13.42"
"2026-08-29","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869451f308192941498bf69f65c1c","Truck Accidents  / landverpersonalinjury.com","paused","16","0","0","0"
"2026-08-29","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886994267c8192810f5cae7ffda13c","Motorcycle Accidents / landverpersonalinjury.com","paused","151","0","0","0"
"2026-08-29","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6da2256adef8819296758767bbf33170","Cell A - Offer Interception","paused","274","3","0","17.34"
"2026-08-29","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_8ebd4a1bd5a08192a33f5c9fcab5ae80","Cell C - Situation Specificity","paused","33","0","0","0"
"2026-08-29","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_b53dfe8fcc9481929ffe61e9858e11a2","Cell D - Human Not Call Center","paused","989","4","0","29.47"
"2026-08-28","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869451f308192941498bf69f65c1c","Truck Accidents  / landverpersonalinjury.com","paused","39","0","0","0"
"2026-08-28","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886994267c8192810f5cae7ffda13c","Motorcycle Accidents / landverpersonalinjury.com","paused","82","0","0","0"
"2026-08-28","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6da2256adef8819296758767bbf33170","Cell A - Offer Interception","paused","932","2","0","14.83"
"2026-08-28","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_8ebd4a1bd5a08192a33f5c9fcab5ae80","Cell C - Situation Specificity","paused","178","1","0","7.73"
"2026-08-28","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_b53dfe8fcc9481929ffe61e9858e11a2","Cell D - Human Not Call Center","paused","1922","7","0","53.31"
"2026-08-27","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8867d6f3008192ac40252e51e50c7e","Car Accidents / landverpersonalinjury.com","paused","9","0","0","0"
"2026-08-27","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869451f308192941498bf69f65c1c","Truck Accidents  / landverpersonalinjury.com","paused","630","4","0","31.21"
"2026-08-27","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886994267c8192810f5cae7ffda13c","Motorcycle Accidents / landverpersonalinjury.com","paused","369","5","2","33.53"
"2026-08-27","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869b2a28481929d033db12d1da643","Bus Accidents / landverpersonalinjury.com","paused","10","0","0","0"
"2026-08-27","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a25c00881928dd94ee42540b5bb","Pedestrian Accidents / landverpersonalinjury.com","paused","3","0","0","0"
"2026-08-27","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a5397208192948ddb305c92567b","Slip and Fall / landverpersonalinjury.com","paused","23","0","0","0"
"2026-08-27","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a795bf88192a243c0dcf4facf9a","Rideshare Accidents (Uber/Lyft) / landverpersonalinjury.com","paused","8","0","0","0"
"2026-08-26","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8867d6f3008192ac40252e51e50c7e","Car Accidents / landverpersonalinjury.com","paused","1402","7","0","104.87"
"2026-08-26","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869451f308192941498bf69f65c1c","Truck Accidents  / landverpersonalinjury.com","paused","565","2","0","17.42"
"2026-08-26","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886994267c8192810f5cae7ffda13c","Motorcycle Accidents / landverpersonalinjury.com","paused","232","1","0","12.18"
"2026-08-26","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869b2a28481929d033db12d1da643","Bus Accidents / landverpersonalinjury.com","paused","1495","10","0","174.61"
"2026-08-26","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a25c00881928dd94ee42540b5bb","Pedestrian Accidents / landverpersonalinjury.com","paused","373","1","0","16.34"
"2026-08-26","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a5397208192948ddb305c92567b","Slip and Fall / landverpersonalinjury.com","paused","2651","4","0","47.88"
"2026-08-26","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a795bf88192a243c0dcf4facf9a","Rideshare Accidents (Uber/Lyft) / landverpersonalinjury.com","paused","612","1","0","26.69"
"2026-08-24","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8867d6f3008192ac40252e51e50c7e","Car Accidents / landverpersonalinjury.com","paused","1","0","0","0"
"2026-08-24","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869b2a28481929d033db12d1da643","Bus Accidents / landverpersonalinjury.com","paused","1","0","0","0"
"2026-08-24","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a5397208192948ddb305c92567b","Slip and Fall / landverpersonalinjury.com","paused","1","0","0","0"
"2026-08-23","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8867d6f3008192ac40252e51e50c7e","Car Accidents / landverpersonalinjury.com","paused","251","2","0","40.75"
"2026-08-23","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869451f308192941498bf69f65c1c","Truck Accidents  / landverpersonalinjury.com","paused","48","0","0","0"
"2026-08-23","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886994267c8192810f5cae7ffda13c","Motorcycle Accidents / landverpersonalinjury.com","paused","80","1","0","11.53"
"2026-08-23","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869b2a28481929d033db12d1da643","Bus Accidents / landverpersonalinjury.com","paused","342","2","0","33.14"
"2026-08-23","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a25c00881928dd94ee42540b5bb","Pedestrian Accidents / landverpersonalinjury.com","paused","55","0","0","0"
"2026-08-23","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a5397208192948ddb305c92567b","Slip and Fall / landverpersonalinjury.com","paused","600","0","0","0"
"2026-08-23","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a795bf88192a243c0dcf4facf9a","Rideshare Accidents (Uber/Lyft) / landverpersonalinjury.com","paused","42","0","0","0"
"2026-08-22","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8867d6f3008192ac40252e51e50c7e","Car Accidents / landverpersonalinjury.com","paused","32","0","0","0"
"2026-08-22","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869451f308192941498bf69f65c1c","Truck Accidents  / landverpersonalinjury.com","paused","234","1","0","7"
"2026-08-22","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886994267c8192810f5cae7ffda13c","Motorcycle Accidents / landverpersonalinjury.com","paused","214","1","0","7"
"2026-08-22","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869b2a28481929d033db12d1da643","Bus Accidents / landverpersonalinjury.com","paused","26","0","0","0"
"2026-08-22","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a25c00881928dd94ee42540b5bb","Pedestrian Accidents / landverpersonalinjury.com","paused","66","0","0","0"
"2026-08-22","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a5397208192948ddb305c92567b","Slip and Fall / landverpersonalinjury.com","paused","116","0","0","0"
"2026-08-22","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a795bf88192a243c0dcf4facf9a","Rideshare Accidents (Uber/Lyft) / landverpersonalinjury.com","paused","93","0","0","0"
"2026-08-21","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8867d6f3008192ac40252e51e50c7e","Car Accidents / landverpersonalinjury.com","paused","52","1","0","3.64"
"2026-08-21","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869451f308192941498bf69f65c1c","Truck Accidents  / landverpersonalinjury.com","paused","23","0","0","0"
"2026-08-21","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886994267c8192810f5cae7ffda13c","Motorcycle Accidents / landverpersonalinjury.com","paused","4","0","0","0"
"2026-08-21","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a8869b2a28481929d033db12d1da643","Bus Accidents / landverpersonalinjury.com","paused","25","0","0","0"
"2026-08-21","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a25c00881928dd94ee42540b5bb","Pedestrian Accidents / landverpersonalinjury.com","paused","8","0","0","0"
"2026-08-21","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a5397208192948ddb305c92567b","Slip and Fall / landverpersonalinjury.com","paused","3","0","0","0"
"2026-08-21","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_6a886a795bf88192a243c0dcf4facf9a","Rideshare Accidents (Uber/Lyft) / landverpersonalinjury.com","paused","21","0","0","0"
"2026-08-21","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_d6d80682a5bc819284bbdd2e04d3668d","Landver Test 2","paused","104","1","0","13.55"
"2026-08-20","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_d6d80682a5bc819284bbdd2e04d3668d","Landver Test 2","paused","927","3","0","23.27"
"2026-08-19","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_d6d80682a5bc819284bbdd2e04d3668d","Landver Test 2","paused","364","0","0","0"
"2026-08-18","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_d6d80682a5bc819284bbdd2e04d3668d","Landver Test 2","paused","1958","3","0","34.71"
"2026-08-17","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_9808624c53d08192875a471a08511f5e","Partly at Fault","paused","18","0","0","0"
"2026-08-17","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_9e5d71395c808192bfaeb60713373f3d","Who Pays Medical Bills","paused","100","1","0","10.39"
"2026-08-15","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_de418dffd3948192a0876705c3209c7d","What to Do After a Car Accident","paused","3","0","0","0"
"2026-08-14","cmpn_6a7b1758f9508192b009ef9839299108","Landver Law campaign","adgrp_de418dffd3948192a0876705c3209c7d","What to Do After a Car Accident","paused","640","3","0","20.65"
