ad_id,ad_group_id,ad_name,title,copy,link,image_url,image_file_id
,adgrp_6da2256adef8819296758767bbf33170,Ad A2,Before You Accept a Settlement,Free second opinion. No obligation.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_6da2256adef8819296758767bbf33170,Ad A3,The Adjuster Called Already?,Talk to us before you give a statement.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_6da2256adef8819296758767bbf33170,Ad A4,Signed Nothing Yet? Good.,Free review with a California attorney.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_d3818e8b31c88192b1c320390ac42e7a,Ad B2,Not Sure You Have a Case?,Find out in one free call.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_d3818e8b31c88192b1c320390ac42e7a,Ad B3,Just Asking Questions?,"That's fine. Free, no obligation.",https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_d3818e8b31c88192b1c320390ac42e7a,Ad B4,One Free Question,Ask a California injury attorney.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_8ebd4a1bd5a08192a33f5c9fcab5ae80,Ad C2,Rear-Ended in California?,Free case review. No fee unless we win.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_8ebd4a1bd5a08192a33f5c9fcab5ae80,Ad C3,Injured as a Passenger?,You likely have a claim. Free review.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_8ebd4a1bd5a08192a33f5c9fcab5ae80,Ad C4,Motorcycle Crash in CA?,Free review from CA injury attorneys.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_8ebd4a1bd5a08192a33f5c9fcab5ae80,Ad C5,Hit While Walking or Biking?,Free case review with a CA attorney.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_b53dfe8fcc9481929ffe61e9858e11a2,Ad D2,No Intake Script. Just a Call.,Free consultation with a CA attorney.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_b53dfe8fcc9481929ffe61e9858e11a2,Ad D3,A Lawyer Answers the Phone,Not a call center. Free consultation.,https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
,adgrp_650b768a410081929e5e182137e3b7f7,Ad E2,What Is Your Case Worth?,"Free, confidential review.",https://landverpersonalinjury.com/contact-us/?utm_source=chatgpt.com&utm_medium=cpc,,file_00000000357881f799333e0dbe6eab5c
