Row Type,Campaign,Campaign Type,Budget,Status,Networks,Ad group,Keyword,Match Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Headline 2 position,Headline 3 position,Headline 4 position,Headline 5 position,Headline 6 position,Headline 7 position,Headline 8 position,Headline 9 position,Headline 10 position,Headline 11 position,Headline 12 position,Headline 13 position,Headline 14 position,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Description 1 position,Description 2 position,Description 3 position,Description 4 position,Link Text,Description Line 1,Description Line 2
Campaign,search / all injuries / broad,Search,50.0,Paused,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / broad,,,,,Car Injury,car accident lawyer,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / broad,,,,,Car Injury,car accident lawyers,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / broad,,,,,Car Injury,car accident attorney,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / broad,,,,,Car Injury,car accident attorneys,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / broad,,,,,Car Injury,car accident law firm,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / broad,,,,,Car Injury,car accident law firms,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / broad,,,,,Car Injury,car crash lawyer,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / broad,,,,,Car Injury,car crash lawyers,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / broad,,,,,Car Injury,car crash attorney,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
