Campaign,Type,Negative,Geo_target_constant,Proximity_radius,Proximity_radius_units,Geo_name,Geo_target_type
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21132,,,"Alaska,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21133,,,"Alabama,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21135,,,"Arkansas,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21136,,,"Arizona,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21138,,,"Colorado,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21139,,,"Connecticut,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21141,,,"Delaware,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21142,,,"Florida,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21143,,,"Georgia,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21144,,,"Hawaii,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21145,,,"Iowa,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21146,,,"Idaho,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21147,,,"Illinois,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21148,,,"Indiana,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21149,,,"Kansas,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21150,,,"Kentucky,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21151,,,"Louisiana,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21152,,,"Massachusetts,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21153,,,"Maryland,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21154,,,"Maine,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21155,,,"Michigan,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21156,,,"Minnesota,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21157,,,"Missouri,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21158,,,"Mississippi,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21159,,,"Montana,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21160,,,"North Carolina,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21161,,,"North Dakota,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21162,,,"Nebraska,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21163,,,"New Hampshire,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21164,,,"New Jersey,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21165,,,"New Mexico,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21166,,,"Nevada,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21167,,,"New York,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21168,,,"Ohio,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21169,,,"Oklahoma,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21170,,,"Oregon,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21171,,,"Pennsylvania,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21172,,,"Rhode Island,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21173,,,"South Carolina,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21174,,,"South Dakota,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21175,,,"Tennessee,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21176,,,"Texas,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21177,,,"Utah,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21178,,,"Virginia,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21179,,,"Vermont,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21180,,,"Washington,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21182,,,"Wisconsin,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21183,,,"West Virginia,United States",State
search / all injuries / kw -  la specific,LOCATION,True,geoTargetConstants/21184,,,"Wyoming,United States",State
search / all injuries / kw -  la specific,LOCATION,False,geoTargetConstants/1013587,,,"Beverly Hills,California,United States",City
search / all injuries / kw -  la specific,LOCATION,False,geoTargetConstants/1013651,,,"Carlsbad,California,United States",City
search / all injuries / kw -  la specific,LOCATION,False,geoTargetConstants/1013677,,,"Chula Vista,California,United States",City
search / all injuries / kw -  la specific,LOCATION,False,geoTargetConstants/1013705,,,"Costa Mesa,California,United States",City
search / all injuries / kw -  la specific,LOCATION,False,geoTargetConstants/1013714,,,"Culver City,California,United States",City
search / all injuries / kw -  la specific,LOCATION,False,geoTargetConstants/1013737,,,"Downey,California,United States",City
search / all injuries / kw -  la specific,LOCATION,False,geoTargetConstants/1013771,,,"Escondido,California,United States",City
