Campaign,Date,Impressions,Clicks,Cost,Conversions
search / all injuries / geo - la specific,2026-08-18,297,60,78.83,0.0
search / all injuries / kw -  la specific,2026-08-18,10,0,0.0,0.0
search / all injuries / s / lp - tilda,2026-08-14,31,4,36.88,0.0
search / all injuries / s / lp - tilda,2026-08-15,45,1,15.6,0.0
search / all injuries / s / lp - tilda,2026-08-16,108,2,37.84,0.0
search / all injuries / s / lp - tilda,2026-08-17,179,2,47.88,0.0
search / all injuries / s& n / lp - tilda,2026-08-14,79,23,54.56,0.0
search / all injuries / s& n / lp - tilda,2026-08-15,69,27,55.37,0.0
search / all injuries / s& n / lp - tilda,2026-08-16,90,27,52.05,0.0
search / all injuries / s& n / lp - tilda,2026-08-17,74,21,44.16,0.0
