Keyword,Avg_monthly_searches,Competition,Competition_index,Low_top_of_page_bid,High_top_of_page_bid
dog bite lawyer,2400,LOW,27,225.0,1000.0
dog bite lawyer near me,1900,LOW,17,225.0,1000.0
dog bite attorney,1000,LOW,20,205.0,1000.0
dog bite lawyer california,880,LOW,12,115.85,360.61
dog bite lawyer los angeles,720,LOW,14,135.94,558.65
dog bite attorney riverside ca,320,LOW,17,0.0,0.0
dog lawyer,260,LOW,26,18.64,173.11
lawyer dogs,260,LOW,26,18.64,173.11
lawyer animal,210,MEDIUM,46,2.62,32.09
fresno dog bite lawyer,170,LOW,16,0.0,0.0
san bernardino dog bite lawyers,170,LOW,7,0.0,0.0
dog bite accident lawyer,170,LOW,17,183.81,1000.0
san bernardino dog bite lawyer,170,LOW,7,0.0,0.0
dog bite lawyer anaheim,140,LOW,5,0.0,0.0
riverside dog bite lawyers,140,LOW,15,0.0,0.0
bitten by a dog what to do,90,LOW,28,2.17,26.92
bakersfield dog bite lawyer,90,LOW,21,0.0,0.0
beverly hills dog bite lawyer,90,LOW,6,0.0,0.0
dog bite lawyer bakersfield,90,LOW,21,0.0,0.0
dog bite attorney bakersfield,90,LOW,21,0.0,0.0
beverly hills dog bite attorney,90,LOW,6,0.0,0.0
dog bite settlement calculator,70,MEDIUM,43,3.93,32.14
victorville dog bite lawyers,70,LOW,1,0.0,0.0
victorville dog bite lawyer,70,LOW,1,0.0,0.0
dog bite accident attorney,50,LOW,16,0.0,0.0
victorville dog bite attorney,50,LOW,1,0.0,0.0
huntington beach dog bite lawyer,50,LOW,11,0.0,0.0
bull dog lawyers,40,MEDIUM,62,14.77,79.02
top dog attorney,40,HIGH,89,34.06,227.98
bull dog lawyer,40,MEDIUM,62,14.77,79.02
dog bite compensation,30,HIGH,80,33.72,266.84
bite work,30,LOW,16,2.01,5.3
bite work training,30,MEDIUM,37,1.03,4.18
dog bite work training,30,LOW,32,1.47,4.22
dog bite injury lawyer near me,30,LOW,23,0.0,0.0
bite work training near me,30,MEDIUM,55,0.97,2.96
dog attorney,20,HIGH,74,117.51,274.96
bite work dog,20,LOW,14,0.0,0.0
best dog bite attorney near me,20,MEDIUM,64,205.0,1000.0
dog lawyer near me,20,MEDIUM,65,18.64,579.96
pit bull lawyer,20,LOW,4,0.0,0.0
dog attorney near me,20,MEDIUM,65,18.64,579.96
dog bite claim,10,MEDIUM,37,41.57,513.49
dog bite settlement amounts california,10,MEDIUM,43,0.0,0.0
landlord liability dog bite,10,LOW,2,0.0,0.0
neighbors dog bit me,10,MEDIUM,55,4.64,99.28
do i need a lawyer for a dog bite,10,HIGH,76,0.0,0.0
dog bite at work,10,HIGH,68,3.79,44.26
bite work gear,10,MEDIUM,57,0.0,0.0
bite sport dog,10,LOW,5,0.0,0.0
bite work dog training near me,10,HIGH,81,0.0,0.0
dog bite lawyer moreno valley,10,UNSPECIFIED,0,0.0,0.0
pet lawyer california,10,LOW,7,0.0,0.0
law bite,10,LOW,0,0.0,0.0
dog bite work training near me,10,MEDIUM,43,0.0,0.0
dangerous dog lawyers,10,LOW,0,0.0,0.0
bite work harness,10,HIGH,100,0.24,1.01
attorney dog,10,LOW,17,0.0,0.0
dog claim,10,LOW,14,0.0,0.0
false dog bite claim,10,UNSPECIFIED,0,0.0,0.0
animal attack claims,10,UNSPECIFIED,0,0.0,0.0
k9 bite work,10,UNSPECIFIED,0,0.0,0.0
law bites,10,LOW,0,0.0,0.0
k9 bite work training near me,10,MEDIUM,33,0.0,0.0
bite work sleeve,10,UNSPECIFIED,0,0.0,0.0
bite work german shepherd,10,LOW,0,0.0,0.0
animal injury claims,10,UNSPECIFIED,0,0.0,0.0
animal attack lawyer los angeles,10,UNSPECIFIED,0,0.0,0.0
chicago dog bite lawyers,10,MEDIUM,66,0.0,0.0
animal injury lawyer,10,HIGH,95,0.0,0.0
lawyers that handle dog bites,10,UNSPECIFIED,0,0.0,0.0
animal injury attorney,10,HIGH,95,0.0,0.0
chicago dog bite lawyer,10,MEDIUM,66,0.0,0.0
pet injury attorney,10,HIGH,88,0.0,0.0
pet lawyer near me,10,MEDIUM,39,0.0,0.0
lawyers that handle dog cases,10,MEDIUM,51,95.23,225.0
lawyers for animal cases,10,MEDIUM,49,0.0,0.0
lawyers for pet injuries,10,UNSPECIFIED,0,0.0,0.0
pet injury lawyer,10,HIGH,88,0.0,0.0
dog injury lawyer,10,MEDIUM,51,0.0,0.0
santa ana dog bites lawyer,10,UNSPECIFIED,0,0.0,0.0
san luis obispo dog bites attorney,10,UNSPECIFIED,0,0.0,0.0
san luis obispo dog bite lawyer,10,UNSPECIFIED,0,0.0,0.0
schutzhund bite work,10,LOW,0,0.0,0.0
puppy bite work training,10,UNSPECIFIED,0,0.0,0.0
bite training belgian malinois,10,UNSPECIFIED,0,0.0,0.0
bite work belgian malinois,10,UNSPECIFIED,0,0.0,0.0
border collie bite work,10,UNSPECIFIED,0,0.0,0.0
beauceron bite work,10,UNSPECIFIED,0,0.0,0.0
best dogs for lawyers,10,LOW,14,0.0,0.0
belgian malinois bite work,10,LOW,2,0.0,0.0
best dog bite lawyers near me,10,UNSPECIFIED,0,0.0,0.0
costa mesa dog bite lawyer,10,LOW,19,0.0,0.0
costa mesa dog bite attorney,10,UNSPECIFIED,0,0.0,0.0
can a landlord be responsible for a tenants dog,10,UNSPECIFIED,0,0.0,0.0
brooklyn dog bite attorney,10,UNSPECIFIED,0,0.0,0.0
hidden sleeve bite work,10,UNSPECIFIED,0,0.0,0.0
i need a lawyer dog,10,LOW,0,0.0,0.0
dog bite lawyer sherman oaks,10,UNSPECIFIED,0,0.0,0.0
dog bite lawyer san juan capistrano,10,UNSPECIFIED,0,0.0,0.0
german shepherd bite work,10,LOW,0,0.0,0.0
greenville dog bite lawyer,10,LOW,0,0.0,0.0
get me a lawyer dog,10,LOW,0,0.0,0.0
fresno dog bite injury attorney,10,LOW,14,0.0,0.0
inland empire dog bite attorneys,10,LOW,7,0.0,0.0
giant schnauzer bite work,10,LOW,0,0.0,0.0
cane corso bite work,10,LOW,10,0.0,0.0
cumming dog bite injury lawyer,10,LOW,0,0.0,0.0
doberman bite work,10,LOW,4,0.0,0.0
dog bite claim compensation,10,UNSPECIFIED,0,0.0,0.0
