Campaign,Network,Impressions,Clicks,Cost,Conversions,CPC,Cost_per_conversion
dspl / ca,CONTENT,18915,431,29.94,0.0,0.07,
pmax / ca,SEARCH,5069,165,992.96,32.0,6.02,31.03
pmax / ca,SEARCH_PARTNERS,519,73,177.78,9.0,2.44,19.75
pmax / ca,CONTENT,429,35,22.17,0.0,0.63,
pmax / ca,DISCOVER,94,5,11.99,0.0,2.4,
pmax / ca,MAPS,888,14,11.63,1.0,0.83,11.63
pmax / ca,YOUTUBE,899,8,3.4,0.0,0.43,
search / all injuries,SEARCH_PARTNERS,1552,369,524.83,1.0,1.42,524.83
search / all injuries,SEARCH,151,13,23.8,0.0,1.83,
search / all injuries / geo - la specific,SEARCH_PARTNERS,294,60,78.83,0.0,1.31,
search / all injuries / geo - la specific,SEARCH,4,0,0.0,0.0,,
search / all injuries / kw -  la specific,SEARCH,10,0,0.0,0.0,,
search / all injuries / s / lp - tilda,SEARCH,363,9,138.2,0.0,15.36,
search / all injuries / s& n / lp - tilda,SEARCH_PARTNERS,307,98,206.14,0.0,2.1,
search / all injuries / s& n / lp - tilda,SEARCH,5,0,0.0,0.0,,
search / car accident / ca - google search + network,SEARCH_PARTNERS,2478,483,529.12,0.0,1.1,
search / car accident / ca - google search + network,SEARCH,1,0,0.0,0.0,,
search / car accident / ca - google search + network / spanish,SEARCH,6,1,1.94,0.0,1.94,
search / car accident / ca - google search + network / spanish,SEARCH_PARTNERS,17,1,0.21,0.0,0.21,
search / car accident / ca - google search only,SEARCH,968,14,101.66,0.0,7.26,
