Campaign,Placement,Display_name,Target_url,Impressions
dspl / ca,1-450722833,"Mobile App: ibis Paint X (iTunes App Store), by ibis inc.",https://itunes.apple.com/us/app/id450722833,1033
search / car accident / ca - google search + network,reviews.everydayxperts.com/search,reviews.everydayxperts.com/search,reviews.everydayxperts.com/search,766
search / car accident / ca - google search + network,bozuktus.com/blog/query,bozuktus.com/blog/query,bozuktus.com/blog/query,683
pmax / ca,youtube.com,youtube.com,youtube.com,591
search / all injuries,reviews.everydayxperts.com/search,reviews.everydayxperts.com/search,reviews.everydayxperts.com/search,423
search / all injuries,bozuktus.com/blog/query,bozuktus.com/blog/query,bozuktus.com/blog/query,384
dspl / ca,1-1671705818,"Mobile App: Character AI: Chat, Talk, Text (iTunes App Store), by Character Technologies, Inc.",https://itunes.apple.com/us/app/id1671705818,333
dspl / ca,1-1407852246,"Mobile App: Happy Color® – Coloring Games (iTunes App Store), by X-FLOW LTD",https://itunes.apple.com/us/app/id1407852246,329
dspl / ca,2-com.block.juggle,"Mobile App: Block Blast! (Google Play), by HungryStudio",https://play.google.com/store/apps/details?id=com.block.juggle,214
search / car accident / ca - google search + network,wiseinmind.com/search,wiseinmind.com/search,wiseinmind.com/search,192
dspl / ca,2-com.fungames.blockcraft,"Mobile App: Block Craft 3D：Building Game (Google Play), by Wildlife Studios",https://play.google.com/store/apps/details?id=com.fungames.blockcraft,186
dspl / ca,2-com.metro.minus1,"Mobile App: MetroPlay® (Google Play), by Metro by T-Mobile",https://play.google.com/store/apps/details?id=com.metro.minus1,178
dspl / ca,1-488514298,"Mobile App: Hong Kong Mahjong Club (iTunes App Store), by Recax Technology Limited",https://itunes.apple.com/us/app/id488514298,169
search / all injuries,wiseinmind.com/search,wiseinmind.com/search,wiseinmind.com/search,163
dspl / ca,1-1589762792,"Mobile App: Jigsawscapes® - Jigsaw Puzzles (iTunes App Store), by OAKEVER GAMES PTE. LTD.",https://itunes.apple.com/us/app/id1589762792,148
search / car accident / ca - google search + network,searchjobsplus.com/afs,searchjobsplus.com/afs,searchjobsplus.com/afs,147
search / all injuries / s& n / lp - tilda,reviews.everydayxperts.com/search,reviews.everydayxperts.com/search,reviews.everydayxperts.com/search,121
dspl / ca,2-com.vitastudio.mahjong,"Mobile App: Vita Mahjong (Google Play), by Vita Studio.",https://play.google.com/store/apps/details?id=com.vitastudio.mahjong,118
search / all injuries / geo - la specific,reviews.everydayxperts.com/search,reviews.everydayxperts.com/search,reviews.everydayxperts.com/search,118
search / car accident / ca - google search + network,infonowplus.com/afs,infonowplus.com/afs,infonowplus.com/afs,113
dspl / ca,1-439873467,"Mobile App: Magic Jigsaw Puzzles－Games HD (iTunes App Store), by XIMAD, Inc.",https://itunes.apple.com/us/app/id439873467,113
search / car accident / ca - google search + network,selectanswers.com/topic/5731003,selectanswers.com/topic/5731003,selectanswers.com/topic/5731003,108
dspl / ca,1-642831690,"Mobile App: Jigsaw Puzzles for Adults HD (iTunes App Store), by Veraxen Ltd",https://itunes.apple.com/us/app/id642831690,106
dspl / ca,2-ai.character.app,"Mobile App: Character AI: Chat, Talk, Text (Google Play), by Character.AI",https://play.google.com/store/apps/details?id=ai.character.app,103
dspl / ca,2-com.Beauchamp.Messenger.external,"Mobile App: Chai: Chat AI Platform (Google Play), by Chai Research",https://play.google.com/store/apps/details?id=com.Beauchamp.Messenger.external,102
dspl / ca,1-6451403685,"Mobile App: Vita Jigsaw for Seniors (iTunes App Store), by VITA STUDIO PTE. LTD.",https://itunes.apple.com/us/app/id6451403685,101
dspl / ca,1-440185993,"Mobile App: Adam4Adam Gay Dating Chat A4A (iTunes App Store), by A4A Network Inc",https://itunes.apple.com/us/app/id440185993,94
dspl / ca,1-1557392270,"Mobile App: Zen Color - Color By Number (iTunes App Store), by OAKEVER GAMES PTE. LTD.",https://itunes.apple.com/us/app/id1557392270,94
dspl / ca,2-com.smilerlee.klondike,"Mobile App: Solitaire (Google Play), by Mouse Games",https://play.google.com/store/apps/details?id=com.smilerlee.klondike,91
dspl / ca,1-6756288168,"Mobile App: Cookingo: Perfect Meal (iTunes App Store), by Higame Global Limited",https://itunes.apple.com/us/app/id6756288168,90
dspl / ca,1-1420294918,"Mobile App: Wordscapes Search - Word Game (iTunes App Store), by PeopleFun, Inc.",https://itunes.apple.com/us/app/id1420294918,86
dspl / ca,1-6467188602,"Mobile App: 閱友小說 (iTunes App Store), by Tianjin Yueyou Culture Technology Co., Ltd.",https://itunes.apple.com/us/app/id6467188602,84
search / car accident / ca - google search + network,www.indiasite.com/get/result,www.indiasite.com/get/result,www.indiasite.com/get/result,83
search / car accident / ca - google search + network,supremeinsights.com/topic/5731003,supremeinsights.com/topic/5731003,supremeinsights.com/topic/5731003,82
search / all injuries,search.savvyvita.com/serp,search.savvyvita.com/serp,search.savvyvita.com/serp,80
dspl / ca,1-6477358134,"Mobile App: Playground Mod (iTunes App Store), by Vladimir Chernenko",https://itunes.apple.com/us/app/id6477358134,80
dspl / ca,1-1515874052,"Mobile App: Block Puzzle - Brain Test Game (iTunes App Store), by Doodle Mobile Limited",https://itunes.apple.com/us/app/id1515874052,77
dspl / ca,1-1476370680,"Mobile App: Solitaire - Card Solitaire (iTunes App Store), by Doodle Mobile Limited",https://itunes.apple.com/us/app/id1476370680,77
dspl / ca,1-6504914846,"Mobile App: SoulTalk: AI Friends Chat (iTunes App Store), by SINGULARITY MUTUAL ENTERTAINMENT CULTURE MEDIA LIMITED",https://itunes.apple.com/us/app/id6504914846,77
dspl / ca,1-6756707460,"Mobile App: Tricky Dramas: Short Stories (iTunes App Store), by 9UP COMPANY LIMITED",https://itunes.apple.com/us/app/id6756707460,76
search / all injuries,selectanswers.com/topic/5731003,selectanswers.com/topic/5731003,selectanswers.com/topic/5731003,76
dspl / ca,2-tek.games.net.jigsawpuzzle,"Mobile App: Jigsaw Puzzles Crown: HD Games (Google Play), by Jigsaw Puzzles Master",https://play.google.com/store/apps/details?id=tek.games.net.jigsawpuzzle,75
