Campaign,Ad_group,Search_term,Network,Impressions,Clicks,Cost,Conversions
search / all injuries / s& n / lp - tilda,Slip and Fall Injury,personal injuries lawyer,SEARCH_PARTNERS,10,6,10.92,0.0
search / all injuries / geo - la specific,Auto Injury,car accidents law firm,SEARCH_PARTNERS,14,6,6.64,0.0
search / all injuries / s& n / lp - tilda,Car Injury,automobile accident lawyer,SEARCH_PARTNERS,11,5,9.52,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,lawyers for car accidents near me,SEARCH_PARTNERS,11,4,9.66,0.0
search / all injuries / geo - la specific,18 wheeler Injury,18 wheeler accident attorney,SEARCH_PARTNERS,22,4,5.07,0.0
search / all injuries / s& n / lp - tilda,Car Injury,car accidents law firm,SEARCH_PARTNERS,6,4,8.39,0.0
search / all injuries / s& n / lp - tilda,Car Injury,lawyers for car accidents near me,SEARCH_PARTNERS,12,3,8.75,0.0
search / all injuries / s& n / lp - tilda,Slip and Fall Injury,attorney for personal injuries,SEARCH_PARTNERS,3,3,5.27,0.0
search / all injuries / geo - la specific,Car Injury,car accidents law firm,SEARCH_PARTNERS,10,3,3.95,0.0
search / all injuries / s& n / lp - tilda,Car Injury,automobile accident lawyers,SEARCH_PARTNERS,12,3,6.84,0.0
search / all injuries / geo - la specific,18 wheeler Injury,18 wheeler attorneys,SEARCH_PARTNERS,3,2,1.73,0.0
search / all injuries / geo - la specific,Auto Injury,accident lawyers near me,SEARCH_PARTNERS,4,2,2.39,0.0
search / all injuries / geo - la specific,Car Injury,attorney car accident near me,SEARCH_PARTNERS,5,2,2.96,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,attorney car accident near me,SEARCH_PARTNERS,2,2,3.0,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,automobile accident lawyer,SEARCH_PARTNERS,7,2,3.89,0.0
search / all injuries / s& n / lp - tilda,Car Injury,attorney for car accident,SEARCH_PARTNERS,2,2,2.43,0.0
search / all injuries / s / lp - tilda,Car Injury,accident attorney la,SEARCH,1,2,37.84,0.0
search / all injuries / s& n / lp - tilda,Car Injury,crash lawyers,SEARCH_PARTNERS,2,2,1.76,0.0
search / all injuries / s / lp - tilda,Auto Injury,accident attorney la,SEARCH,2,2,21.44,0.0
search / all injuries / s& n / lp - tilda,Car Injury,car wreck attorney,SEARCH_PARTNERS,4,2,2.96,0.0
search / all injuries / s& n / lp - tilda,Car Injury,auto accident attorney near me,SEARCH_PARTNERS,5,2,4.91,0.0
search / all injuries / s& n / lp - tilda,Car Injury,auto accident attorneys near me,SEARCH_PARTNERS,7,2,2.3,0.0
search / all injuries / s& n / lp - tilda,Car Injury,auto accident law firm near me,SEARCH_PARTNERS,6,2,3.61,0.0
search / all injuries / geo - la specific,Auto Injury,attorney for car accident near me,SEARCH_PARTNERS,7,2,2.55,0.0
search / all injuries / s& n / lp - tilda,Car Injury,automobile accident attorney,SEARCH_PARTNERS,8,2,5.23,0.0
search / all injuries / geo - la specific,Car Injury,accident solicitors near me,SEARCH_PARTNERS,2,2,2.01,0.0
search / all injuries / geo - la specific,Car Injury,accident attorney near me,SEARCH_PARTNERS,3,2,3.28,0.0
search / all injuries / s& n / lp - tilda,Auto Injury,best accident attorney near me,SEARCH_PARTNERS,2,2,4.57,0.0
search / all injuries / s& n / lp - tilda,Car Injury,accident lawyer near me,SEARCH_PARTNERS,1,1,1.0,0.0
search / all injuries / s& n / lp - tilda,Car Injury,attorney car accident,SEARCH_PARTNERS,1,1,1.44,0.0
search / all injuries / s& n / lp - tilda,Car Injury,advocate for accident case,SEARCH_PARTNERS,1,1,1.6,0.0
search / all injuries / s& n / lp - tilda,Car Injury,auto accident attorneys,SEARCH_PARTNERS,3,1,1.37,0.0
search / all injuries / s& n / lp - tilda,Car Injury,attorney for car accidents near me,SEARCH_PARTNERS,4,1,3.03,0.0
search / all injuries / s& n / lp - tilda,Car Injury,attorneys for car accidents,SEARCH_PARTNERS,3,1,1.72,0.0
search / all injuries / s& n / lp - tilda,Car Injury,auto accident attorney,SEARCH_PARTNERS,1,1,2.09,0.0
search / all injuries / s& n / lp - tilda,Car Injury,car wreck attorney near me,SEARCH_PARTNERS,2,1,1.71,0.0
search / all injuries / s& n / lp - tilda,Car Injury,good accident lawyers,SEARCH_PARTNERS,2,1,1.58,0.0
search / all injuries / s / lp - tilda,Auto Injury,accident fighters apc,SEARCH,2,1,8.41,0.0
search / all injuries / s& n / lp - tilda,Car Injury,attorney for car accident near me,SEARCH_PARTNERS,2,1,4.16,0.0
