campaign,item_id,title,impressions,clicks,cost,conversions
shop1 /search,120227161902,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x2m z poliwęglanem 4mm",167488,6753,10087.0,65.10697
shop1 /search,658051162982,Szklarnia Ekspert Tunel 40×20 3x2m z poliwęglanem 4mm,59513,1185,2016.66,7.54407
shop2 / search,611456390152,Szklarnia Ekspert Tunel 40×20 3x6m z poliwęglanem 4mm,42963,1192,3130.87,25.852269
shop2 / search,925720962352,Szklarnia Ekspert Tunel 40×20 3x4m z poliwęglanem 6mm,36537,609,1636.98,21.416667
shop1 /search,193258993022,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x2m z poliwęglanem 6mm",34804,1027,1534.38,10.65651
shop2 / search,398130082402,Szklarnia Tytan Ekspert Tunel 40x20 4x6m z poliwęglanem 6mm,34412,506,1499.75,18.427487
shop1 /search,629167680332,Szklarnia Tytan Ekspert Tunel 40x20 4x4m z poliwęglanem 4mm,25290,418,701.96,3.2
shop1 /search,689070958742,Szklarnia Mini Ekspert Tunel 20×20 2x2m z poliwęglanem 4mm,22197,323,582.79,0.666667
shop1 /search,484057452652,Szklarnia Went Ekspert Tunel 40x20 3x4m z poliwęglanem 4mm,17711,246,437.81,0.005653
shop1 /search,435953399652,Szklarnia Ekspert Tunel 20×20 3x4m z poliwęglanem 4mm,17565,291,519.79,4.883738
shop2 / search,582168247622,Szklarnia Ekspert Tunel 40×20 3x6m z poliwęglanem 6mm,17495,461,1375.15,6.500598
shop1 /search,759704932172,Szklarnia Ekspert Tunel 20×20 3x2m z poliwęglanem 4mm,16750,266,474.66,1.417497
shop1 /search,951409786802,Szklarnia Ekspert Tunel 20×20 3x6m z poliwęglanem 4mm,14652,269,445.83,6.116666
shop2 / search,724492764772,Szklarnia Tytan Ekspert Tunel 40x20 4x8m z poliwęglanem 6mm,14159,343,876.53,6.0
shop2 / search,240446469262,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x6m z poliwęglanem 6mm",13680,187,549.71,6.767267
shop1 /search,616744282622,Szklarnia Ekspert Tunel 40×20 3x4m z poliwęglanem 4mm,11931,256,411.5,4.0
shop1 /search,382027757032,Szklarnia Tytan Ekspert Tunel 40x20 4x6m z poliwęglanem 4mm,11854,244,399.16,1.000598
shop2 / search,844733089742,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x4m z poliwęglanem 6mm",10679,348,992.29,5.999999
shop1 /search,406930870872,Szklarnia Went Ekspert Tunel 40x20 3x6m z poliwęglanem 4mm,10365,148,278.4,0.833932
shop1 /search,611456390152,Szklarnia Ekspert Tunel 40×20 3x6m z poliwęglanem 4mm,8392,256,432.73,0.2
shop1 /search,201799015382,Szklarnia Mini Ekspert Tunel 20×20 2x4m z poliwęglanem 4mm,8066,111,200.03,1.833334
shop1 /search,378357381782,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x4m z poliwęglanem 4mm",7346,84,154.21,0.333334
shop1 /search,917018440262,Szklarnia Ekspert Tunel 40×20 3x8m z poliwęglanem 4mm,5952,147,242.85,0.5
shop1 /search,520781448422,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x4m z poliwęglanem 4mm",5567,187,292.7,4.993108
shop1 /search,844733089742,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x4m z poliwęglanem 6mm",4861,155,249.24,2.502207
shop1 /search,783255517912,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x6m z poliwęglanem 4mm",4830,43,87.23,0.0
shop2 / search,932105708832,Szklarnia Ekspert Tunel 40×20 3x8m z poliwęglanem 6mm,4718,78,202.98,1.142858
shop1 /search,392516639432,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x4m z poliwęglanem 6mm",4240,48,82.9,0.0
shop2 / search,616744282622,Szklarnia Ekspert Tunel 40×20 3x4m z poliwęglanem 4mm,4231,98,311.56,1.333334
shop1 /search,813485596812,Szklarnia Tytan Ekspert Tunel 40x20 4x8m z poliwęglanem 4mm,4083,127,202.21,1.76477
shop2 / search,391232187412,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x8m z poliwęglanem 6mm",3958,63,207.24,4.527674
shop1 /search,607912691482,Szklarnia Tytan Ekspert Tunel 40x20 4x12m z poliwęglanem 4mm,3845,75,123.31,1.0
shop1 /search,925720962352,Szklarnia Ekspert Tunel 40×20 3x4m z poliwęglanem 6mm,3789,32,48.66,0.0
shop1 /search,201636147772,Szklarnia Went Ekspert Tunel 40x20 3x4m z poliwęglanem 6mm,3783,34,67.94,0.25
shop1 /search,397927688942,Szklarnia Ekspert Tunel 20×20 3x6m z poliwęglanem 6mm,3629,31,63.76,0.0
shop2 / search,121396387852,Szklarnia Ekspert Tunel 40×20 3x10m z poliwęglanem 6mm,3610,52,165.98,0.0
shop1 /search,582168247622,Szklarnia Ekspert Tunel 40×20 3x6m z poliwęglanem 6mm,3467,79,112.26,1.0
shop1 /search,655719806692,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x8m z poliwęglanem 4mm",3306,79,116.69,0.521699
shop1 /search,807556392912,Szklarnia Ekspert Tunel 20×20 3x8m z poliwęglanem 4mm,3008,49,89.97,0.0
shop1 /search,929959532702,Szklarnia Went Ekspert Tunel 40x20 3x6m z poliwęglanem 6mm,2714,45,62.38,1.0
shop1 /search,398130082402,Szklarnia Tytan Ekspert Tunel 40x20 4x6m z poliwęglanem 6mm,2583,25,39.68,2.0
shop1 /search,783099080022,Szklarnia Went Ekspert Tunel 40x20 3x8m z poliwęglanem 4mm,2509,48,101.82,1.0
shop1 /search,647739326432,Szklarnia Ekspert Tunel 40×20 3x10m z poliwęglanem 4mm,2223,34,60.02,0.0
shop1 /search,695750982812,Szklarnia Ekspert Tunel 40×20 3x2m z poliwęglanem 6mm,2166,31,47.29,0.482931
shop1 /search,665618502822,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x8m z poliwęglanem 4mm",2105,14,28.02,0.0
shop1 /search,965142315132,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x6m z poliwęglanem 4mm",2057,63,99.99,2.0
shop1 /search,427602082552,Szklarnia Mini Ekspert Tunel 20×20 2x6m z poliwęglanem 4mm,1975,16,29.25,0.0
shop1 /search,343955079222,Szklarnia Tytan Ekspert Tunel 40x20 4x12m z poliwęglanem 6mm,1763,35,47.24,0.0
shop1 /search,271418565122,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x10m z poliwęglanem 4mm",1695,13,21.58,0.0
