size,impressions,clicks,cost,conversions,cost_per_conv
3x6,2449,54,34.81,0.0,inf
3x4,2010,46,32.78,0.0,inf
2x3,1785,37,28.16,0.0,inf
2x4,554,10,5.37,0.0,inf
3x5,302,9,5.82,0.0,inf
4x6,287,12,7.09,0.0,inf
4x8,200,4,3.31,0.0,inf
2.5x4,158,7,4.04,0.0,inf
3x2,149,1,0.62,0.0,inf
3x3,133,1,1.09,0.0,inf
4x2,105,3,1.6300000000000001,0.0,inf
3x8,104,1,0.83,0.0,inf
4x3,98,6,4.72,0.0,inf
6x4,86,5,3.9400000000000004,0.0,inf
6x3,69,3,1.68,0.0,inf
2x2,69,1,1.34,0.0,inf
4x10,63,2,1.57,0.0,inf
2.5x5,62,3,1.4700000000000002,0.0,inf
5x3,47,0,0.0,0.0,
2.5x3,42,2,0.95,0.0,inf
4x4,38,0,0.0,0.0,
4x5,37,0,0.0,0.0,
3.5x8,33,0,0.0,0.0,
2x6,25,4,3.9599999999999995,0.0,inf
3.5x6,22,0,0.0,0.0,
4x12,18,2,0.88,0.0,inf
5x10,16,0,0.0,0.0,
2x5,15,2,2.75,0.0,inf
8x4,11,0,0.0,0.0,
5x5,11,0,0.0,0.0,
5x4,10,0,0.0,0.0,
8x3,8,0,0.0,0.0,
250x300,8,0,0.0,0.0,
6x6,7,0,0.0,0.0,
200x100,7,0,0.0,0.0,
3x9,6,0,0.0,0.0,
5x8,6,0,0.0,0.0,
3x10,6,0,0.0,0.0,
12x4,6,0,0.0,0.0,
3x12,6,0,0.0,0.0,
2.5x6,5,0,0.0,0.0,
5x2,5,0,0.0,0.0,
6x20,5,0,0.0,0.0,
5x6,4,0,0.0,0.0,
10x5,4,0,0.0,0.0,
300x400,3,0,0.0,0.0,
210x271,3,0,0.0,0.0,
3.5x4,3,0,0.0,0.0,
10x4,3,0,0.0,0.0,
1.5x3,2,2,1.42,0.0,inf
6x2,2,0,0.0,0.0,
4.5x3,2,0,0.0,0.0,
50x50,2,0,0.0,0.0,
3.5x2,2,0,0.0,0.0,
250x200,2,0,0.0,0.0,
2x1,2,0,0.0,0.0,
6x10,2,0,0.0,0.0,
7x30,2,0,0.0,0.0,
1x2,1,0,0.0,0.0,
10x30,1,0,0.0,0.0,
244x370,1,0,0.0,0.0,
150x200,1,0,0.0,0.0,
40x40,1,0,0.0,0.0,
6x12,1,0,0.0,0.0,
60x60,1,0,0.0,0.0,
