item_id,title,impressions,clicks,cost,conversions
120227161902,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x2m z poliwęglanem 4mm",36890,1039,644.2,1.0
658051162982,Szklarnia Ekspert Tunel 40×20 3x2m z poliwęglanem 4mm,12293,245,174.47,0.093264
193258993022,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x2m z poliwęglanem 6mm",4014,89,58.9,0.0
689070958742,Szklarnia Mini Ekspert Tunel 20×20 2x2m z poliwęglanem 4mm,2913,33,27.3,0.0
759704932172,Szklarnia Ekspert Tunel 20×20 3x2m z poliwęglanem 4mm,2881,32,26.11,0.0
420041925872,Listwa uszczelniająca 4-6 mm PROFIL U 210cm,2014,62,41.18,0.0
484057452652,Szklarnia Went Ekspert Tunel 40x20 3x4m z poliwęglanem 4mm,1614,13,8.32,0.0
611456390152,Szklarnia Ekspert Tunel 40×20 3x6m z poliwęglanem 4mm,1464,43,28.73,0.0
616744282622,Szklarnia Ekspert Tunel 40×20 3x4m z poliwęglanem 4mm,1374,26,16.06,0.0
927611708912,Ramka Ekspert Ogrodowa 40x100x196 cm,1302,12,8.68,0.0
406930870872,Szklarnia Went Ekspert Tunel 40x20 3x6m z poliwęglanem 4mm,1215,12,8.75,0.215649
387242127852,Ramka Ekspert Ogrodowa 40x65x196 cm,1208,13,10.18,0.0
382027757032,Szklarnia Tytan Ekspert Tunel 40x20 4x6m z poliwęglanem 4mm,1135,20,15.53,1.0
107058297882,Zestaw do podwiązywania roślin do szklarni 4m,1088,19,16.85,0.0
629167680332,Szklarnia Tytan Ekspert Tunel 40x20 4x4m z poliwęglanem 4mm,1024,11,8.19,0.0
520781448422,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x4m z poliwęglanem 4mm",948,38,21.75,0.0
695750982812,Szklarnia Ekspert Tunel 40×20 3x2m z poliwęglanem 6mm,892,14,11.19,0.0
950101734962,Szklarnia Tytan Ekspert Tunel 40x20 4x4m z poliwęglanem 6mm,793,9,6.76,0.0
582168247622,Szklarnia Ekspert Tunel 40×20 3x6m z poliwęglanem 6mm,761,9,5.94,0.0
201799015382,Szklarnia Mini Ekspert Tunel 20×20 2x4m z poliwęglanem 4mm,745,9,8.46,0.0
971736201312,Automatyczny otwieracz okien PROFI termiczny,715,17,11.37,0.0
813485596812,Szklarnia Tytan Ekspert Tunel 40x20 4x8m z poliwęglanem 4mm,709,20,16.64,0.0
869556942232,Szklarnia Ekspert Tunel 20×20 3x2m z poliwęglanem 6mm,663,8,7.48,0.0
343955079222,Szklarnia Tytan Ekspert Tunel 40x20 4x12m z poliwęglanem 6mm,643,7,5.69,0.0
435953399652,Szklarnia Ekspert Tunel 20×20 3x4m z poliwęglanem 4mm,638,10,7.6,0.0
917018440262,Szklarnia Ekspert Tunel 40×20 3x8m z poliwęglanem 4mm,593,9,6.45,0.0
613244308572,Zestaw do podwiązywania roślin do szklarni 8m,564,23,12.16,0.0
925720962352,Szklarnia Ekspert Tunel 40×20 3x4m z poliwęglanem 6mm,556,4,2.63,0.0
339077225342,Szklarnia Mini Ekspert Tunel 20×20 2x2m z poliwęglanem 6mm,516,3,1.62,0.0
550834031692,Zestaw do podwiązywania roślin do szklarni 6m,440,19,8.89,0.0
378357381782,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x4m z poliwęglanem 4mm",436,1,0.49,0.0
951409786802,Szklarnia Ekspert Tunel 20×20 3x6m z poliwęglanem 4mm,415,2,1.53,0.0
844733089742,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x4m z poliwęglanem 6mm",406,15,6.31,0.0
607912691482,Szklarnia Tytan Ekspert Tunel 40x20 4x12m z poliwęglanem 4mm,404,7,4.32,0.0
859413104052,Dodatkowe okno boczne do szklarni typ Dom 67 cm,362,16,7.16,0.0
414409815632,Szklarnia Tytan Ekspert Tunel 40x20 4x10m z poliwęglanem 4mm,337,5,3.45,0.0
647739326432,Szklarnia Ekspert Tunel 40×20 3x10m z poliwęglanem 4mm,323,5,3.51,0.0
727136140642,Zestaw do podwiązywania roślin do szklarni 2m,321,11,7.74,0.0
283806540642,Dodatkowe okno boczne do szklarni typ Dom 1 m,288,6,3.57,0.0
929959532702,Szklarnia Went Ekspert Tunel 40x20 3x6m z poliwęglanem 6mm,267,3,2.99,0.0
655719806692,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x8m z poliwęglanem 4mm",265,6,5.92,0.0
965142315132,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x6m z poliwęglanem 4mm",251,3,1.11,0.0
840889353082,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x6m z poliwęglanem 6mm",251,8,4.01,0.0
234817872262,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x10m z poliwęglanem 4mm",240,4,2.22,0.0
565266905912,Dodatkowe okno boczne do szklarni typ Tunel 67 cm,238,5,2.57,0.0
783255517912,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x6m z poliwęglanem 4mm",235,3,1.49,0.093265
487332071292,Zestaw do podwiązywania roślin do szklarni 10m,227,8,3.01,0.0
945378643652,Fundament ze stali ocynkowanej pod szklarnię 3×4 m,226,13,7.47,0.0
961865707152,Szklarnia Tytan Ekspert Tunel 40x20 4x14m z poliwęglanem 4mm,195,12,7.26,0.0
595110654412,Szklarnia Ekspert Tunel 20×20 3x4m z poliwęglanem 6mm,174,4,1.55,0.0
180349618302,Szklarnia Tytan Ekspert Tunel 40x20 4x14m z poliwęglanem 6mm,174,3,2.47,0.0
201636147772,Szklarnia Went Ekspert Tunel 40x20 3x4m z poliwęglanem 6mm,154,2,0.7,0.0
711156438102,Szklarnia Tytan Ekspert Tunel 40x20 4x10m z poliwęglanem 6mm,152,1,0.61,0.0
775286396592,"Fundament ze stali ocynkowanej pod szklarnię 3,5×4 m",140,4,1.22,0.0
397927688942,Szklarnia Ekspert Tunel 20×20 3x6m z poliwęglanem 6mm,126,0,0.0,0.0
133884544782,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x10m z poliwęglanem 6mm",113,0,0.0,0.0
398130082402,Szklarnia Tytan Ekspert Tunel 40x20 4x6m z poliwęglanem 6mm,112,0,0.0,0.0
172744956132,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x12m z poliwęglanem 4mm",112,2,2.79,0.0
271418565122,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x10m z poliwęglanem 4mm",109,0,0.0,0.0
665618502822,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x8m z poliwęglanem 4mm",102,1,0.73,0.0
383958365552,Szklarnia Mini Ekspert Tunel 20×20 2x4m z poliwęglanem 6mm,100,2,2.1,0.0
967700252932,Szklarnia Ekspert Tunel 40×20 3x12m z poliwęglanem 4mm,97,4,2.14,0.0
932105708832,Szklarnia Ekspert Tunel 40×20 3x8m z poliwęglanem 6mm,96,4,1.44,0.0
392516639432,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x4m z poliwęglanem 6mm",94,1,0.7,0.0
121396387852,Szklarnia Ekspert Tunel 40×20 3x10m z poliwęglanem 6mm,92,2,1.04,0.0
427602082552,Szklarnia Mini Ekspert Tunel 20×20 2x6m z poliwęglanem 4mm,91,2,1.86,0.0
783099080022,Szklarnia Went Ekspert Tunel 40x20 3x8m z poliwęglanem 4mm,88,1,0.47,0.0
240446469262,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x6m z poliwęglanem 6mm",86,0,0.0,0.0
659715384552,Szklarnia Ekspert Tunel 20×20 3x10m z poliwęglanem 4mm,85,0,0.0,0.0
