size_group,negative_phrase,match_type
2x4,2 x 4,phrase
2x4,2 x 4 m,phrase
2x4,2 x 4m,phrase
2x4,2 x4,phrase
2x4,2 x4 m,phrase
2x4,2 x4m,phrase
2x4,2x 4,phrase
2x4,2x 4 m,phrase
2x4,2x 4m,phrase
2x4,2x4,phrase
2x4,2x4 m,phrase
2x4,2x4m,phrase
3x4,3 x 4,phrase
3x4,3 x 4 m,phrase
3x4,3 x 4m,phrase
3x4,3 x4,phrase
3x4,3 x4 m,phrase
3x4,3 x4m,phrase
3x4,3x 4,phrase
3x4,3x 4 m,phrase
3x4,3x 4m,phrase
3x4,3x4,phrase
3x4,3x4 m,phrase
3x4,3x4m,phrase
3x6,3 x 6,phrase
3x6,3 x 6 m,phrase
3x6,3 x 6m,phrase
3x6,3 x6,phrase
3x6,3 x6 m,phrase
3x6,3 x6m,phrase
3x6,3x 6,phrase
3x6,3x 6 m,phrase
3x6,3x 6m,phrase
3x6,3x6,phrase
3x6,3x6 m,phrase
3x6,3x6m,phrase
4x6,4 x 6,phrase
4x6,4 x 6 m,phrase
4x6,4 x 6m,phrase
4x6,4 x6,phrase
4x6,4 x6 m,phrase
4x6,4 x6m,phrase
4x6,4x 6,phrase
4x6,4x 6 m,phrase
4x6,4x 6m,phrase
4x6,4x6,phrase
4x6,4x6 m,phrase
4x6,4x6m,phrase
