название	идентификатор	цена	состояние	наличие	Канал	ярлык фида	Язык	update type	все клики	доставка(сервис доставки:страна доставки:цена доставки)	категория продукта google	код производителя	марка	метка продавца 0	описание	ссылка	ссылка на изображение	тип товара
Fundament ze stali ocynkowanej pod szklarnię 2×6 m	614527717002	768.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:					"Fundament Ekspert służy jako dodatkowe wzmocnienie do mocowania szklarni na ziemi i pozwala przedłużyć żywotność szklarni. Fundament wykonany jest ze stali ocynkowanej o przekroju prostokątnym w kształcie litery U. Fundament dopasowany do szklarnie 2 x 6 m Zestaw zawiera: Profile-U (podstawy fundamentowe);Kotwy do wbijania w ziemię (8 szt.);Łączniki do montażu fundamentu;Zestaw montażowy do instalacji szklarni na fundamencie.Fundament jest łatwy w montażu zgodnie z naszą instrukcją. Nie musisz nic kupować, wszystkie niezbędne elementy są już w zestawie. Otrzymasz fundament wraz z niezbędnymi śrubami i wkrętami samogwintującymi do jego montażu, a także zestaw montażowy do zainstalowania szklarni na fundamencie. Specyfikacje: – Szerokość: 2 m – Długość: 6 m – Wysokość profilu-U: 8 cm – Szerokość profilu-U: 4 cm – Całkowita długość kotw: 40 cm – Długość kotw zanurzonych w ziemi: 32cm – Kotwy do wkopania w ziemię: 8 szt."	https://ekspertagro.pl/fundament-do-szklarni/tproduct/1614163071-614527717002-fundament-ze-stali-ocynkowanej-pod-szkla	https://static.tildacdn.one/stor3162-3932-4264-b935-376664326436/22126882.png	
Listwa uszczelniająca 4-6 mm PROFIL U 210cm	420041925872	10.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	56	:PL:					"Listwa uszczelniająca 4-6 mm profil U 210cm Profil w kształcie litery U stosuje się do ochrony powierzchni z poliwęglanu. Wykonany z lekkiego materiału, nie wpływa na ogólną masę konstrukcji. Ten profil zapewnia ochronę przed wilgocią i zanieczyszczeniami, utrzymując atrakcyjny wygląd przez długi okres czasu. Parametry: długość: 210 cm (2,1m)grubość: 4-6 mmkolor: przezroczystytyp: profil typu U Korzyści z wykorzystania profili zamykających: Odporność na warunki atmosferyczne i promieniowanie słoneczne: Profili można śmiało używać na zewnątrz, ponieważ są odporne na wpływ warunków atmosferycznych i promieni słonecznych.Lekkość: Wykonane z poliwęglanu profile są lekkie, co nieznacznie wpływa na ogólną wagę konstrukcji.Estetyka: Transparentna konstrukcja profilu jest praktycznie niewidoczna, nie ograniczając ilości przenikającego światła do wnętrza. Zapewnia to estetyczny wygląd szklarni.Łatwość obsługi i montażu: Profil można łatwo przyciąć do pożądanego rozmiaru, a jego montaż jest niezwykle prosty.Dopracowana grubość: Wymiary kołnierzy zostały starannie dostosowane, aby po zamontowaniu profilu płyta miała odpowiednią ilość miejsca. Dzięki temu może swobodnie dostosowywać się do zmian temperatury otoczenia.Ochrona przed zanieczyszczeniami: Profil zamykający to niezawodna ochrona przed zanieczyszczeniami i wilgocią, skutecznie chroniąca komory poliwęglanu. Dzięki temu szklarnia utrzymuje swój estetyczny wygląd na przestrzeni długiego okresu."	https://ekspertagro.pl/akcesoria-do-szklarni/tproduct/1578428051-420041925872-listwa-uszczelniajca-4-6-mm-profil-u-210	https://static.tildacdn.one/stor6135-3064-4136-b039-636631646564/4f98df2115ef185ecd204131b71a3079.jpg	
Szklarnia Ekspert Tunel 20×20 3x10m z poliwęglanem 4mm	659715384552	2649.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:				szklarnia	"Specyfikacje : Szerokość: 3 mDługość:10 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 20x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 4 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) SZKLARNIA EKSPERT TUNEL 20x20 3x10m z poliwęglanu 4 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Ekspert tunel 20x20 - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 20x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 4 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-ekspert-tunel-20-20/tproduct/2024415033-659715384552-szklarnia-ekspert-tunel-2020-3x10m-z-pol	https://static.tildacdn.one/stor3931-3332-4037-b538-343038306430/c116669647ff684a2df836e61f8a99ff.jpg	
Szklarnia Tytan Ekspert Tunel 40x20 4x6m z poliwęglanem 6mm	398130082402	3199.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:				szklarnia	"Specyfikacje: Szerokość szklarni: 4 mDługość szklarni: 6 mWysokość szklarni: 2,2 mOdstęp między łukami: 0,67 mProfil szklarnie: profil prostokątny z ocynku 40x20mmPokrycie szklarnie: poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (Odporny na promienie UV)Ilość drzwi: cztery drzwi (dwie z przodu i z tyłu)Ilość okienek: cztery okienka (dwa z przodu i z tyłu) W celu uzyskania maksymalnej sztywności front i tył szklarni zostały spawane, łuki są jednolite, bez węzłów połączeniowych. Szklarnia Ekspert Tunel Tytan 40x20 4x6 m z poliwęglanem 6 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Ekspert Tunel Tytan charakteryzuje się nowoczesną i wyjątkowo solidną konstrukcją wykonaną z ocynkowanych profili 40x20 mm, odpornych na działanie niekorzystnych warunków atmosferycznych. Jej zaokrąglony kształt zapobiega gromadzeniu się śniegu, a pokrycie z poliwęglanu komorowego o grubości 6 mm skutecznie chroni przed promieniowaniem UV, gradem oraz silnym wiatrem. Dzięki gęstemu rozmieszczeniu łuków co 67 cm cała konstrukcja pozostaje stabilna i niezawodna nawet w trudnych, zimowych warunkach. Nowoczesna szklarnia została stworzona z myślą o osobach, które świadomie podchodzą do ogrodnictwa i doskonale wiedzą, jakie mają potrzeby. To praktyczne rozwiązanie łączy w sobie trwałość, komfort użytkowania i wysoką funkcjonalność, dzięki czemu codzienna praca w ogrodzie staje się łatwiejsza i bardziej przyjemna. Umożliwia uprawę roślin w korzystnych warunkach niemal przez cały rok, niezależnie od pogody, co daje pewność obfitych i zdrowych plonów. Drzwi szklarni zaprojektowano tak, aby zapewniały maksymalną wygodę. Mogą być całkowicie otwarte, używane w trybie wietrzenia dzięki praktycznemu okienku lub otwierane tylko w jednej z dwóch części – w zależności od potrzeb w zakresie cyrkulacji powietrza. Wejście ma wymiary 1,8 x 1,81 m, drzwi – 0,89 x 1,8 m, a okienko – 0,41 x 0,86 m. W chłodniejsze dni wystarczy uchylić okienko, aby utrzymać optymalną temperaturę dla roślin, natomiast podczas upałów można otworzyć drzwi na oścież, zapewniając maksymalny przewiew i komfort uprawom. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel Tytan Rama szklarniowaKotwy do mocowania szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 6 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuDysza do wkrętarki do szkruby 4.2x19 z podkładką EPDMInstrukcja montażu w języku polskim Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarni/tproduct/1500649011-398130082402-szklarnia-tytan-ekspert-tunel-40x20-4x6m	https://static.tildacdn.one/stor6663-3531-4666-a365-643562356663/6482da203ffd9a28fa3031d1fa7ea434.jpg	
"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x10m z poliwęglanem 6mm"	133884544782	3549.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:				szklarnia	"Specyfikacje: Szerokość: 2,5 mDługość: 10 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 40x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia TIG EKSPERT KOMPAKT 2,5x10m z profilu 40x20mm z poliwęglanem 6mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia TIG EKSPERT KOMPAKT - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 6 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4-6mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-kompakt-ekspert-tunel/tproduct/2022989143-133884544782-szklarnia-kompakt-ekspert-tunel-40x20-25	https://static.tildacdn.one/stor3563-6165-4463-b361-306130326639/f579ae7eb135cb7314f0e67302a17b2d.jpg	
"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x6m z poliwęglanem 4mm"	965142315132	2179.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	3	:PL:				szklarnia	"Specyfikacje: Szerokość: 2,5 mDługość: 6 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 40x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 4 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia TIG EKSPERT KOMPAKT 2,5x6m z profilu 40x20mm z poliwęglanem 4mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia TIG EKSPERT KOMPAKT - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 4 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4-6mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-kompakt-ekspert-tunel/tproduct/2022989143-965142315132-szklarnia-kompakt-ekspert-tunel-40x20-25	https://static.tildacdn.one/stor3563-6165-4463-b361-306130326639/f579ae7eb135cb7314f0e67302a17b2d.jpg	
"Fundament ze stali ocynkowanej pod szklarnię 2,85×12 m"	878032369002	1419.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:					"Fundament Ekspert służy jako dodatkowe wzmocnienie do mocowania szklarni na ziemi i pozwala przedłużyć żywotność szklarni. Fundament wykonany jest ze stali ocynkowanej o przekroju prostokątnym w kształcie litery U. Fundament dopasowany do szklarnie 2,85 x 12 m Zestaw zawiera: Profile-U (podstawy fundamentowe);Kotwy do wbijania w ziemię (14 szt.);Łączniki do montażu fundamentu;Zestaw montażowy do instalacji szklarni na fundamencie.Fundament jest łatwy w montażu zgodnie z naszą instrukcją. Nie musisz nic kupować, wszystkie niezbędne elementy są już w zestawie. Otrzymasz fundament wraz z niezbędnymi śrubami i wkrętami samogwintującymi do jego montażu, a także zestaw montażowy do zainstalowania szklarni na fundamencie. Specyfikacje: – Szerokość: 2,85 m – Długość: 12 m – Wysokość profilu-U: 8 cm – Szerokość profilu-U: 4 cm – Całkowita długość kotw: 40 cm – Długość kotw zanurzonych w ziemi: 32cm – Kotwy do wkopania w ziemię: 14 szt."	https://ekspertagro.pl/fundament-do-szklarni/tproduct/1614163071-878032369002-fundament-ze-stali-ocynkowanej-pod-szkla	https://static.tildacdn.one/stor3162-3932-4264-b935-376664326436/22126882.png	
"Fundament ze stali ocynkowanej pod szklarnię 2,5×10 m"	971513357252	1199.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:					"Fundament Ekspert służy jako dodatkowe wzmocnienie do mocowania szklarni na ziemi i pozwala przedłużyć żywotność szklarni. Fundament wykonany jest ze stali ocynkowanej o przekroju prostokątnym w kształcie litery U. Fundament dopasowany do szklarnie 2,5 x 10 m Zestaw zawiera: Profile-U (podstawy fundamentowe);Kotwy do wbijania w ziemię (10 szt.);Łączniki do montażu fundamentu;Zestaw montażowy do instalacji szklarni na fundamencie.Fundament jest łatwy w montażu zgodnie z naszą instrukcją. Nie musisz nic kupować, wszystkie niezbędne elementy są już w zestawie. Otrzymasz fundament wraz z niezbędnymi śrubami i wkrętami samogwintującymi do jego montażu, a także zestaw montażowy do zainstalowania szklarni na fundamencie. Specyfikacje: – Szerokość: 2,5 m – Długość: 10 m – Wysokość profilu-U: 8 cm – Szerokość profilu-U: 4 cm – Całkowita długość kotw: 40 cm – Długość kotw zanurzonych w ziemi: 32cm – Kotwy do wkopania w ziemię: 10 szt."	https://ekspertagro.pl/fundament-do-szklarni/tproduct/1614163071-971513357252-fundament-ze-stali-ocynkowanej-pod-szkla	https://static.tildacdn.one/stor3162-3932-4264-b935-376664326436/22126882.png	
Szklarnia Went Ekspert Tunel 40x20 3x10m z poliwęglanem 4mm	231990200602	2929.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	1	:PL:				szklarnia	"Specyfikacje: Szerokość szklarni: 3 mDługość szklarni: 10 mWysokość szklarni: 2 mOdstęp między łukami: 0,67 mProfil szklarnie: rura prostokątna z ocynku 40x20mmPokrycie szklarnie: poliwęglan produkcji europejskiejGrubość poliwęglanu: 4 mm (Odporny na promienie UV)Ilość drzwi: dwoje drzwi (z przodu i z tyłu każda z drzwi składa się z dwóch otwierających elementów) W celu uzyskania maksymalnej sztywności front i tyl szklarni zostały spawane, łuki są jednolite, bez węzłów połączeniowych. Szklarnia Tunel Went Ekspert 40x20 3x10m z poliwęglanem 4mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Tunel Went Ekspert - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 4 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Nowa szklarnia wyposażona jest w podwójne drzwi, które można otwierać niezależnie lub jednocześnie. Takie rozwiązanie zapewnia lepszą wentylację z obu stron. Wymiary jednego segmentu drzwi to: szerokość 0,85 m i wysokość 0,89 m. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Tunel Went Ekspert: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-went-ekspert-tunel/tproduct/2024410953-231990200602-szklarnia-went-ekspert-tunel-40x20-3x10m	https://static.tildacdn.one/stor6462-6161-4630-b836-376366356462/2b82df02efac3ccca1b7588cdf2e8c96.jpg	
"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x2m z poliwęglanem 6mm"	193258993022	1499.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	84	:PL:				szklarnia	"Specyfikacje: Szerokość: 2,5 mDługość: 2 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 40x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia TIG EKSPERT KOMPAKT 2,5x2m z profilu 40x20mm z poliwęglanem 6mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia TIG EKSPERT KOMPAKT - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 6 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4-6mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-kompakt-ekspert-tunel/tproduct/2022989143-193258993022-szklarnia-kompakt-ekspert-tunel-40x20-25	https://static.tildacdn.one/stor3563-6165-4463-b361-306130326639/f579ae7eb135cb7314f0e67302a17b2d.jpg	
