Campaign,Status,Channel_type,Bidding_strategy,Daily_budget
general_pmax,ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,300.0
shop_pmax,ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,200.0
shop_search,ENABLED,SHOPPING,TARGET_SPEND,100.0
Performance Max-1,PAUSED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,500.0
shop / pm,PAUSED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,100.0
general / search / poliweglan,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,60.0
general / search / szklarnia/tunel,PAUSED,SEARCH,TARGET_SPEND,300.0
shop1 /search,PAUSED,SHOPPING,TARGET_SPEND,1000.0
shop2 / search,PAUSED,SHOPPING,MANUAL_CPC,1000.0
shop / pmax,REMOVED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,200.0
