campaign,date,term,impressions,clicks,cost,conversions,conv_value
shop_search,2026-09-21,0grody przydomowe,1,0,0.0,0.0,0.0
shop_search,2026-09-19,1 kup pl,6,0,0.0,0.0,0.0
shop2 / search,2026-05-12,1 szklarnia pl,1,0,0.0,0.0,0.0
shop_search,2026-09-17,1 szklarnia pl,1,0,0.0,0.0,0.0
shop1 /search,2026-01-28,10mm polycarbonate greenhouse,1,0,0.0,0.0,0.0
shop2 / search,2026-03-06,20 greenhouse plants,1,0,0.0,0.0,0.0
shop1 /search,2026-02-27,24garden,4,0,0.0,0.0,0.0
shop2 / search,2026-02-27,24garden,2,0,0.0,0.0,0.0
shop2 / search,2026-03-06,24garden,1,0,0.0,0.0,0.0
shop1 /search,2026-04-21,24garden,1,0,0.0,0.0,0.0
shop1 /search,2026-01-21,24garden pl,1,0,0.0,0.0,0.0
shop2 / search,2026-03-19,24garden pl internetowy sklep ogrodniczy,1,0,0.0,0.0,0.0
shop_search,2026-09-03,24garden pl internetowy sklep ogrodniczy,1,0,0.0,0.0,0.0
shop_search,2026-09-20,24garden pl internetowy sklep ogrodniczy,1,0,0.0,0.0,0.0
shop1 /search,2026-05-06,24garden pl ogrodniczy sklep internetowy,1,0,0.0,0.0,0.0
shop2 / search,2026-03-23,2mx2m greenhouse,1,0,0.0,0.0,0.0
shop1 /search,2026-03-12,2x4m,1,0,0.0,0.0,0.0
shop1 /search,2026-05-16,3 грядки в теплице,5,0,0.0,0.0,0.0
shop_search,2026-09-20,3m greenhouse,3,0,0.0,0.0,0.0
shop2 / search,2026-03-25,3x10m,1,0,0.0,0.0,0.0
shop1 /search,2026-05-05,3x4m,1,0,0.0,0.0,0.0
shop2 / search,2026-03-10,3x6m,2,0,0.0,0.0,0.0
shop1 /search,2026-03-12,3x6m,3,0,0.0,0.0,0.0
shop2 / search,2026-03-12,3x6m,2,0,0.0,0.0,0.0
shop2 / search,2026-03-16,3x6m,1,0,0.0,0.0,0.0
shop2 / search,2026-03-17,3x6m,1,1,3.49,0.0,0.0
shop2 / search,2026-03-26,3x6m,1,0,0.0,0.0,0.0
shop2 / search,2026-04-01,3x6m,2,0,0.0,0.0,0.0
shop2 / search,2026-04-14,3x6m,1,0,0.0,0.0,0.0
shop1 /search,2026-04-15,3x6m,1,0,0.0,0.0,0.0
shop2 / search,2026-04-15,3x6m,1,0,0.0,0.0,0.0
shop1 /search,2026-04-16,3x6m,1,0,0.0,0.0,0.0
shop2 / search,2026-04-16,3x6m,1,0,0.0,0.0,0.0
shop2 / search,2026-04-21,3x6m,1,0,0.0,0.0,0.0
shop1 /search,2026-01-19,3x8m,2,0,0.0,0.0,0.0
shop2 / search,2026-03-12,3x8m,2,0,0.0,0.0,0.0
shop2 / search,2026-05-11,3x8m,1,0,0.0,0.0,0.0
shop2 / search,2026-04-01,4 raum gewächshaus,3,0,0.0,0.0,0.0
