Date,Campaign_id,Campaign,Channel_type,Conversion_action,Conversions
2026-08-07,19153311519,Search | Brand | Pl,SEARCH,Звонки по объявлениям,1.0
2026-08-11,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,0.666667
2026-08-17,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-08-19,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-08-24,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-08-26,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,0.666667
2026-08-27,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-09-07,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.25
2026-09-08,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.25
2026-09-11,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-09-16,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-09-18,19153311519,Search | Brand | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-08-03,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,2.0
2026-08-03,19158580966,Search | Poliweglan | Pl,SEARCH,Звонки по объявлениям,1.0
2026-08-04,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,3.0
2026-08-10,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,4.998591
2026-08-11,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.333333
2026-08-12,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,2.0
2026-08-14,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.762889
2026-08-17,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,3.0
2026-08-19,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-08-21,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.5
2026-08-24,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-08-25,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,2.0
2026-08-26,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.333333
2026-08-26,19158580966,Search | Poliweglan | Pl,SEARCH,Звонки по объявлениям,1.0
2026-08-28,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-09-02,19158580966,Search | Poliweglan | Pl,SEARCH,Звонки по объявлениям,1.00324
2026-09-04,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,2.0
2026-09-07,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,4.0
2026-09-08,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-09-10,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,3.0
2026-09-14,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-09-16,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,2.0
2026-09-17,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-09-19,19158580966,Search | Poliweglan | Pl,SEARCH,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-08-18,23775369828,pmax1_test,PERFORMANCE_MAX,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,2.0
2026-08-19,23775369828,pmax1_test,PERFORMANCE_MAX,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,3.0
2026-08-19,23775369828,pmax1_test,PERFORMANCE_MAX,Звонки по объявлениям,1.0
2026-08-21,23775369828,pmax1_test,PERFORMANCE_MAX,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.5
2026-08-24,23775369828,pmax1_test,PERFORMANCE_MAX,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-08-25,23775369828,pmax1_test,PERFORMANCE_MAX,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,4.0
2026-08-27,23775369828,pmax1_test,PERFORMANCE_MAX,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,1.0
2026-09-07,23775369828,pmax1_test,PERFORMANCE_MAX,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,2.5
2026-09-08,23775369828,pmax1_test,PERFORMANCE_MAX,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,3.0
2026-09-09,23775369828,pmax1_test,PERFORMANCE_MAX,Звонки по объявлениям,0.99676
2026-09-10,23775369828,pmax1_test,PERFORMANCE_MAX,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,5.0
2026-09-14,23775369828,pmax1_test,PERFORMANCE_MAX,mocnaszklarnia.pl - GA4 (web) Ringostat_calls,8.0
