Week,Ads_campaign,Ringostat_unique_calls,Ads_call_conversions,Diff,Loss_pct
2026-08-18/2026-08-24,(статический канал — кампания не определяется),1.0,0.0,-1.0,100.0
2026-08-25/2026-08-31,(статический канал — кампания не определяется),2.0,0.0,-2.0,100.0
2026-09-01/2026-09-07,(статический канал — кампания не определяется),3.0,0.0,-3.0,100.0
2026-09-08/2026-09-14,(статический канал — кампания не определяется),8.0,0.0,-8.0,100.0
2026-09-15/2026-09-21,(статический канал — кампания не определяется),2.0,0.0,-2.0,100.0
2026-08-04/2026-08-10,Search | Brand | Pl,0.0,1.0,1.0,
2026-08-11/2026-08-17,Search | Brand | Pl,1.0,1.666667,0.6666669999999999,-66.7
2026-08-18/2026-08-24,Search | Brand | Pl,3.0,2.0,-1.0,33.3
2026-08-25/2026-08-31,Search | Brand | Pl,2.0,1.666667,-0.3333330000000001,16.7
2026-09-01/2026-09-07,Search | Brand | Pl,4.0,1.25,-2.75,68.8
2026-09-08/2026-09-14,Search | Brand | Pl,3.0,2.25,-0.75,25.0
2026-09-15/2026-09-21,Search | Brand | Pl,2.0,2.0,0.0,0.0
2026-07-28/2026-08-03,Search | Poliweglan | Pl,1.0,3.0,2.0,-200.0
2026-08-04/2026-08-10,Search | Poliweglan | Pl,5.0,7.998591,2.9985910000000002,-60.0
2026-08-11/2026-08-17,Search | Poliweglan | Pl,6.0,8.096222000000001,2.096222000000001,-34.9
2026-08-18/2026-08-24,Search | Poliweglan | Pl,5.0,3.5,-1.5,30.0
2026-08-25/2026-08-31,Search | Poliweglan | Pl,6.0,5.333333,-0.6666670000000003,11.1
2026-09-01/2026-09-07,Search | Poliweglan | Pl,10.0,7.00324,-2.99676,30.0
2026-09-08/2026-09-14,Search | Poliweglan | Pl,3.0,5.0,2.0,-66.7
2026-09-15/2026-09-21,Search | Poliweglan | Pl,4.0,4.0,0.0,0.0
2026-09-15/2026-09-21,demand_gen_23496141349_search,2.0,0.0,-2.0,100.0
2026-08-04/2026-08-10,pmax1,1.0,0.0,-1.0,100.0
2026-08-04/2026-08-10,pmax1_test,2.0,0.0,-2.0,100.0
2026-08-11/2026-08-17,pmax1_test,6.0,0.0,-6.0,100.0
2026-08-18/2026-08-24,pmax1_test,21.0,8.5,-12.5,59.5
2026-08-25/2026-08-31,pmax1_test,15.0,5.0,-10.0,66.7
2026-09-01/2026-09-07,pmax1_test,3.0,2.5,-0.5,16.7
2026-09-08/2026-09-14,pmax1_test,13.0,16.996760000000002,3.996760000000002,-30.7
2026-09-15/2026-09-21,pmax1_test,4.0,0.0,-4.0,100.0
2026-09-08/2026-09-14,s_23439487425_search,1.0,0.0,-1.0,100.0
