Id,Name,Type,Status,State,BiddingStrategyType
64984445,Первая кампания,TEXT_CAMPAIGN,MODERATION,ARCHIVED,AVERAGE_CPC
64985349,ЕГЭ Поиск (литература),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985350,ЕГЭ Поиск (Районы-Москва),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985353,ЕГЭ Поиск (Районы-областьБЛИЗКО),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985356,ЕГЭ Поиск (Районы-областьДАЛЕКО),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985357,ЕГЭ Поиск (конкуренты),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985359,ЕГЭ РСЯ (предметы),TEXT_CAMPAIGN,MODERATION,ARCHIVED,SERVING_OFF
64985360,ЕГЭ РСЯ (общие),TEXT_CAMPAIGN,MODERATION,ARCHIVED,SERVING_OFF
64985362,ЕГЭ РСЯ (конкуренты),TEXT_CAMPAIGN,MODERATION,ARCHIVED,SERVING_OFF
64985363,ЕГЭ РСЯ (районы),TEXT_CAMPAIGN,MODERATION,ARCHIVED,SERVING_OFF
64985365,ПОИСК | ЦЕЛ ГЕО,TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985366,РСЯ | ЦЕЛ ГЕО,TEXT_CAMPAIGN,MODERATION,ARCHIVED,SERVING_OFF
64985367,ПОИСК | Бренд,TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985371,[new] ПОИСК | Авто,TEXT_CAMPAIGN,MODERATION,ARCHIVED,AVERAGE_CPC
64985372,[new] РСЯ | Околоцел.,TEXT_CAMPAIGN,MODERATION,ARCHIVED,SERVING_OFF
64985373,ПОИСК | Горячие,TEXT_CAMPAIGN,MODERATION,ARCHIVED,AVERAGE_CPC
64985375,"ПОИСК | Курсы, подготовка - широкие",TEXT_CAMPAIGN,MODERATION,ARCHIVED,WB_MAXIMUM_CLICKS
64985379,ПОИСК  | Экспресс подготовка,TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985381,РСЯ | Ретаргет,TEXT_CAMPAIGN,MODERATION,ARCHIVED,SERVING_OFF
64985382,ПОИСК |  Ж 35-44,TEXT_CAMPAIGN,MODERATION,ARCHIVED,AVERAGE_CPC
64985385,ПОИСК | !Курсы,TEXT_CAMPAIGN,MODERATION,ARCHIVED,AVERAGE_CPC
64985388,РСЯ | !Курсы,TEXT_CAMPAIGN,MODERATION,ARCHIVED,SERVING_OFF
64985389,ЕГЭ Поиск (общие),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985390,ЕГЭ Поиск (математика),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985391,ЕГЭ Поиск (русский),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985394,ЕГЭ Поиск (обществознание),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985395,ЕГЭ Поиск (английский),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985396,ЕГЭ Поиск (биология),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985397,ЕГЭ Поиск (история),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
64985398,ЕГЭ Поиск (физика),TEXT_CAMPAIGN,MODERATION,ARCHIVED,HIGHEST_POSITION
