Date	CampaignId	CampaignName	Impressions	Clicks	Cost	Conversions_222490461_AUTO	Conversions_40404508_AUTO	Bounces
2026-07-01	76937120	поиск / бренд / мск	17	2	226.48	--	--	0
2026-07-01	90292772	поиск / егэ+огэ / цел_гео	2	1	113.84	--	--	0
2026-07-01	91392732	поиск / егэ+огэ / коммерс	7	1	111.59	--	--	0
2026-07-01	111494415	поиск / егэ+огэ / сем: мск + округи	59	3	729.45	--	--	0
2026-07-01	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	205	3	227.51	--	--	0
2026-07-01	702638439	поиск / егэ+огэ / коммерс 2	39	0	0.00	--	--	0
2026-07-01	710926114	мк / егэ / набор 26 / 2606-1	1344	32	0.00	--	--	15
2026-07-02	76937120	поиск / бренд / мск	4	1	24.09	--	--	0
2026-07-02	90292772	поиск / егэ+огэ / цел_гео	6	1	53.14	--	--	0
2026-07-02	91392732	поиск / егэ+огэ / коммерс	15	3	1263.08	--	1	0
2026-07-02	111494415	поиск / егэ+огэ / сем: мск + округи	57	2	546.42	--	--	0
2026-07-02	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	247	1	203.16	--	--	0
2026-07-02	702638439	поиск / егэ+огэ / коммерс 2	43	4	832.49	--	--	0
2026-07-02	710926114	мк / егэ / набор 26 / 2606-1	1271	27	0.00	--	--	10
2026-07-03	76937120	поиск / бренд / мск	7	2	168.52	--	--	0
2026-07-03	90292772	поиск / егэ+огэ / цел_гео	1	1	59.09	--	--	0
2026-07-03	91392732	поиск / егэ+огэ / коммерс	14	1	132.27	--	--	0
2026-07-03	111494415	поиск / егэ+огэ / сем: мск + округи	43	2	2669.24	--	--	0
2026-07-03	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	105	3	513.58	--	--	0
2026-07-03	702638439	поиск / егэ+огэ / коммерс 2	28	0	0.00	--	--	0
2026-07-03	710926114	мк / егэ / набор 26 / 2606-1	1057	14	0.00	--	--	3
2026-07-04	76937120	поиск / бренд / мск	8	0	0.00	--	--	0
2026-07-04	90292772	поиск / егэ+огэ / цел_гео	2	0	0.00	--	--	0
2026-07-04	91392732	поиск / егэ+огэ / коммерс	5	0	0.00	--	--	0
2026-07-04	111494415	поиск / егэ+огэ / сем: мск + округи	19	2	926.57	--	--	0
2026-07-04	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	61	3	299.86	--	--	0
2026-07-04	702638439	поиск / егэ+огэ / коммерс 2	9	0	0.00	--	--	0
2026-07-04	710926114	мк / егэ / набор 26 / 2606-1	1160	34	0.00	--	--	8
2026-07-05	76937120	поиск / бренд / мск	7	1	50.85	--	--	1
2026-07-05	90292772	поиск / егэ+огэ / цел_гео	5	1	106.26	--	--	0
2026-07-05	91392732	поиск / егэ+огэ / коммерс	13	2	73.49	--	--	0
2026-07-05	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	54	1	51.22	--	--	0
