"Дата визита","Источник трафика","Источник трафика (детально)","Кампания Яндекс Директа","UTM Campaign","Достигнутая цель","Визиты"
"Итого и средние","","","","","","166"
"2026-06-27","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","4"
"2026-06-01","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","3"
"2026-06-02","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","3"
"2026-06-25","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","3"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","3"
"2026-07-16","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","Общая (с 11.10.21)","3"
"2026-07-16","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","3"
"2026-06-02","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-04","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-06","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-09","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-09","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / сем: мск + округи ( N-111494415 )","поиск / егэ+огэ / сем: мск + округи_111494415_search","Общая (с 11.10.21)","2"
"2026-06-14","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-15","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-17","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-20","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-21","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-23","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-25","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-29","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-07-01","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-07-03","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-07-07","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-07-08","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-07-10","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 4 ( N-712259476 )","ege-merlin.ru от 20.05.26 — 4_712259476_search","Общая (с 11.10.21)","2"
"2026-07-14","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","2"
"2026-07-14","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-07-16","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-07-16","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","2"
"2026-07-17","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","Общая (с 11.10.21)","2"
"2026-06-01","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-01","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","Общая (с 11.10.21)","1"
"2026-06-01","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","Не определено","Общая (с 11.10.21)","1"
"2026-06-02","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-02","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-02","Переходы по рекламе","Яндекс: Директ","ege-merlin.ru от 20.05.26 — 2 ( N-710210591 )","ege-merlin.ru от 20.05.26 — 2_710210591_search","Общая (с 11.10.21)","1"
"2026-06-03","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-03","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","cid|91392732|search","Общая (с 11.10.21)","1"
"2026-06-03","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-06-04","Переходы по рекламе","Яндекс: Директ","поиск / бренд / мск ( N-76937120 )","Не определено","Общая (с 11.10.21)","1"
"2026-06-04","Переходы по рекламе","Яндекс: Директ","поиск / бренд / мск ( N-76937120 )","поиск / бренд / мск_76937120_search","Общая (с 11.10.21)","1"
"2026-06-04","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-06-05","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-05","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-05","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-06-06","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-06","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-06","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / бренд / мск_76937120_search","Общая (с 11.10.21)","1"
"2026-06-07","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-06-08","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-08","Переходы по рекламе","Avito Ads","Не определено","876935294","Общая (с 11.10.21)","1"
"2026-06-08","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-06-09","Переходы по рекламе","Avito Ads","Не определено","876935294","Общая (с 11.10.21)","1"
"2026-06-10","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-10","Переходы по рекламе","Avito Ads","Не определено","867118534","Общая (с 11.10.21)","1"
"2026-06-10","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-11","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-06-12","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-06-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-13","Переходы по рекламе","Яндекс: Директ","поиск / бренд / мск ( N-76937120 )","поиск / бренд / мск_76937120_search","Общая (с 11.10.21)","1"
"2026-06-14","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-14","Переходы по рекламе","Avito Ads","Не определено","323184232","Общая (с 11.10.21)","1"
"2026-06-14","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","Общая (с 11.10.21)","1"
"2026-06-15","Переходы по рекламе","Яндекс: Директ","поиск / бренд / мск ( N-76937120 )","Не определено","Общая (с 11.10.21)","1"
"2026-06-15","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / цел_гео ( N-90292772 )","поиск / егэ+огэ / цел_гео_90292772_search","Общая (с 11.10.21)","1"
"2026-06-16","Переходы из поисковых систем","Bing","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-16","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-06-17","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-17","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","cid|91392732|search","Общая (с 11.10.21)","1"
"2026-06-17","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","Общая (с 11.10.21)","1"
"2026-06-17","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / сем: мск + округи ( N-111494415 )","поиск / егэ+огэ / сем: мск + округи_111494415_search","Общая (с 11.10.21)","1"
"2026-06-17","Переходы по рекламе","Яндекс: Директ","поиск / летние курсы егэ и огэ ( N-709924126 )","поиск / летние курсы егэ и огэ_709924126_search","Общая (с 11.10.21)","1"
"2026-06-18","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-18","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-18","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","Общая (с 11.10.21)","1"
"2026-06-19","Переходы по рекламе","Яндекс: Директ","поиск / бренд / мск ( N-76937120 )","Не определено","Общая (с 11.10.21)","1"
"2026-06-21","Внутренние переходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-21","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-22","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-22","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-22","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-22","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / сем: мск + округи ( N-111494415 )","поиск / егэ+огэ / сем: мск + округи_111494415_search","Общая (с 11.10.21)","1"
"2026-06-24","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-24","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-25","Переходы по рекламе","Яндекс: Директ","мк / егэ / набор 26 / 2606-1 ( N-710926114 )","мк / егэ / набор 26 / 2606-1_710926114_search","Общая (с 11.10.21)","1"
"2026-06-25","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-26","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-27","Переходы по рекламе","Другая реклама: определено по меткам","Не определено","поиск / егэ+огэ / коммерс_91392732_search","Общая (с 11.10.21)","1"
"2026-06-28","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-29","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-29","Переходы по рекламе","Другая реклама: определено по меткам","Не определено","поиск / егэ+огэ / цел_гео_90292772_search","Общая (с 11.10.21)","1"
"2026-06-29","Переходы по рекламе","Яндекс: Директ","поиск / бренд / мск ( N-76937120 )","поиск / бренд / мск_76937120_search","Общая (с 11.10.21)","1"
"2026-06-29","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","поиск / егэ+огэ / коммерс_91392732_search","Общая (с 11.10.21)","1"
"2026-06-29","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / цел_гео ( N-90292772 )","поиск / егэ+огэ / цел_гео_90292772_search","Общая (с 11.10.21)","1"
"2026-06-30","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-30","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-30","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-06-30","Переходы по рекламе","Яндекс: Директ","поиск / бренд / мск ( N-76937120 )","поиск / бренд / мск_76937120_search","Общая (с 11.10.21)","1"
"2026-06-30","Переходы по рекламе","Яндекс: Директ","поиск / егэ+огэ / коммерс ( N-91392732 )","Не определено","Общая (с 11.10.21)","1"
"2026-07-01","Переходы по рекламе","Avito Ads","Не определено","749305090","Общая (с 11.10.21)","1"
"2026-07-02","Прямые заходы","Не определено","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-02","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Общая (с 11.10.21)","1"
"2026-07-02","Переходы из поисковых систем","Google","Не определено","Не определено","Общая (с 11.10.21)","1"
