"Дата визита","Источник трафика","Источник трафика (детально)","Кампания Яндекс Директа","UTM Campaign","Достигнутая цель","Визиты"
"Итого и средние","","","","","","1093"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Визит","90"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","Визит","67"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","30 сек","65"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_10","65"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","30 сек","59"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","Визит","56"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Визит","54"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_10","51"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","[!] Просмотр более 1 стр.","47"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Просмотр 2-х стр.","47"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_10","46"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","30 сек","46"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","60 сек","44"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","Визит","41"
"2026-07-13","Прямые заходы","Не определено","Не определено","Не определено","Визит","40"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_10","40"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_10","39"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_25","39"
"2026-07-11","Переходы из поисковых систем","Google","Не определено","Не определено","Визит","38"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","30 сек","38"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","90 сек","37"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","Визит","36"
"2026-07-11","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_10","35"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_25","35"
"2026-07-12","Прямые заходы","Не определено","Не определено","Не определено","Визит","34"
"2026-07-15","Переходы из поисковых систем","Яндекс","Не определено","Не определено","60 сек","34"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_25","33"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","30 сек","33"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","[!] Просмотр более 1 стр.","33"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","Просмотр 2-х стр.","33"
"2026-07-13","Переходы из поисковых систем","Google","Не определено","Не определено","30 сек","32"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","60 сек","32"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_25","32"
"2026-07-11","Прямые заходы","Не определено","Не определено","Не определено","Визит","31"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","Визит","31"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_50","31"
"2026-07-12","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_10","30"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Визит","30"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","[!] Просмотр более 1 стр.","30"
"2026-07-14","Переходы из поисковых систем","Google","Не определено","Не определено","Просмотр 2-х стр.","30"
"2026-07-15","Переходы из поисковых систем","Google","Не определено","Не определено","120 сек","30"
"2026-07-11","Переходы из поисковых систем","Google","Не определено","Не определено","30 сек","29"
"2026-07-11","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_25","29"
"2026-07-11","Переходы из поисковых систем","Google","Не определено","Не определено","scroll_50","29"
"2026-07-12","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Визит","28"
"2026-07-13","Прямые заходы","Не определено","Не определено","Не определено","scroll_10","28"
"2026-07-13","Переходы из поисковых систем","Яндекс","Не определено","Не определено","scroll_10","28"
"2026-07-14","Прямые заходы","Не определено","Не определено","Не определено","Визит","28"
"2026-07-15","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","Визит","28"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","[!] Просмотр более 1 стр.","27"
"2026-07-14","Переходы из поисковых систем","Яндекс","Не определено","Не определено","Просмотр 2-х стр.","27"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","[!] Просмотр более 1 стр.","27"
"2026-07-15","Переходы по ссылкам на сайтах","mail.ru","Не определено","Не определено","Просмотр 2-х стр.","27"
"2026-07-15","Переходы из рекомендательных систем","Дзен","Не определено","Не определено","30 сек","27"
