Date,TrafficSource,Source,UTM Campaign,UTM Content,Goal_name,Goal_visits
2026-06-01,Переходы по рекламе,YaDirect,Не определено,Не определено,Общая (с 11.10.21),1
2026-06-01,Переходы по рекламе,YaDirect,поиск / егэ+огэ / коммерс_91392732_search,rb|cid_91392732|src_search|gid_5247514384|aid_170429040220|kw_Офлайн подготовка к ЕГЭ по математике|kwid_52908522380|plc_none|dev_desktop|geo_Москва|geoid_213|audid_52908522380|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-03,Переходы по рекламе,YaDirect,cid|91392732|search,rb|cid|91392732|search|gid|5247514384|aid|170429040220|kw|Очные школы по подготовке к ЕГЭ|kw_id|52908522373|placement|none|device|mobile|geo|Москва|geo_id|213|aud_id|52908522373|block|premium|position|1,Общая (с 11.10.21),1
2026-06-04,Переходы по рекламе,YaDirect,Не определено,Не определено,Общая (с 11.10.21),1
2026-06-04,Переходы по рекламе,YaDirect,поиск / бренд / мск_76937120_search,rb|cid_76937120|src_search|gid_4986115638|aid_164422179840|kw_merlin school|kwid_47081600589|plc_none|dev_mobile|geo_Москва|geoid_213|audid_47081600589|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-06,Переходы по рекламе,YaDirect,поиск / бренд / мск_76937120_search,rb|cid_76937120|src_search|gid_4986115638|aid_164422179840|kw_огэ мерлин|kwid_40316073727|plc_none|dev_mobile|geo_Москва|geoid_213|audid_40316073727|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-09,Переходы по рекламе,YaDirect,поиск / егэ+огэ / сем: мск + округи_111494415_search,rb|cid_111494415|src_search|gid_5453364175|aid_172350730320|kw_Подготовка к ЕГЭ Москва|kwid_52012360264|plc_none|dev_mobile|geo_Москва|geoid_213|audid_52012360264|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-09,Переходы по рекламе,YaDirect,поиск / егэ+огэ / сем: мск + округи_111494415_search,rb|cid_111494415|src_search|gid_5453364176|aid_172350730330|kw_Подготовка к ОГЭ Москва|kwid_52012360300|plc_go.mail.ru|dev_mobile|geo_Москва|geoid_213|audid_52012360300|block_premium|pos_3,Общая (с 11.10.21),1
2026-06-13,Переходы по рекламе,YaDirect,поиск / бренд / мск_76937120_search,rb|cid_76937120|src_search|gid_4986115638|aid_164422179840|kw_merlin school|kwid_47081600589|plc_none|dev_desktop|geo_Москва|geoid_213|audid_47081600589|block_premium|pos_1,Общая (с 11.10.21),1
2026-06-14,Переходы по рекламе,YaDirect,поиск / егэ+огэ / коммерс_91392732_search,rb|cid_91392732|src_search|gid_5247514384|aid_170429040220|kw_Подготовка к ЕГЭ очно|kwid_46132984232|plc_none|dev_mobile|geo_Москва|geoid_213|audid_46132984232|block_premium|pos_1,Общая (с 11.10.21),1
