date,product_id,product_title,l1,clicks,cost,conversions
2026-07-09,gla_28168,"Прапор ""Серебрянський ліс""",прапори,1,1.17,0.0
2026-07-09,gla_32051,Штани чоловічі спортивні широкі,sale,2,40.16,0.0
2026-07-09,gla_28002,"Прапор ""Дрони ведуть""",прапори,3,34.27,0.0
2026-07-09,gla_32267,Зіп-худі unisex “Tarot”,sale,4,25.89,0.0
2026-07-09,gla_30345,"Прапор ""План помсти""",прапори,2,13.89,0.0
2026-07-09,gla_32052,Штани чоловічі спортивні широкі,sale,3,15.54,0.0
2026-07-09,gla_27990,"Прапор ""За столом смерті""",прапори,1,0.58,0.0
2026-07-09,gla_28083,"Прапор ""333""",прапори,1,15.42,0.0
2026-07-09,gla_32054,Штани чоловічі спортивні широкі,sale,2,24.6,0.0
2026-07-09,gla_32993,"Прапор ""Лелека""",прапори,2,12.89,0.0
2026-07-09,gla_30664,"Прапор ""Дорога на схід""",прапори,1,24.09,0.0
2026-07-09,gla_28209,"Прапор ""Тиша""",прапори,2,6.4,0.0
2026-07-09,gla_28389,"Прапор ""Морпіхи""",прапори,1,39.54,0.0
2026-07-09,gla_32288,Зіп-худі unisex “Azazel”,sale,5,28.5,0.11285
2026-07-09,gla_32774,"Футболка unisex ""Вампір""",sale,1,8.92,0.0
2026-07-09,gla_30743,"Прапор ""Штурмовики""",прапори,3,17.63,0.0
2026-07-09,gla_33492,"Прапор ""Танкісти""",прапори,1,10.77,0.0
2026-07-09,gla_32109,Зіп-худі unisex “Azazel”,sale,3,55.37,0.0
2026-07-09,gla_32328,Футболка unisex “Garden of Bones”,sale,1,4.3,0.0
2026-07-09,gla_28377,"Прапор ""Одного разу під Луганськом""",прапори,1,8.52,0.0
2026-07-09,gla_33193,"Прапор ""Кулеметник""",прапори,1,4.87,0.0
2026-07-09,gla_33450,"Прапор ""Згідно з наказом""",прапори,4,26.97,0.0
2026-07-09,gla_33451,"Прапор ""Зелений спектр""",прапори,2,19.74,0.0
2026-07-09,gla_30710,"Прапор ""Баба Яга""",прапори,2,8.5,0.0
2026-07-09,gla_32256,Зіп-худі unisex “Welcome to hell”,sale,8,54.15,0.0
2026-07-09,gla_32783,"Футболка unisex ""Вампір""",sale,2,20.4,0.0
2026-07-09,gla_32108,Зіп-худі unisex “Azazel”,sale,3,51.72,0.0
2026-07-10,gla_28002,"Прапор ""Дрони ведуть""",прапори,1,12.68,0.0
2026-07-10,gla_32267,Зіп-худі unisex “Tarot”,sale,3,41.49,0.0
2026-07-10,gla_28387,"Прапор ""Тобі п*зда""",прапори,1,6.39,0.0
2026-07-10,gla_30738,"Прапор ""Інженер""",прапори,1,1.91,0.0
2026-07-10,gla_32052,Штани чоловічі спортивні широкі,sale,4,80.71,0.0
2026-07-10,gla_32053,Штани чоловічі спортивні широкі,sale,1,2.64,0.0
2026-07-10,gla_27990,"Прапор ""За столом смерті""",прапори,1,5.33,0.0
2026-07-10,gla_32216,Світшот чоловічий “Welcome to hell”,новинки,1,4.63,0.0
2026-07-10,gla_32054,Штани чоловічі спортивні широкі,sale,1,16.38,0.0
2026-07-10,gla_32211,Світшот чоловічий “Warrior”,новинки,1,3.65,0.0
2026-07-10,gla_32106,Зіп-худі unisex “Azazel”,sale,1,5.11,0.0
2026-07-10,gla_32288,Зіп-худі unisex “Azazel”,sale,3,15.02,0.0
2026-07-10,gla_32109,Зіп-худі unisex “Azazel”,sale,1,2.51,0.0
2026-07-10,gla_32328,Футболка unisex “Garden of Bones”,sale,1,10.57,0.0
2026-07-10,gla_28144,"Прапор ""Механік""",прапори,1,6.78,0.0
2026-07-10,gla_33205,"Прапор ""Стабік""",прапори,3,36.78,0.0
2026-07-10,gla_32256,Зіп-худі unisex “Welcome to hell”,sale,14,236.62,0.0
2026-07-10,gla_32108,Зіп-худі unisex “Azazel”,sale,4,48.14,0.0
2026-07-11,gla_30751,"Прапор ""Камікадзе""",прапори,1,4.87,0.0
2026-07-11,gla_32073,Зіп-худі unisex “Warrior”,sale,1,5.55,0.0
2026-07-11,gla_32308,Футболка unisex “Welcome to hell”,sale,3,22.6,0.0
2026-07-11,gla_32199,"Футболка unisex ""Вампір""",sale,1,14.58,0.0
2026-07-11,gla_28002,"Прапор ""Дрони ведуть""",прапори,1,6.34,0.0
2026-07-11,gla_32267,Зіп-худі unisex “Tarot”,sale,10,93.36,1.0
2026-07-11,gla_30345,"Прапор ""План помсти""",прапори,1,5.67,0.0
2026-07-11,gla_28225,"Прапор ""Привиди вогню""",прапори,1,7.42,0.0
2026-07-11,gla_30738,"Прапор ""Інженер""",прапори,2,6.65,2.0
2026-07-11,gla_32052,Штани чоловічі спортивні широкі,sale,2,24.21,0.0
2026-07-11,gla_32053,Штани чоловічі спортивні широкі,sale,3,26.43,0.0
2026-07-11,gla_32263,Зіп-худі unisex “Tarot”,sale,1,0.66,0.0
2026-07-11,gla_28083,"Прапор ""333""",прапори,2,13.92,0.0
2026-07-11,gla_32175,Футболка unisex “Garden of Bones”,новинки,1,53.04,0.0
2026-07-11,gla_32054,Штани чоловічі спортивні широкі,sale,1,4.32,0.0
2026-07-11,gla_32993,"Прапор ""Лелека""",прапори,1,0.85,0.0
2026-07-11,gla_30743,"Прапор ""Штурмовики""",прапори,5,34.81,0.0
2026-07-11,gla_32109,Зіп-худі unisex “Azazel”,sale,3,32.31,0.0
2026-07-11,gla_32139,Футболка unisex “Azazel”,чоловічий одяг,1,2.74,0.0
2026-07-11,gla_28377,"Прапор ""Одного разу під Луганськом""",прапори,1,3.02,0.0
2026-07-11,gla_33450,"Прапор ""Згідно з наказом""",прапори,3,23.62,0.352448
2026-07-11,gla_32256,Зіп-худі unisex “Welcome to hell”,sale,11,125.15,0.0
2026-07-11,gla_32108,Зіп-худі unisex “Azazel”,sale,2,6.65,0.0
2026-07-12,gla_30751,"Прапор ""Камікадзе""",прапори,2,21.31,0.0
2026-07-12,gla_32308,Футболка unisex “Welcome to hell”,sale,1,18.83,0.0
2026-07-12,gla_32257,Зіп-худі unisex “Welcome to hell”,sale,4,50.6,0.0
2026-07-12,gla_32199,"Футболка unisex ""Вампір""",sale,1,7.96,0.0
2026-07-12,gla_32051,Штани чоловічі спортивні широкі,sale,1,9.42,0.0
2026-07-12,gla_32267,Зіп-худі unisex “Tarot”,sale,1,17.09,0.0
2026-07-12,gla_28225,"Прапор ""Привиди вогню""",прапори,1,37.38,0.0
2026-07-12,gla_30738,"Прапор ""Інженер""",прапори,1,3.26,0.0
2026-07-12,gla_33517,"Прапор ""Перехоплювач""",прапори,1,9.21,0.0
2026-07-12,gla_32078,Зіп-худі unisex “Welcome to hell”,sale,2,34.85,0.0
2026-07-12,gla_33468,"Прапор ""Залізні побратими""",прапори,1,3.64,0.0
2026-07-12,gla_28253,"Прапор ""Звʼязок""",прапори,1,12.17,0.0
2026-07-12,gla_32284,Зіп-худі unisex “Azazel”,sale,2,4.74,0.0
2026-07-12,gla_32053,Штани чоловічі спортивні широкі,sale,1,9.1,0.0
2026-07-12,gla_27990,"Прапор ""За столом смерті""",прапори,1,21.68,0.0
2026-07-12,gla_32263,Зіп-худі unisex “Tarot”,sale,1,3.05,0.0
2026-07-12,gla_32088,Зіп-худі unisex “Tarot”,sale,2,42.52,0.0
2026-07-12,gla_30664,"Прапор ""Дорога на схід""",прапори,1,3.59,0.0
2026-07-12,gla_28187,"Прапор ""FPV пілот""",прапори,1,8.99,0.0
2026-07-12,gla_33568,"Прапор ""Грім і сталь""",прапори,1,3.74,0.0
2026-07-12,gla_32079,Зіп-худі unisex “Welcome to hell”,sale,1,2.86,0.0
2026-07-12,gla_32264,Зіп-худі unisex “Tarot”,sale,2,4.44,0.0
2026-07-12,gla_32288,Зіп-худі unisex “Azazel”,sale,2,22.92,0.0
2026-07-12,gla_32774,"Футболка unisex ""Вампір""",sale,2,34.89,0.0
2026-07-12,gla_30743,"Прапор ""Штурмовики""",прапори,1,6.34,0.0
2026-07-12,gla_32285,Зіп-худі unisex “Azazel”,sale,1,5.39,0.0
2026-07-12,gla_32103,Зіп-худі unisex “Arch of the Underworld”,sale,1,6.19,0.0
2026-07-12,gla_28144,"Прапор ""Механік""",прапори,1,4.72,0.0
2026-07-12,gla_33232,"Прапор ""Знайомство з пісюном""",прапори,3,21.03,0.0
2026-07-12,gla_32256,Зіп-худі unisex “Welcome to hell”,sale,11,85.5,0.0
2026-07-12,gla_32783,"Футболка unisex ""Вампір""",sale,1,2.19,0.0
2026-07-12,gla_32108,Зіп-худі unisex “Azazel”,sale,2,24.68,0.0
2026-07-13,gla_32073,Зіп-худі unisex “Warrior”,sale,2,67.03,0.0
2026-07-13,gla_32308,Футболка unisex “Welcome to hell”,sale,1,4.53,0.0
2026-07-13,gla_32257,Зіп-худі unisex “Welcome to hell”,sale,9,56.42,0.25
2026-07-13,gla_32199,"Футболка unisex ""Вампір""",sale,1,6.35,0.0
2026-07-13,gla_28002,"Прапор ""Дрони ведуть""",прапори,1,5.01,0.0
2026-07-13,gla_32267,Зіп-худі unisex “Tarot”,sale,1,4.94,0.0
2026-07-13,gla_32220,Світшот чоловічий “Tarot”,чоловічий одяг,1,8.41,0.0
2026-07-13,gla_32085,Зіп-худі unisex “Tarot”,sale,1,3.17,0.0
2026-07-13,gla_30738,"Прапор ""Інженер""",прапори,2,2.19,0.0
2026-07-13,gla_33517,"Прапор ""Перехоплювач""",прапори,1,1.76,0.0
2026-07-13,gla_32078,Зіп-худі unisex “Welcome to hell”,sale,1,5.49,0.0
2026-07-13,gla_33468,"Прапор ""Залізні побратими""",прапори,1,5.32,0.0
2026-07-13,gla_32053,Штани чоловічі спортивні широкі,sale,6,72.83,0.0
2026-07-13,gla_27990,"Прапор ""За столом смерті""",прапори,2,16.31,0.0
2026-07-13,gla_32260,Зіп-худі unisex “Welcome to hell”,sale,3,20.67,0.0
2026-07-13,gla_32088,Зіп-худі unisex “Tarot”,sale,2,20.33,0.0
2026-07-13,gla_32110,Зіп-худі unisex “Azazel”,sale,1,12.93,0.0
2026-07-13,gla_32175,Футболка unisex “Garden of Bones”,новинки,1,2.98,0.0
2026-07-13,gla_32054,Штани чоловічі спортивні широкі,sale,2,31.41,0.0
2026-07-13,gla_32215,Світшот чоловічий “Welcome to hell”,новинки,1,6.34,0.0
2026-07-13,gla_32264,Зіп-худі unisex “Tarot”,sale,3,29.32,0.25
2026-07-13,gla_32288,Зіп-худі unisex “Azazel”,sale,1,23.77,0.0
2026-07-13,gla_32265,Зіп-худі unisex “Tarot”,sale,3,36.75,0.0
2026-07-13,gla_32109,Зіп-худі unisex “Azazel”,sale,1,2.56,0.0
2026-07-13,gla_32266,Зіп-худі unisex “Tarot”,sale,1,2.53,0.25
2026-07-13,gla_28014,"Прапор ""Донбас""",прапори,1,13.77,0.0
2026-07-13,gla_32135,Футболка unisex “Warrior”,чоловічий одяг,1,4.44,0.0
2026-07-13,gla_33232,"Прапор ""Знайомство з пісюном""",прапори,1,8.02,0.0
2026-07-13,gla_33450,"Прапор ""Згідно з наказом""",прапори,2,14.94,0.0
2026-07-13,gla_30710,"Прапор ""Баба Яга""",прапори,2,17.47,0.0
2026-07-13,gla_32256,Зіп-худі unisex “Welcome to hell”,sale,6,32.59,0.25
2026-07-13,gla_29160,"Лонгслів ""Міномет""",чоловічий одяг,1,14.42,0.0
2026-07-14,gla_30751,"Прапор ""Камікадзе""",прапори,1,3.74,0.0
2026-07-14,gla_32073,Зіп-худі unisex “Warrior”,sale,4,15.22,0.0
2026-07-14,gla_32257,Зіп-худі unisex “Welcome to hell”,sale,4,7.01,0.0
2026-07-14,gla_32051,Штани чоловічі спортивні широкі,sale,1,15.09,0.0
2026-07-14,gla_28002,"Прапор ""Дрони ведуть""",прапори,3,37.28,0.0
2026-07-14,gla_32267,Зіп-худі unisex “Tarot”,sale,3,22.68,0.0
2026-07-14,gla_30345,"Прапор ""План помсти""",прапори,1,2.2,0.0
2026-07-14,gla_32085,Зіп-худі unisex “Tarot”,sale,1,1.05,0.0
2026-07-14,gla_30738,"Прапор ""Інженер""",прапори,1,10.08,0.0
2026-07-14,gla_32078,Зіп-худі unisex “Welcome to hell”,sale,2,33.02,0.0
2026-07-14,gla_32134,Футболка unisex “Warrior”,чоловічий одяг,1,4.79,0.0
2026-07-14,gla_32053,Штани чоловічі спортивні широкі,sale,4,39.49,0.0
2026-07-14,gla_32260,Зіп-худі unisex “Welcome to hell”,sale,1,1.46,0.0
2026-07-14,gla_32263,Зіп-худі unisex “Tarot”,sale,2,7.78,0.0
2026-07-14,gla_29650,"Худі oversize ""Історія""",sale,2,6.45,0.0
2026-07-14,gla_32215,Світшот чоловічий “Welcome to hell”,новинки,1,24.64,0.0
2026-07-14,gla_33226,"Прапор ""Вампір""",прапори,1,2.67,0.0
2026-07-14,gla_28209,"Прапор ""Тиша""",прапори,3,20.46,0.0
2026-07-14,gla_32079,Зіп-худі unisex “Welcome to hell”,sale,2,37.94,0.0
2026-07-14,gla_32264,Зіп-худі unisex “Tarot”,sale,1,4.19,0.0
2026-07-14,gla_32288,Зіп-худі unisex “Azazel”,sale,1,21.69,0.0
2026-07-14,gla_30743,"Прапор ""Штурмовики""",прапори,2,20.72,1.0
2026-07-14,gla_32265,Зіп-худі unisex “Tarot”,sale,3,10.16,0.0
2026-07-14,gla_32266,Зіп-худі unisex “Tarot”,sale,1,1.73,0.0
2026-07-14,gla_32135,Футболка unisex “Warrior”,чоловічий одяг,1,5.35,0.0
2026-07-14,gla_29649,"Худі oversize ""Історія""",sale,3,17.58,0.0
2026-07-14,gla_29876,Комплект кріплення для прапора,аксесуари,1,2.09,0.0
2026-07-14,gla_32103,Зіп-худі unisex “Arch of the Underworld”,sale,1,22.74,0.0
2026-07-14,gla_28259,"Прапор ""Водій""",прапори,1,19.27,0.0
2026-07-14,gla_28383,"Прапор ""Одного разу під Херсоном""",прапори,1,18.47,0.0
2026-07-14,gla_32154,Футболка unisex “Welcome to hell”,чоловічий одяг,1,6.77,0.0
2026-07-14,gla_32256,Зіп-худі unisex “Welcome to hell”,sale,6,26.5,0.0
2026-07-14,gla_32108,Зіп-худі unisex “Azazel”,sale,1,0.67,0.0
2026-07-15,gla_32073,Зіп-худі unisex “Warrior”,sale,1,5.69,0.0
2026-07-15,gla_32257,Зіп-худі unisex “Welcome to hell”,sale,3,7.98,0.0
2026-07-15,gla_28168,"Прапор ""Серебрянський ліс""",прапори,1,31.67,0.0
2026-07-15,gla_32199,"Футболка unisex ""Вампір""",sale,2,19.09,0.0
2026-07-15,gla_28002,"Прапор ""Дрони ведуть""",прапори,2,10.62,0.0
2026-07-15,gla_30738,"Прапор ""Інженер""",прапори,2,3.02,0.0
2026-07-15,gla_33468,"Прапор ""Залізні побратими""",прапори,1,11.8,0.0
2026-07-15,gla_32052,Штани чоловічі спортивні широкі,sale,1,22.86,1.0
2026-07-15,gla_32053,Штани чоловічі спортивні широкі,sale,1,3.11,0.0
2026-07-15,gla_27990,"Прапор ""За столом смерті""",прапори,3,66.19,0.666666
2026-07-15,gla_32260,Зіп-худі unisex “Welcome to hell”,sale,5,28.66,0.0
2026-07-15,gla_32140,Футболка unisex “Azazel”,чоловічий одяг,1,3.42,0.0
2026-07-15,gla_32088,Зіп-худі unisex “Tarot”,sale,2,16.1,0.0
2026-07-15,gla_32110,Зіп-худі unisex “Azazel”,sale,2,22.73,0.0
2026-07-15,gla_32175,Футболка unisex “Garden of Bones”,новинки,2,20.21,0.0
2026-07-15,gla_29650,"Худі oversize ""Історія""",sale,2,7.56,0.0
2026-07-15,gla_33238,"Прапор ""Прогноз погоди: град""",прапори,2,24.65,0.0
2026-07-15,gla_33226,"Прапор ""Вампір""",прапори,1,3.85,0.0
2026-07-15,gla_30664,"Прапор ""Дорога на схід""",прапори,1,1.18,0.0
2026-07-15,gla_33196,"Прапор ""Привіт від Богдани""",прапори,3,20.54,0.0
2026-07-15,gla_32288,Зіп-худі unisex “Azazel”,sale,1,0.62,0.0
2026-07-15,gla_32265,Зіп-худі unisex “Tarot”,sale,1,9.51,0.0
2026-07-15,gla_32266,Зіп-худі unisex “Tarot”,sale,1,2.7,0.0
2026-07-15,gla_29649,"Худі oversize ""Історія""",sale,3,30.56,0.0
2026-07-15,gla_32103,Зіп-худі unisex “Arch of the Underworld”,sale,2,6.84,0.0
2026-07-15,gla_33450,"Прапор ""Згідно з наказом""",прапори,4,50.98,2.0
2026-07-15,gla_28008,"Прапор ""Донецьк""",прапори,4,48.19,0.0
2026-07-15,gla_33241,"Прапор ""Маршрутка""",прапори,1,15.57,0.0
2026-07-15,gla_28211,"Прапор ""Де посадка""",прапори,1,3.47,0.0
2026-07-15,gla_32256,Зіп-худі unisex “Welcome to hell”,sale,4,38.48,0.0
2026-07-15,gla_32250,Шорти жіночі спортивні укорочені,sale,1,3.7,0.0
2026-07-15,gla_32133,Футболка unisex “Warrior”,чоловічий одяг,2,25.26,0.0
2026-07-16,gla_30751,"Прапор ""Камікадзе""",прапори,1,3.95,0.0
2026-07-16,gla_32308,Футболка unisex “Welcome to hell”,sale,1,9.28,0.0
2026-07-16,gla_32257,Зіп-худі unisex “Welcome to hell”,sale,4,55.11,0.0
2026-07-16,gla_32199,"Футболка unisex ""Вампір""",sale,2,16.63,0.0
2026-07-16,gla_28002,"Прапор ""Дрони ведуть""",прапори,1,10.19,0.0
2026-07-16,gla_32267,Зіп-худі unisex “Tarot”,sale,2,5.53,0.0
2026-07-16,gla_32085,Зіп-худі unisex “Tarot”,sale,1,20.13,0.0
2026-07-16,gla_33517,"Прапор ""Перехоплювач""",прапори,1,6.42,0.0
2026-07-16,gla_32078,Зіп-худі unisex “Welcome to hell”,sale,5,64.07,0.0
2026-07-16,gla_32134,Футболка unisex “Warrior”,чоловічий одяг,4,63.32,0.0
2026-07-16,gla_33468,"Прапор ""Залізні побратими""",прапори,1,20.09,0.0
2026-07-16,gla_32052,Штани чоловічі спортивні широкі,sale,3,38.19,0.0
2026-07-16,gla_32053,Штани чоловічі спортивні широкі,sale,1,14.18,0.0
2026-07-16,gla_27990,"Прапор ""За столом смерті""",прапори,1,7.47,0.333334
