date,l1,impressions,clicks,cost,conversions
2026-07-09,sale,3284,34,329.55,0.11285
2026-07-09,новинки,208,0,0.0,0.0
2026-07-09,прапори,2864,28,245.25,0.0
2026-07-09,чоловічий одяг,279,0,0.0,0.0
2026-07-09,аксесуари,20,0,0.0,0.0
2026-07-10,sale,3002,33,459.19,0.0
2026-07-10,новинки,128,2,8.28,0.0
2026-07-10,прапори,1723,8,69.87,0.0
2026-07-10,чоловічий одяг,152,0,0.0,0.0
2026-07-10,аксесуари,3,0,0.0,0.0
2026-07-11,sale,2295,38,355.82,1.0
2026-07-11,новинки,68,1,53.04,0.0
2026-07-11,прапори,1291,18,107.17,2.352448
2026-07-11,чоловічий одяг,66,1,2.74,0.0
2026-07-12,sale,3964,39,387.22,0.0
2026-07-12,новинки,72,0,0.0,0.0
2026-07-12,прапори,1822,16,157.06,0.0
2026-07-12,чоловічий одяг,289,0,0.0,0.0
2026-07-12,аксесуари,2,0,0.0,0.0
2026-07-13,sale,5321,45,433.62,1.0
2026-07-13,новинки,165,2,9.32,0.0
2026-07-13,прапори,1394,13,84.79,0.0
2026-07-13,чоловічий одяг,496,3,27.27,0.0
2026-07-13,аксесуари,4,0,0.0,0.0
2026-07-14,sale,2693,43,292.45,0.0
2026-07-14,новинки,55,1,24.64,0.0
2026-07-14,прапори,1790,14,134.89,1.0
2026-07-14,чоловічий одяг,265,3,16.91,0.0
2026-07-14,жіночий одяг,1,0,0.0,0.0
2026-07-14,аксесуари,7,1,2.09,0.0
2026-07-15,sale,2036,32,226.19,1.0
2026-07-15,новинки,88,2,20.21,0.0
2026-07-15,прапори,2460,26,291.73,2.666666
2026-07-15,чоловічий одяг,460,3,28.68,0.0
2026-07-15,жіночий одяг,22,0,0.0,0.0
2026-07-15,аксесуари,5,0,0.0,0.0
2026-07-16,sale,3609,45,531.07,0.0
2026-07-16,новинки,216,1,5.09,0.0
2026-07-16,прапори,2644,20,246.11,1.333334
2026-07-16,чоловічий одяг,838,15,210.36,0.0
2026-07-16,жіночий одяг,95,0,0.0,0.0
2026-07-16,аксесуари,39,0,0.0,0.0
2026-07-17,sale,4453,41,339.35,0.0
2026-07-17,новинки,432,2,18.23,0.0
2026-07-17,прапори,3487,35,410.43,0.0
2026-07-17,чоловічий одяг,947,12,204.64,0.0
2026-07-17,жіночий одяг,128,1,6.98,0.0
2026-07-17,аксесуари,36,0,0.0,0.0
2026-07-18,sale,6094,62,465.01,5.0
2026-07-18,новинки,450,1,11.7,0.0
2026-07-18,прапори,3260,19,339.86,0.0
2026-07-18,чоловічий одяг,1442,19,170.88,0.0
2026-07-18,жіночий одяг,123,0,0.0,0.0
2026-07-18,аксесуари,15,0,0.0,0.0
2026-07-19,sale,8256,59,476.73,0.0
2026-07-19,новинки,672,4,28.37,0.0
2026-07-19,прапори,3251,27,289.79,1.0
2026-07-19,чоловічий одяг,2649,25,398.93,0.0
2026-07-19,жіночий одяг,219,2,14.85,0.0
2026-07-19,аксесуари,7,0,0.0,0.0
2026-07-20,sale,4171,52,597.37,1.0
2026-07-20,новинки,276,3,61.01,0.0
2026-07-20,прапори,2450,24,279.52,2.0
2026-07-20,чоловічий одяг,1302,11,90.52,0.0
2026-07-20,жіночий одяг,87,2,16.99,0.0
2026-07-20,аксесуари,22,0,0.0,0.0
2026-07-21,sale,6695,64,677.97,0.0
2026-07-21,новинки,467,9,115.1,0.0
2026-07-21,прапори,3078,27,397.94,1.35245
2026-07-21,чоловічий одяг,2099,16,131.0,0.0
2026-07-21,жіночий одяг,154,1,4.6,0.0
2026-07-21,аксесуари,20,0,0.0,0.0
2026-07-22,sale,5701,71,680.52,4.0
2026-07-22,новинки,448,1,28.49,0.0
2026-07-22,прапори,2877,34,489.61,0.031025
2026-07-22,чоловічий одяг,1998,11,72.31,0.0
2026-07-22,жіночий одяг,156,1,21.23,0.0
2026-07-22,аксесуари,32,0,0.0,0.0
2026-07-23,sale,7543,62,577.54,2.0
2026-07-23,новинки,487,2,21.88,0.0
2026-07-23,прапори,3958,28,350.06,1.0
2026-07-23,чоловічий одяг,2202,22,237.35,0.0
2026-07-23,жіночий одяг,240,3,54.45,0.0
2026-07-23,аксесуари,46,2,13.67,0.0
2026-07-24,sale,4866,57,428.79,1.4
2026-07-24,новинки,239,0,0.0,0.0
2026-07-24,прапори,2785,27,430.34,0.968975
2026-07-24,чоловічий одяг,1176,12,81.7,0.0
2026-07-24,жіночий одяг,174,0,0.0,0.0
2026-07-24,аксесуари,13,0,0.0,0.0
2026-07-25,sale,4999,44,388.29,1.6
2026-07-25,новинки,194,4,33.09,0.0
2026-07-25,прапори,3444,39,764.71,2.989231
2026-07-25,чоловічий одяг,1412,15,189.14,0.0
2026-07-25,жіночий одяг,160,3,14.43,1.0
2026-07-25,аксесуари,17,0,0.0,0.0
2026-07-26,sale,5544,65,689.38,0.0
2026-07-26,новинки,215,4,28.19,0.0
2026-07-26,прапори,3467,24,299.56,1.0
2026-07-26,чоловічий одяг,2040,20,178.07,0.0
2026-07-26,жіночий одяг,151,2,43.48,0.0
2026-07-26,аксесуари,7,0,0.0,0.0
2026-07-27,sale,4896,50,462.41,1.0
2026-07-27,новинки,167,1,4.48,0.0
2026-07-27,прапори,3932,44,549.2,1.0
2026-07-27,чоловічий одяг,1412,11,198.82,1.0
2026-07-27,жіночий одяг,128,0,0.0,0.0
2026-07-27,аксесуари,30,0,0.0,0.0
2026-07-28,sale,4366,51,591.9,1.0
2026-07-28,новинки,149,0,0.0,0.0
2026-07-28,прапори,2374,23,517.23,0.0
2026-07-28,чоловічий одяг,1580,13,102.7,0.0
2026-07-28,жіночий одяг,98,2,4.87,0.0
2026-07-28,аксесуари,30,0,0.0,0.0
2026-07-29,sale,4007,41,371.51,0.045992
2026-07-29,новинки,147,0,0.0,0.0
2026-07-29,прапори,2312,38,646.71,2.039455
2026-07-29,чоловічий одяг,1297,14,161.72,0.0
2026-07-29,жіночий одяг,84,2,18.26,0.0
2026-07-29,аксесуари,14,2,14.95,0.0
2026-07-30,sale,5610,60,543.17,0.0
2026-07-30,новинки,31,0,0.0,0.0
2026-07-30,прапори,2889,33,380.87,0.0
2026-07-30,чоловічий одяг,778,4,38.59,0.0
2026-07-30,жіночий одяг,66,0,0.0,0.0
2026-07-30,аксесуари,27,0,0.0,0.0
2026-07-31,sale,5747,74,575.79,0.0
2026-07-31,прапори,4227,29,429.77,0.0
2026-07-31,чоловічий одяг,961,6,82.69,0.0
2026-07-31,жіночий одяг,91,1,57.97,0.0
2026-07-31,аксесуари,17,0,0.0,0.0
2026-08-01,sale,2754,26,161.05,0.0
2026-08-01,новинки,1877,19,241.33,0.0
2026-08-01,прапори,5079,42,626.78,1.0
2026-08-01,чоловічий одяг,2303,16,162.4,0.0
2026-08-01,жіночий одяг,733,5,48.28,0.0
2026-08-01,аксесуари,20,0,0.0,0.0
2026-08-02,sale,2500,21,165.65,0.0
2026-08-02,новинки,2098,26,476.23,3.0
2026-08-02,прапори,4760,27,320.17,1.960545
2026-08-02,чоловічий одяг,2378,20,253.33,0.0
2026-08-02,жіночий одяг,918,4,19.33,0.0
2026-08-02,аксесуари,23,0,0.0,0.0
2026-08-03,sale,1858,18,254.72,0.0
2026-08-03,новинки,1677,14,181.24,0.0
2026-08-03,прапори,4271,37,717.86,1.295102
2026-08-03,чоловічий одяг,1854,10,101.07,0.0
2026-08-03,жіночий одяг,737,3,31.84,0.0
2026-08-03,аксесуари,28,0,0.0,0.0
2026-08-04,sale,3334,25,192.05,0.0
2026-08-04,новинки,1650,19,173.19,0.0
2026-08-04,прапори,4546,41,692.83,0.0
2026-08-04,чоловічий одяг,1799,20,230.49,1.0
2026-08-04,жіночий одяг,743,5,36.05,1.0
2026-08-04,аксесуари,51,1,2.69,0.0
2026-08-05,sale,4388,37,474.32,0.0
2026-08-05,новинки,1957,16,165.67,0.0
2026-08-05,прапори,5457,50,1007.96,0.53171
2026-08-05,чоловічий одяг,2296,14,192.16,0.01373
2026-08-05,жіночий одяг,700,3,12.25,0.0
2026-08-05,аксесуари,110,0,0.0,0.0
2026-08-06,sale,3160,32,281.7,0.799864
2026-08-06,новинки,1129,9,71.59,1.0
2026-08-06,прапори,3475,30,385.49,4.46829
2026-08-06,чоловічий одяг,1369,8,49.58,0.0
2026-08-06,жіночий одяг,399,2,12.53,0.0
2026-08-06,аксесуари,118,3,3.81,0.0
2026-08-07,sale,3788,37,356.68,0.4
2026-08-07,новинки,1001,5,33.68,0.0
2026-08-07,прапори,4067,46,566.65,0.6
2026-08-07,чоловічий одяг,1567,20,218.38,0.954008
2026-08-07,жіночий одяг,335,5,44.91,0.0
2026-08-07,аксесуари,78,1,0.16,0.0
2026-08-08,sale,5110,65,706.87,1.0
2026-08-08,новинки,1273,18,223.94,0.0
2026-08-08,прапори,3946,38,365.37,0.0
2026-08-08,чоловічий одяг,1842,18,142.08,0.0
2026-08-08,жіночий одяг,434,5,114.95,0.0
2026-08-08,аксесуари,77,2,2.95,0.0
2026-08-09,sale,896,7,38.07,1.0
2026-08-09,новинки,1375,16,154.26,0.0
2026-08-09,прапори,5040,53,683.05,4.0
2026-08-09,чоловічий одяг,1937,27,244.61,0.0
2026-08-09,жіночий одяг,499,4,51.01,0.0
2026-08-09,аксесуари,82,1,2.09,0.0
2026-08-10,новинки,1497,28,546.9,0.0
2026-08-10,прапори,4503,60,820.94,4.0
2026-08-10,чоловічий одяг,2474,33,462.09,0.0
2026-08-10,жіночий одяг,750,5,63.82,0.0
2026-08-10,аксесуари,138,2,4.66,0.0
2026-08-11,новинки,1960,21,283.92,1.0
2026-08-11,прапори,4933,50,859.56,1.0
2026-08-11,чоловічий одяг,3033,32,344.53,0.0
2026-08-11,жіночий одяг,902,8,92.09,0.0
2026-08-11,аксесуари,130,4,15.23,0.0
2026-08-12,новинки,2790,28,304.03,0.0
2026-08-12,прапори,6059,49,753.81,0.0
2026-08-12,чоловічий одяг,4857,39,444.11,0.0
2026-08-12,жіночий одяг,1284,11,123.37,0.0
2026-08-12,аксесуари,110,4,9.0,0.0
2026-08-13,новинки,3774,36,546.1,1.0
2026-08-13,прапори,7773,79,1077.38,0.0
2026-08-13,чоловічий одяг,5958,46,589.13,1.0
2026-08-13,жіночий одяг,1779,11,112.12,0.0
2026-08-13,аксесуари,176,3,11.38,0.0
2026-08-14,новинки,3467,45,655.64,0.0
2026-08-14,прапори,7311,62,1120.85,4.0
2026-08-14,чоловічий одяг,4756,46,458.83,0.0
2026-08-14,жіночий одяг,1513,13,156.46,0.0
2026-08-14,аксесуари,103,3,11.57,0.0
2026-08-15,новинки,2218,28,344.9,0.0
2026-08-15,прапори,3630,40,447.38,0.0
2026-08-15,чоловічий одяг,2993,33,239.86,0.0
2026-08-15,жіночий одяг,734,4,46.87,0.0
2026-08-15,аксесуари,67,2,6.57,0.0
2026-08-16,новинки,1477,10,87.41,0.0
2026-08-16,прапори,4057,53,1126.78,0.0
2026-08-16,чоловічий одяг,3210,44,488.43,0.0
2026-08-16,жіночий одяг,704,6,45.01,0.0
2026-08-16,аксесуари,44,1,4.23,0.0
