product_title,impressions,clicks,cost,conversions,conv_value,CPA,CVR_%,cost_share_%
Штани чоловічі спортивні широкі,5918,121,1782.96,0.0,0.0,,0.0,17.79593010025033
Зіп-худі unisex “Welcome to hell”,9276,108,952.59,0.5,850.0,1905.18,0.46296296296296297,9.50791103232684
"Футболка ""Згідно з наказом""",4027,32,450.79999999999995,0.0,0.0,,0.0,4.499486970651527
"Прапор ""Згідно з наказом""",1252,28,297.87,0.0,0.0,,0.0,2.9730749422093403
"Прапор ""П*зда п*дарам""",1078,9,277.77,0.5,749.5,555.54,5.555555555555555,2.7724545160556233
"Прапор ""Камікадзе""",843,12,228.41,0.0,0.0,,0.0,2.2797866436701764
"Футболка ""База""",2508,30,220.89000000000001,0.0,0.0,,0.0,2.204728653387791
"Прапор ""Одного разу під Харковом""",343,6,200.26,0.0,0.0,,0.0,1.998818235897682
"Худі oversize ""Арта""",1027,5,197.94,0.0,0.0,,0.0,1.9756620474063076
"Прапор ""Донецьк""",879,11,189.79,0.0,0.0,,0.0,1.8943159542146262
Штани жіночі спортивні широкі,1023,18,185.68,0.0,0.0,,0.0,1.8532935685682692
"Прапор ""На виїзд""",463,5,163.14,0.0,0.0,,0.0,1.6283192200356926
"Прапор ""Інструктор""",81,2,149.0,0.0,0.0,,0.0,1.4871862436270578
"Футболка unisex ""Вампір""",1448,11,145.94,0.0,0.0,,0.0,1.4566440294961935
Зіп-худі unisex “Garden of Bones”,1505,18,139.65,0.0,0.0,,0.0,1.3938628115605278
"Худі oversize ""Згідно з наказом""",1851,17,133.55,0.0,0.0,,0.0,1.33297800561338
Штани чоловічі спортивні джогери,176,3,133.32,0.0,0.0,,0.0,1.3306823489957003
"Худі oversize ""Евак""",1245,8,129.6,0.0,0.0,,0.0,1.293552598483669
"Футболка ""Лелека""",840,9,128.97,0.0,0.0,,0.0,1.2872644955743735
"Худі oversize ""Сапер""",724,10,128.9,0.0,0.0,,0.0,1.2865658174733408
"Футболка ""В етері""",1937,12,122.64,0.0,0.0,,0.0,1.2240840330095462
Зіп-худі unisex “Tarot”,683,8,113.58999999999999,0.0,0.0,,0.0,1.133754935661728
"Прапор ""Очі темряви""",78,3,110.6,0.0,0.0,,0.0,1.1039113996318966
"Худі oversize ""Час спокою""",644,9,109.7,0.0,0.0,,0.0,1.09492839547576
"Худі oversize ""Той самий вайб""",194,6,104.36,0.0,0.0,,0.0,1.041629237482683
"Прапор ""Тиша""",888,6,102.32,0.0,0.0,,0.0,1.02126776139544
Зіп-худі unisex “Warrior”,1059,10,100.71000000000001,0.0,0.0,,0.0,1.0051981650716846
"Худі oversize ""В етері""",956,7,95.81,0.0,0.0,,0.0,0.9562906979993854
"Футболка ""Баба Яга""",197,8,93.48,0.0,0.0,,0.0,0.9330346983507206
"Прапор ""Гроза району""",666,7,92.92,1.0,1699.0,92.92,14.285714285714286,0.9274452735424579
"Прапор ""Дрони ведуть""",670,8,84.5,0.0,0.0,,0.0,0.8434042791039355
"Худі oversize ""Міномет""",478,5,81.75,0.0,0.0,,0.0,0.8159562108490737
"Прапор ""Привиди вогню""",340,3,78.03,0.0,0.0,,0.0,0.7788264603370425
"Прапор ""FPV пілот""",549,6,75.22,0.0,0.0,,0.0,0.7507795251384382
"Прапор ""Танкісти""",216,2,75.02,0.0,0.0,,0.0,0.7487833019926301
"Худі oversize ""Гроза району""",974,7,74.15,0.0,0.0,,0.0,0.7400997313083648
"Прапор ""В етері""",467,4,72.32,0.0,0.0,,0.0,0.7218342895242202
"Прапор ""За столом смерті""",406,6,72.2,0.0,0.0,,0.0,0.7206365556367355
Футболка unisex “Warrior”,304,3,70.83,0.0,0.0,,0.0,0.7069624270879498
"Прапор ""Тінь перемоги""",872,5,69.02,0.0,0.0,,0.0,0.6888966076183861
"Прапор ""Серебрянський ліс""",297,5,68.39,0.0,0.0,,0.0,0.6826085047090905
"Худі oversize ""Дорога на схід""",578,7,68.37,0.5,850.0,136.74,7.142857142857143,0.6824088823945097
"Футболка ""Арта""",964,6,67.35,0.0,0.0,,0.0,0.6722281443508882
"Прапор ""333""",257,3,65.49,0.5,749.5,130.98,16.666666666666668,0.6536632690948725
"Худі oversize ""Зелений спектр""",679,5,59.66,0.0,0.0,,0.0,0.5954733643945656
"Прапор ""Битва за життя""",262,3,59.27,0.0,0.0,,0.0,0.5915807292602397
"Худі oversize ""Вампір""",421,4,57.21,0.0,0.0,,0.0,0.571019630858416
"Прапор ""Винищувач""",114,2,55.4,0.0,0.0,,0.0,0.5529538113888524
"Прапор ""Медик""",121,6,54.48,0.0,0.0,,0.0,0.543771184918135
"Прапор ""Захисник світу""",160,2,54.46,0.0,0.0,,0.0,0.5435715626035542
"Худі oversize ""Звʼязок""",435,2,53.75,0.0,0.0,,0.0,0.5364849704359353
"Прапор ""Лелека""",372,3,53.2,0.0,0.0,,0.0,0.5309953567849629
"Футболка ""НРК""",559,7,51.709999999999994,0.0,0.0,,0.0,0.5161234943486923
"Прапор ""Той самий вайб""",573,3,50.85,0.0,0.0,,0.0,0.5075397348217174
"Прапор ""Спеціальна операція""",171,1,45.04,0.0,0.0,,0.0,0.4495494524359912
"Прапор ""Водій""",489,5,44.44,0.0,0.0,,0.0,0.44356078299856677
"Прапор ""Привіт від Богдани""",287,1,42.5,0.0,0.0,,0.0,0.42419741848422793
"Прапор ""Прогноз погоди: град""",98,1,41.04,0.0,0.0,,0.0,0.40962498951982856
"Прапор ""ДСНС""",498,7,40.78,0.0,0.0,,0.0,0.407029899430278
"Прапор ""Постріл за пострілом""",92,1,40.64,0.0,0.0,,0.0,0.4056325432282123
"Худі oversize ""Залізні побратими""",337,4,39.82,0.0,0.0,,0.0,0.39744802833039894
"Футболка ""Перехоплювач""",300,4,37.65,0.0,0.0,,0.0,0.3757890071983807
"Прапор ""А шо там в баби на городі?""",215,1,37.41,0.0,0.0,,0.0,0.3733935394234109
"Футболка ""Зв'язок""",482,3,36.64,0.0,0.0,,0.0,0.36570808031204965
"Футболка ""Час спокою""",224,2,36.6,0.0,0.0,,0.0,0.365308835682888
"Прапор ""Між пеклом і домом""",264,1,35.19,0.0,0.0,,0.0,0.3512354625049407
Футболка unisex “Welcome to hell”,790,5,34.51,0.0,0.0,,0.0,0.34444830380919306
"Худі oversize ""Лелека""",281,3,34.45,0.0,0.0,,0.0,0.34384943686545066
"Прапор ""Перехоплювач""",291,4,33.31,0.0,0.0,,0.0,0.3324709649343443
"Прапор ""Воїн в полі""",336,1,33.09,0.0,0.0,,0.0,0.3302751194739554
"Прапор ""План помсти""",262,2,31.43,0.0,0.0,,0.0,0.31370646736374785
Зіп-худі unisex “Azazel”,266,3,28.11,0.0,0.0,,0.0,0.28056916314333286
Світшот чоловічий “Warrior”,304,2,27.14,0.0,0.0,,0.0,0.27088748088616343
"Прапор ""Дорога на схід""",557,4,24.32,0.0,0.0,,0.0,0.2427407345302688
"Прапор ""Хижак""",143,2,24.21,1.0,1600.0,24.21,50.0,0.2416428118000743
"Прапор ""Baby shark""",1,2,20.79,0.0,0.0,,0.0,0.20750739600675525
"Прапор ""Мелодія смерті""",57,1,19.69,0.0,0.0,,0.0,0.19652816870481055
Комплект кріплення для прапора,228,5,19.29,0.0,0.0,,0.0,0.19253572241319428
Футболка unisex “Azazel”,364,1,18.98,0.0,0.0,,0.0,0.18944157653719165
