product_id,product_title,l1,l2,impressions,clicks,cost,conversions,conv_value
gla_30751,"Прапор ""Камікадзе""",прапори,колекція 3.0,843,12,228.41,0.0,0.0
gla_32073,Зіп-худі unisex “Warrior”,чоловічий одяг,зіп-худі,146,2,15.58,0.0,0.0
gla_32308,Футболка unisex “Welcome to hell”,жіночий одяг,(пусто),257,3,28.43,0.0,0.0
gla_35124,"Прапор ""Ніколи назад""",прапори,"корогва х 93 омбр ""холодний яр""",199,0,0.0,0.0,0.0
gla_32272,Зіп-худі unisex “Garden of Bones”,жіночий одяг,(пусто),214,4,30.66,0.0,0.0
gla_33535,"Прапор ""Засвіт""",прапори,колекція 4.0,79,1,5.08,0.0,0.0
gla_32773,"Футболка unisex ""Вампір""",жіночий одяг,(пусто),21,0,0.0,0.0,0.0
gla_32257,Зіп-худі unisex “Welcome to hell”,жіночий одяг,(пусто),2467,34,227.79,0.5,850.0
gla_34546,"Футболка ""Час спокою""",новинки,(пусто),29,0,0.0,0.0,0.0
gla_32303,Футболка unisex “Azazel”,жіночий одяг,(пусто),90,0,0.0,0.0,0.0
gla_32333,Футболка unisex “Garden of Bones”,жіночий одяг,(пусто),30,0,0.0,0.0,0.0
gla_32291,Футболка unisex “Azazel”,sale,(пусто),6,0,0.0,0.0,0.0
gla_34599,"Футболка ""НРК""",новинки,(пусто),194,3,10.45,0.0,0.0
gla_34612,"Футболка ""Баба Яга""",новинки,(пусто),26,0,0.0,0.0,0.0
gla_32343,Футболка unisex “Arch of the Underworld”,жіночий одяг,(пусто),10,0,0.0,0.0,0.0
gla_28057,"Прапор ""Медик""",прапори,колекція 2.0,121,6,54.48,0.0,0.0
gla_28168,"Прапор ""Серебрянський ліс""",прапори,колекція 2.0,297,5,68.39,0.0,0.0
gla_28560,"Футболка ""База""",чоловічий одяг,футболки,663,5,31.26,0.0,0.0
gla_32155,Футболка unisex “Welcome to hell”,чоловічий одяг,футболки,21,0,0.0,0.0,0.0
gla_32199,"Футболка unisex ""Вампір""",чоловічий одяг,футболки,137,1,28.92,0.0,0.0
gla_32051,Штани чоловічі спортивні широкі,чоловічий одяг,(пусто),865,17,236.55,0.0,0.0
