date,network,impressions,clicks,cost,conversions
2026-08-20,SEARCH,1368,47,308.557559,0.083333
2026-08-21,SEARCH,1405,30,170.403004,1.906211
2026-08-22,SEARCH,1110,23,154.41,0.0
2026-08-23,SEARCH,1376,29,100.14,3.0
2026-08-27,SEARCH,71,2,3.989127,3.0
2026-08-28,SEARCH,46,3,8.81,0.0
2026-08-29,SEARCH,497,11,260.34192,1.0
2026-08-30,SEARCH,989,16,155.02,2.0
2026-08-31,SEARCH,99,9,67.21,0.0
2026-09-01,SEARCH,134,9,115.02,0.0
2026-09-02,SEARCH,1087,51,918.327804,3.0
2026-09-03,SEARCH,1207,54,2291.54809,1.0
2026-09-04,SEARCH,4311,56,379.07,0.0
2026-09-05,SEARCH,1798,40,690.861509,0.0
2026-09-06,SEARCH,1917,34,535.104066,0.0
2026-09-07,SEARCH,2644,33,566.88,0.0
2026-09-08,SEARCH,1588,30,527.42,0.0
2026-08-29,SEARCH_PARTNERS,2,0,0.0,0.0
2026-09-01,SEARCH_PARTNERS,1,0,0.0,0.0
2026-09-02,SEARCH_PARTNERS,1,0,0.0,0.0
2026-09-04,SEARCH_PARTNERS,2,0,0.0,0.0
2026-09-07,SEARCH_PARTNERS,1,0,0.0,0.0
2026-08-20,CONTENT,119,0,0.0,0.0
2026-08-21,CONTENT,427,5,15.419504,0.0
2026-08-22,CONTENT,671,9,40.725519,0.0
2026-08-23,CONTENT,542,3,14.012474,0.0
2026-08-28,CONTENT,743,3,16.859597,0.0
2026-08-29,CONTENT,725,7,54.678057,0.0
2026-08-30,CONTENT,791,3,8.405768,0.0
2026-08-31,CONTENT,881,0,0.0,0.0
2026-09-01,CONTENT,910,5,33.777034,0.0
2026-09-02,CONTENT,1126,10,57.227518,0.0
2026-09-03,CONTENT,1030,6,15.810505,0.0
2026-09-04,CONTENT,892,6,21.586774,0.0
2026-09-05,CONTENT,320,1,8.953427,0.0
2026-09-06,CONTENT,144,0,0.035701,0.0
2026-09-07,CONTENT,215,2,8.73957,0.0
2026-09-08,CONTENT,218,0,6.669619,0.0
2026-08-20,YOUTUBE,409,4,18.823745,0.0
2026-08-21,YOUTUBE,529,3,41.281299,0.0
2026-08-22,YOUTUBE,621,2,30.963793,0.0
2026-08-23,YOUTUBE,345,8,22.59491,0.0
2026-08-30,YOUTUBE,6,0,0.0,0.0
2026-08-31,YOUTUBE,3,0,0.0,0.0
2026-09-01,YOUTUBE,5,0,0.0,0.0
2026-09-02,YOUTUBE,61,0,7.948472,0.0
2026-09-03,YOUTUBE,369,3,22.271828,0.0
2026-09-04,YOUTUBE,276,3,26.268342,0.0
2026-09-05,YOUTUBE,7,0,0.132796,0.0
2026-09-06,YOUTUBE,2,0,0.0,0.0
2026-09-07,YOUTUBE,1,0,0.0,0.0
2026-09-08,YOUTUBE,5,0,0.098146,0.0
2026-08-20,DISCOVER,176,10,13.442506,0.0
2026-08-21,DISCOVER,209,17,41.79286,0.0
2026-08-22,DISCOVER,154,14,25.146865,0.0
2026-08-23,DISCOVER,113,6,10.818229,0.0
2026-08-27,DISCOVER,135,8,12.010088,0.0
2026-08-28,DISCOVER,252,13,39.419433,0.0
2026-08-29,DISCOVER,747,31,55.809781,0.0
2026-08-30,DISCOVER,383,23,67.199742,0.0
2026-08-31,DISCOVER,764,41,84.356419,1.0
2026-09-01,DISCOVER,947,46,92.299381,0.0
2026-09-02,DISCOVER,321,14,22.068793,0.0
2026-09-03,DISCOVER,316,13,22.489877,0.0
2026-09-04,DISCOVER,336,25,50.856921,0.0
2026-09-05,DISCOVER,591,36,106.243347,0.0
2026-09-06,DISCOVER,347,24,53.602527,0.0
2026-09-07,DISCOVER,549,22,58.418143,0.0
2026-09-08,DISCOVER,142,7,31.744814,0.0
