date,product_id,product_title,l1,impressions,clicks,cost,conversions
2026-07-09,gla_30751,"Прапор ""Камікадзе""",прапори,5,0,0.0,0.0
2026-07-09,gla_33535,"Прапор ""Засвіт""",прапори,22,1,1.71,0.0
2026-07-09,gla_28168,"Прапор ""Серебрянський ліс""",прапори,23,0,0.0,0.0
2026-07-09,gla_32199,"Футболка unisex ""Вампір""",sale,45,0,0.0,0.0
2026-07-09,gla_32051,Штани чоловічі спортивні широкі,sale,31,0,0.862867,0.0
2026-07-09,gla_28002,"Прапор ""Дрони ведуть""",прапори,91,4,2.704919,0.0
2026-07-09,gla_32267,Зіп-худі unisex “Tarot”,sale,37,0,0.826461,0.0
2026-07-09,gla_32220,Світшот чоловічий “Tarot”,чоловічий одяг,17,0,0.862867,0.0
2026-07-09,gla_28387,"Прапор ""Тобі п*зда""",прапори,13,0,0.0,0.0
2026-07-09,gla_30345,"Прапор ""План помсти""",прапори,8,0,0.0,0.0
2026-07-09,gla_30321,"Прапор ""Інструктор""",прапори,8,0,0.0,0.0
2026-07-09,gla_28042,"Прапор ""Сплетіння темряви""",прапори,19,0,0.0,0.0
2026-07-09,gla_28225,"Прапор ""Привиди вогню""",прапори,9,0,0.0,0.0
2026-07-09,gla_33484,"Прапор ""Baby shark""",прапори,5,0,0.0,0.0
2026-07-09,gla_30738,"Прапор ""Інженер""",прапори,7,0,0.0,0.0
2026-07-09,gla_33517,"Прапор ""Перехоплювач""",прапори,10,0,0.0,0.0
2026-07-09,gla_33500,"Прапор ""Втрата сигналу""",прапори,8,0,0.0,0.0
2026-07-09,gla_28385,"Прапор ""Винищувач""",прапори,2,0,0.0,0.0
2026-07-09,gla_33468,"Прапор ""Залізні побратими""",прапори,25,0,0.0,0.0
2026-07-09,gla_28064,"Прапор ""До кінця, брате""",прапори,1,0,0.0,0.0
2026-07-09,gla_28253,"Прапор ""Звʼязок""",прапори,29,0,0.0,0.0
2026-07-09,gla_32052,Штани чоловічі спортивні широкі,sale,5,0,0.0,0.0
2026-07-09,gla_27990,"Прапор ""За столом смерті""",прапори,16,0,0.0,0.0
2026-07-09,gla_32216,Світшот чоловічий “Welcome to hell”,новинки,7,0,0.0,0.0
2026-07-09,gla_32230,Світшот чоловічий “Arch of the Underworld”,чоловічий одяг,1,0,0.0,0.0
2026-07-09,gla_32140,Футболка unisex “Azazel”,чоловічий одяг,5,0,0.0,0.0
2026-07-09,gla_28083,"Прапор ""333""",прапори,25,0,0.0,0.0
2026-07-09,gla_32175,Футболка unisex “Garden of Bones”,новинки,7,0,0.0,0.0
