term,campaign,impressions,clicks,cost,conversions
11 11 магазин,Merchant_Shopping,1,0,0.0,0.0
13 літера,Merchant_Shopping,1,0,0.0,0.0
1702 бренд,Merchant_Shopping,1,0,0.0,0.0
23 merch,Merchant_Shopping,1,0,0.0,0.0
2nd archive,Merchant_Shopping,2,0,0.0,0.0
3 ошбр прапор,Merchant_Shopping,3,0,0.0,0.0
3 штурмова бригада мерч,Merchant_Shopping,1,0,0.0,0.0
3 штурмова футболка,Merchant_Shopping,2,0,0.0,0.0
38 розмір джинсів чоловічих,Merchant_Shopping,1,0,0.0,0.0
3d друк для fpv,Merchant_Shopping,2,0,0.0,0.0
4.5 0 project,Merchant_Shopping,44,0,0.0,0.0
42 размер штанов мужской,Merchant_Shopping,1,0,0.0,0.0
4308 store,Merchant_Shopping,3,0,0.0,0.0
450 project,Merchant_Shopping,19,1,20.81,0.0
450 проджект,Merchant_Shopping,1,0,0.0,0.0
4pm in ua,Merchant_Shopping,1,0,0.0,0.0
5.11 футболка,Merchant_Shopping,1,0,0.0,0.0
511 футболка,Merchant_Shopping,2,0,0.0,0.0
7mountains,Merchant_Shopping,1,0,0.0,0.0
7sky,Merchant_Shopping,2,0,0.0,0.0
7sky store,Merchant_Shopping,1,0,0.0,0.0
7team shop,Merchant_Shopping,7,0,0.0,0.0
a shop ua,Merchant_Shopping,1,0,0.0,0.0
ab store,Merchant_Shopping,1,0,0.0,0.0
abaddon,Merchant_Shopping,2,0,0.0,0.0
about you ua,Merchant_Shopping,1,0,0.0,0.0
abrams,Merchant_Shopping,6,0,0.0,0.0
abricos,Merchant_Shopping,1,0,0.0,0.0
abuser футболка,Merchant_Shopping,2,0,0.0,0.0
acab футболка,Merchant_Shopping,7,0,0.0,0.0
acid bath t shirt,Merchant_Shopping,3,1,3.73,0.0
acotar merch,Merchant_Shopping,2,0,0.0,0.0
act 1 одяг,Merchant_Shopping,1,0,0.0,0.0
adanola,Merchant_Shopping,1,0,0.0,0.0
adidas alexander wang штаны,Merchant_Shopping,1,0,0.0,0.0
adidas all szn pants,Merchant_Shopping,1,0,0.0,0.0
adidas men's fleece pants,Merchant_Shopping,2,0,0.0,0.0
adidas star wars олимпийка,Merchant_Shopping,1,0,0.0,0.0
adidas terrex футболка,Merchant_Shopping,1,0,0.0,0.0
affliction samurai t shirts,Merchant_Shopping,1,0,0.0,0.0
affliction кофта,Merchant_Shopping,1,0,0.0,0.0
again cloth,Merchant_Shopping,1,0,0.0,0.0
agalloch hoodie,Merchant_Shopping,1,0,0.0,0.0
aggressive shop,Merchant_Shopping,1,0,0.0,0.0
agnostic front,Merchant_Shopping,1,0,0.0,0.0
ahha falcon,Merchant_Shopping,1,0,0.0,0.0
airborne hoodie,Merchant_Shopping,1,0,0.0,0.0
airhub,Merchant_Shopping,1,0,0.0,0.0
airhub store,Merchant_Shopping,2,0,0.0,0.0
alanterz,Merchant_Shopping,1,0,0.0,0.0
alanterz худи,Merchant_Shopping,1,0,0.0,0.0
alchevsque,Merchant_Shopping,2,0,0.0,0.0
alert t shirt,Merchant_Shopping,2,0,0.0,0.0
algorithm одяг,Merchant_Shopping,4,0,0.0,0.0
alpha industries,Merchant_Shopping,1,0,0.0,0.0
alpha wolf merch,Merchant_Shopping,1,0,0.0,0.0
alson studio,Merchant_Shopping,1,0,0.0,0.0
alta men,Merchant_Shopping,1,0,0.0,0.0
amatory мерч,Merchant_Shopping,3,0,0.0,0.0
amisu штаны,Merchant_Shopping,1,0,0.0,0.0
andi магазин сайт,Merchant_Shopping,1,0,0.0,0.0
angel military club,Merchant_Shopping,1,0,0.0,0.0
animalism,Merchant_Shopping,5,0,0.0,0.0
animalism shop,Merchant_Shopping,16,0,0.0,0.0
animals shop,Merchant_Shopping,3,0,0.0,0.0
anniluce,Merchant_Shopping,1,0,0.0,0.0
antaeus hoodie,Merchant_Shopping,6,0,0.0,0.0
anti russian social club,Merchant_Shopping,4,0,0.0,0.0
anti social club,Merchant_Shopping,1,0,0.0,0.0
