term,impr,clicks,cost,conv
044 garden,6,0,0.0,0.0
044 гарден,3,0,0.0,0.0
044garden,5,0,0.0,0.0
057bandana,3,0,0.0,0.0
100 algodon,2,0,0.0,0.0
100 cotton hoodie women's,1,0,0.0,0.0
100 cotton zip up hoodie women's,1,0,0.0,0.0
100 cotton футболка,2,0,0.0,0.0
100 cotton футболка мем,1,0,0.0,0.0
100 percent cotton zip up hoodie,1,0,0.0,0.0
100 percent life,3,0,0.0,0.0
1017 alyx 9sm,2,0,0.0,0.0
11 11 магазин,1,0,0.0,0.0
12254412,1,0,0.0,0.0
13 litera,1,0,0.0,0.0
13 літера,1,0,0.0,0.0
13 літера одяг,4,0,0.0,0.0
1312 футболка,7,0,0.0,0.0
1313 одежда,1,0,0.0,0.0
13litera,2,0,0.0,0.0
13litera ua,2,0,0.0,0.0
14 88 футболка,1,0,0.0,0.0
1488 футболка,4,0,0.0,0.0
1702 бренд,1,0,0.0,0.0
17sb concept store,1,0,0.0,0.0
1914 band merch,1,0,0.0,0.0
1914 мерч,6,0,0.0,0.0
1914 футболка,11,0,0.0,0.0
1984 футболка,1,0,0.0,0.0
1ona,1,0,0.0,0.0
1st line,1,0,0.0,0.0
20471120,4,0,0.0,0.0
2154 throwback baggy joggers,1,0,0.0,0.0
221b store,1,0,0.0,0.0
23 merch,1,0,0.0,0.0
23 мерч,2,0,0.0,0.0
281z,6,0,0.0,0.0
281z brand,7,1,21.94,0.0
2nd archive,2,0,0.0,0.0
3 days grace t shirt,1,0,0.0,0.0
3 армійський корпус мерч,1,0,0.0,0.0
3 ошбр прапор,11,0,0.0,0.0
3 штурмова бригада магазин,1,0,0.0,0.0
3 штурмова бригада мерч,1,0,0.0,0.0
3 штурмова магазин,1,1,4.28,0.0
3 штурмова футболка,8,0,0.0,0.0
35 бригада морської піхоти,1,0,0.0,0.0
38 розмір джинсів чоловічих,1,0,0.0,0.0
38 розмір штанів це який,1,0,0.0,0.0
3ab store,1,0,0.0,0.0
3d друк для fpv,2,0,0.0,0.0
3rd assault brigade flag,1,0,0.0,0.0
3xl это какой размер,1,0,0.0,0.0
3д погони дснс,1,0,0.0,0.0
