Campaign,Date,Impressions,Clicks,Cost,Conversions
Merchant_Performance Max-1,2026-07-09,1939,77,223.08,0.0
Merchant_Performance Max-1,2026-07-10,2201,72,241.31,2.89
Merchant_Performance Max-1,2026-07-11,2522,64,233.13,1.13
Merchant_Performance Max-1,2026-07-12,1765,60,221.18,3.59
Merchant_Performance Max-1,2026-07-13,3216,64,256.97,4.27
Merchant_Performance Max-1,2026-07-14,3633,73,250.61,0.0
Merchant_Performance Max-1,2026-07-15,2603,66,261.49,0.0
Merchant_Performance Max-1,2026-07-16,1976,109,195.38,1.0
Merchant_Performance Max-1,2026-07-17,1940,50,253.05,0.06
Merchant_Performance Max-1,2026-07-18,3139,97,299.2,0.0
Merchant_Performance Max-1,2026-07-19,4278,81,180.82,1.0
Merchant_Performance Max-1,2026-07-20,1300,47,325.25,1.0
Merchant_Performance Max-1,2026-07-21,4192,145,429.57,1.0
Merchant_Performance Max-1,2026-07-22,5709,163,530.43,2.0
Merchant_Performance Max-1,2026-07-23,5932,223,584.03,0.01
Merchant_Performance Max-1,2026-07-24,4822,159,502.94,3.0
Merchant_Performance Max-1,2026-07-25,3195,103,380.25,1.0
Merchant_Performance Max-1,2026-07-26,6831,239,673.93,2.0
Merchant_Performance Max-1,2026-07-27,3930,145,549.71,6.67
Merchant_Performance Max-1,2026-07-28,6012,197,855.24,2.33
Merchant_Performance Max-1,2026-07-29,8119,259,730.08,6.57
Merchant_Performance Max-1,2026-07-30,3807,236,541.87,0.14
Merchant_Performance Max-1,2026-07-31,8643,344,831.0,3.0
Merchant_Performance Max-1,2026-08-01,4331,145,617.74,3.0
Merchant_Performance Max-1,2026-08-02,4558,150,833.11,1.0
Merchant_Performance Max-1,2026-08-03,6504,293,640.42,0.0
Merchant_Performance Max-1,2026-08-04,5003,122,517.66,3.0
Merchant_Performance Max-1,2026-08-05,2001,36,348.21,3.14
Merchant_Performance Max-1,2026-08-06,1456,26,101.67,0.08
Merchant_Performance Max-1,2026-08-07,1080,53,251.44,2.86
Merchant_Performance Max-1,2026-08-08,753,24,146.64,0.0
Merchant_Performance Max-1,2026-08-09,1547,38,286.51,1.08
Merchant_Performance Max-1,2026-08-10,1839,33,211.52,0.0
Merchant_Performance Max-1,2026-08-11,2020,40,209.71,2.0
Merchant_Performance Max-1,2026-08-12,2105,32,409.51,0.0
Merchant_Performance Max-1,2026-08-13,2048,36,525.85,0.0
Merchant_Performance Max-1,2026-08-14,2158,22,317.83,1.0
Merchant_Performance Max-1,2026-08-15,2601,42,137.0,2.0
Merchant_Performance Max-1,2026-08-16,1833,26,97.52,0.0
Merchant_Performance Max-1,2026-08-17,1364,38,97.06,0.0
Merchant_Performance Max-1,2026-08-18,2297,28,115.91,0.0
Merchant_Performance Max-1,2026-08-19,1409,29,72.49,2.08
Merchant_Performance Max-1,2026-08-20,2072,61,340.82,0.08
Merchant_Performance Max-1,2026-08-21,2570,55,268.9,1.91
Merchant_Performance Max-1,2026-08-22,2556,48,251.25,0.0
Merchant_Performance Max-1,2026-08-23,2376,46,147.57,3.0
Merchant_Performance Max-1,2026-08-27,206,10,16.0,3.0
Merchant_Performance Max-1,2026-08-28,1041,19,65.09,0.0
Merchant_Performance Max-1,2026-08-29,1971,49,370.83,1.0
Merchant_Performance Max-1,2026-08-30,2169,42,230.63,2.0
Merchant_Performance Max-1,2026-08-31,1747,50,151.57,1.0
Merchant_Performance Max-1,2026-09-01,1997,60,241.1,0.0
Merchant_Performance Max-1,2026-09-02,2596,75,1005.57,3.0
Merchant_Performance Max-1,2026-09-03,2922,76,2352.12,1.0
Merchant_Performance Max-1,2026-09-04,5817,90,477.78,0.0
Merchant_Performance Max-1,2026-09-05,2716,77,806.19,0.0
Merchant_Performance Max-1,2026-09-06,2410,58,588.74,0.0
Merchant_Performance Max-1,2026-09-07,3410,57,634.04,0.0
Merchant_Performance Max-1,2026-09-08,1953,37,565.93,0.0
Merchant_Shopping,2026-07-09,6661,62,574.8,0.11
Merchant_Shopping,2026-07-10,5020,43,537.34,0.0
Merchant_Shopping,2026-07-11,3738,58,518.77,3.35
Merchant_Shopping,2026-07-12,6177,55,544.28,0.0
Merchant_Shopping,2026-07-13,7404,63,555.0,1.0
Merchant_Shopping,2026-07-14,4817,62,470.98,1.0
Merchant_Shopping,2026-07-15,5111,63,566.81,3.67
Merchant_Shopping,2026-07-16,7484,81,992.63,1.33
Merchant_Shopping,2026-07-17,9545,91,979.63,0.0
Merchant_Shopping,2026-07-18,11472,102,990.25,5.0
Merchant_Shopping,2026-07-19,15225,119,1213.21,1.0
Merchant_Shopping,2026-07-20,8430,92,1045.41,3.0
Merchant_Shopping,2026-07-21,12652,117,1326.61,1.35
Merchant_Shopping,2026-07-22,11287,120,1294.88,4.03
Merchant_Shopping,2026-07-23,14531,119,1254.95,3.0
Merchant_Shopping,2026-07-24,9296,96,940.83,2.37
Merchant_Shopping,2026-07-25,10254,105,1389.66,5.59
Merchant_Shopping,2026-07-26,11451,115,1238.68,1.0
Merchant_Shopping,2026-07-27,10591,106,1214.91,3.0
Merchant_Shopping,2026-07-28,8620,89,1216.7,1.0
Merchant_Shopping,2026-07-29,7891,97,1213.15,2.09
Merchant_Shopping,2026-07-30,9449,97,962.63,0.0
Merchant_Shopping,2026-07-31,11075,110,1146.22,0.0
Merchant_Shopping,2026-08-01,12788,108,1239.84,1.0
Merchant_Shopping,2026-08-02,12745,100,1240.44,4.96
Merchant_Shopping,2026-08-03,10484,82,1286.73,1.3
Merchant_Shopping,2026-08-04,12201,111,1327.3,2.0
Merchant_Shopping,2026-08-05,15068,122,1854.82,0.55
Merchant_Shopping,2026-08-06,9684,84,804.7,6.27
Merchant_Shopping,2026-08-07,10919,116,1227.2,1.95
Merchant_Shopping,2026-08-08,12740,146,1556.16,1.0
Merchant_Shopping,2026-08-09,9860,108,1173.09,5.0
Merchant_Shopping,2026-08-10,9419,129,1904.6,4.0
Merchant_Shopping,2026-08-11,10983,115,1595.33,2.0
Merchant_Shopping,2026-08-12,15123,131,1634.32,0.0
Merchant_Shopping,2026-08-13,19506,175,2336.11,2.0
Merchant_Shopping,2026-08-14,17237,169,2403.35,4.0
Merchant_Shopping,2026-08-15,9669,107,1085.58,0.0
Merchant_Shopping,2026-08-16,9512,114,1751.86,0.0
Merchant_Shopping,2026-08-17,9649,92,855.4,0.0
Merchant_Shopping,2026-08-18,11357,151,1547.15,1.2
Merchant_Shopping,2026-08-19,7792,92,1004.88,0.08
Merchant_Shopping,2026-08-20,6209,56,550.81,0.05
Merchant_Shopping,2026-08-21,5218,61,475.7,1.0
Merchant_Shopping,2026-08-22,4758,59,474.66,0.95
Merchant_Shopping,2026-08-23,4340,47,369.11,0.0
Merchant_Shopping,2026-08-27,3027,44,251.09,0.0
Merchant_Shopping,2026-08-28,4903,62,438.71,3.0
Merchant_Shopping,2026-08-29,4481,80,680.53,5.0
Merchant_Shopping,2026-08-30,5492,60,467.38,6.67
Merchant_Shopping,2026-08-31,6735,76,696.39,2.33
Merchant_Shopping,2026-09-01,8763,111,1427.81,0.0
Merchant_Shopping,2026-09-02,12483,123,1365.04,1.0
Merchant_Shopping,2026-09-03,16099,172,2154.44,0.0
Merchant_Shopping,2026-09-04,8001,99,1756.84,0.0
Merchant_Shopping,2026-09-05,11764,90,1139.55,2.0
Merchant_Shopping,2026-09-06,7068,76,1080.38,0.0
Merchant_Shopping,2026-09-07,10137,96,1094.86,1.0
Merchant_Shopping,2026-09-08,10855,100,1122.1,1.0
