Campaign,AdGroup,Criterion_id,Keyword,MatchType,Status,Impressions,Clicks,Cost,Conversions_period_from,Conversions
Пошук \ Бренд,Бренд Кирилиця,2493395128541,корогва,PHRASE,ENABLED,1601,430,4891.86,2026-07-09,25.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),2420854417084,прапор бригади,PHRASE,ENABLED,2348,165,2512.19,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,2490716979988,корогва прапори,PHRASE,ENABLED,238,86,452.24,2026-07-09,2.0
Пошук \ Бренд,Бренд Латиниця,2487944652682,corogva,PHRASE,ENABLED,158,76,152.11,2026-07-09,2.0
Пошук \ Прапори,Мілітарі — UA,2443396340593,військовий прапор,PHRASE,ENABLED,334,41,924.12,2026-07-09,0.0
Пошук \ Одяг,Футболки,2274655502073,футболки зсу купити,PHRASE,ENABLED,457,36,894.06,2026-07-09,0.0
Пошук \ Одяг,Футболки,2490224331339,футболки військові замовлення,PHRASE,ENABLED,124,34,844.55,2026-07-09,0.0
Пошук \ Одяг,Футболки,1687970724479,футболки військові купити,PHRASE,ENABLED,205,27,698.78,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2176207126055,військові прапори,PHRASE,ENABLED,263,23,562.68,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,451655174634,военный флаг,PHRASE,ENABLED,98,17,341.33,2026-07-09,0.0
Пошук \ Одяг,Футболки,1674651875666,футболки патріотичні купити,PHRASE,ENABLED,168,16,327.07,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2297413136543,бойовий прапор,PHRASE,ENABLED,283,13,316.45,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,1663367077338,прапор зсу купити,PHRASE,ENABLED,52,12,265.61,2026-07-09,0.0
Пошук \ Одяг,Футболки,2681970034512,футболки мілітарі купити,PHRASE,ENABLED,135,10,686.09,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,350200265275,военные флаги,PHRASE,ENABLED,89,9,208.58,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2443396664633,прапор гур,PHRASE,ENABLED,146,9,220.03,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2443396666993,прапори для військових,PHRASE,ENABLED,41,9,210.97,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2443396746433,прапор розвідки,PHRASE,ENABLED,146,9,217.05,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2491320687304,стяг купити,PHRASE,ENABLED,35,7,139.94,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2468641129170,прапор бпла,PHRASE,ENABLED,59,6,147.17,2026-07-09,1.0
Пошук \ Прапори,Мілітарі — UA,2492695520628,прапор мілітарі,PHRASE,ENABLED,25,5,121.1,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2492695521588,прапор артилерія,PHRASE,ENABLED,45,5,110.3,2026-07-09,0.0
Пошук \ Одяг,Футболки,2517478904124,футболки патріотичні магазин,PHRASE,ENABLED,30,5,84.96,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),2488413801083,корогва магазин,PHRASE,PAUSED,8,5,30.64,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),2491320671464,бригадний прапор,PHRASE,ENABLED,39,5,74.15,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),2491320687304,стяг купити,PHRASE,PAUSED,9,5,55.7,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2443396659793,флаг гур,PHRASE,ENABLED,35,4,97.19,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2443396596633,прапор для військових,PHRASE,ENABLED,23,4,89.09,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2467006414933,прапори зсу купити,PHRASE,ENABLED,25,4,94.91,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2492695520548,мілітарі прапори,PHRASE,ENABLED,20,4,87.52,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2492695520788,бойові прапори,PHRASE,ENABLED,36,4,71.71,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956243322,флаг дрон,PHRASE,ENABLED,14,3,62.55,2026-07-09,0.0
Пошук \ Одяг,худі,2517478822964,худі мілітарі купити,PHRASE,ENABLED,18,3,91.31,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2460121836206,прапор дронщики,PHRASE,ENABLED,25,3,60.32,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2493396198181,прапор зсу замовити,PHRASE,ENABLED,15,3,74.59,2026-07-09,0.0
Пошук \ Одяг,Футболки,2488150367910,футболки військові замовити,PHRASE,ENABLED,11,3,69.85,2026-07-09,0.0
Пошук \ Одяг,Футболки,2491182407711,футболки армійські купити,PHRASE,ENABLED,12,3,46.8,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),1663367077338,прапор зсу купити,PHRASE,PAUSED,24,3,99.26,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956242362,милитари флаг,PHRASE,ENABLED,7,2,32.5,2026-07-09,0.0
Пошук \ Одяг,штани,1733107068476,штани військові купити,PHRASE,ENABLED,44,2,31.43,2026-07-09,0.0
Пошук \ Одяг,штани,2320127424924,штани мілітарі купити,PHRASE,ENABLED,33,2,24.12,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2437511788206,прапори військові,PHRASE,ENABLED,38,2,47.78,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2490426388530,прапори військові купити,PHRASE,ENABLED,21,2,49.22,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),2490426388530,прапори військові купити,PHRASE,PAUSED,5,2,18.51,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,451655186834,флаг разведки,PHRASE,ENABLED,13,1,23.91,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956242202,милитари флаги,PHRASE,ENABLED,2,1,19.76,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956242402,флаг милитари,PHRASE,ENABLED,5,1,23.12,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956242442,боевой флаг,PHRASE,ENABLED,3,1,24.28,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956242842,патриотический флаг,PHRASE,ENABLED,1,1,23.31,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956243122,флаг дронщиков,PHRASE,ENABLED,6,1,24.51,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956244042,флаг артиллерия,PHRASE,ENABLED,3,1,24.36,2026-07-09,0.0
Пошук \ Бренд,Бренд Латиниця,2490716976708,corogva прапор,PHRASE,ENABLED,1,1,6.4,2026-07-09,0.0
Пошук \ Одяг,штани,1942814395814,штани зсу купити,PHRASE,ENABLED,13,1,58.66,2026-07-09,0.0
Пошук \ Одяг,шорти,2490427253690,шорти військові купити,PHRASE,ENABLED,3,1,9.96,2026-07-09,0.0
Пошук \ Одяг,шорти,2491182561271,шорти мілітарі купити,PHRASE,ENABLED,7,1,9.95,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2488414171363,прапори зсу замовити,PHRASE,ENABLED,3,1,24.58,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2490137328903,стяг замовити,PHRASE,ENABLED,4,1,24.56,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2490426497410,стяг зсу,PHRASE,ENABLED,2,1,24.74,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2490426854130,стяг магазин,PHRASE,ENABLED,4,1,24.96,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2490427149090,корогва купити,PHRASE,ENABLED,6,1,19.06,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2490717786468,прапор військовий купити,PHRASE,ENABLED,2,1,24.01,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2492695520588,мілітарі прапор,PHRASE,ENABLED,5,1,24.86,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2492695520828,патріотичний прапор,PHRASE,ENABLED,11,1,20.5,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2492695521068,прапор фпв,PHRASE,ENABLED,24,1,23.73,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2492695521268,прапор дрон,PHRASE,ENABLED,10,1,24.85,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2492695521308,прапор реб,PHRASE,ENABLED,18,1,24.46,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,2492695521508,прапор медик,PHRASE,ENABLED,12,1,23.6,2026-07-09,0.0
Пошук \ Одяг,Футболки,2488871715533,футболки зсу ціна,PHRASE,ENABLED,14,1,9.13,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),2467006414933,прапори зсу купити,PHRASE,PAUSED,8,1,38.35,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),2490426496930,бригадні прапори,PHRASE,ENABLED,15,1,34.91,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),2491320666424,прапор мілітарі купити,PHRASE,PAUSED,2,1,82.26,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),2493396198181,прапор зсу замовити,PHRASE,PAUSED,1,1,27.95,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,451655182714,флаг военной разведки,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956242602,боевые флаги,PHRASE,ENABLED,2,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956242642,флаг для военных,PHRASE,ENABLED,14,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956242682,флаги для военных,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956242882,патриотические флаги,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956242922,флаг бпла,PHRASE,ENABLED,7,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956243082,флаг fpv,PHRASE,ENABLED,4,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956243162,флаг дронщика,PHRASE,ENABLED,0,0,0.0,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,2489956243362,флаг рэб,PHRASE,ENABLED,1,0,0.0,2026-07-09,0.0
