Campaign,AdGroup,SearchTerm,Impressions,Clicks,Cost,Conversions_period_from,Conversions
Пошук \ Бренд,Бренд Кирилиця,корогва,1023,294,1195.07,2026-07-09,16.0
Пошук \ Бренд,Бренд Кирилиця,корогва прапори,226,84,432.58,2026-07-09,2.0
Пошук \ Бренд,Бренд Латиниця,corogva,123,57,81.69,2026-07-09,2.0
Пошук \ Одяг,Футболки,військові футболки з принтом на замовлення,100,32,772.28,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогва магазин,30,14,42.81,2026-07-09,3.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),замовити прапор бригади,33,13,249.13,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогва сайт,19,11,67.74,2026-07-09,1.0
Пошук \ Бренд,Бренд Кирилиця,прапор корогва,26,7,20.63,2026-07-09,1.0
Пошук \ Бренд,Бренд Кирилиця,прапори корогва,19,7,44.14,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,купити прапор військовий,17,7,140.2,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапори для військових,35,7,161.93,2026-07-09,0.0
Пошук \ Одяг,Футболки,футболка зсу купити,71,7,171.74,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),корогва магазин,8,5,30.64,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогви,7,4,5.02,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаги военные,8,4,45.92,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор зсу купити,6,4,98.91,2026-07-09,0.0
Пошук \ Одяг,Футболки,футболки зсу купити,54,4,102.65,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогва футболка,4,3,29.45,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогва це,52,3,608.43,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,бойові прапори військових частин,13,3,72.13,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,військові прапори,26,3,73.56,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор військовий,21,3,63.03,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор для військових,12,3,64.9,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 92 бригади,11,3,48.76,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,korogva,7,2,2.33,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогва прапор,15,2,0.26,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,коругва,13,2,137.99,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,военные флаги,4,2,45.95,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,бойові прапори,12,2,47.03,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,купити стяг україни,5,2,37.48,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор безвісти зниклих військових,19,2,49.46,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор дронщики,12,2,35.9,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор з військовим,9,2,36.41,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапори військові,24,2,47.78,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),заказати прапор бригади,8,2,19.78,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 25 бригади,23,2,24.66,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 82 бригада дшв,5,2,33.37,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапори бригад зсу,9,2,15.26,2026-07-09,0.0
Пошук \ Одяг,Футболки,військові футболки купити,9,2,63.02,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболки військові,17,2,51.89,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболки для військових,9,2,38.81,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболки зсу,14,2,28.06,2026-07-09,0.0
Пошук \ Одяг,Футболки,купить футболки зсу,12,2,56.91,2026-07-09,0.0
Пошук \ Одяг,Футболки,купить футболку в стиле милитари,2,2,229.15,2026-07-09,0.0
Пошук \ Одяг,Футболки,патриотичні футболки,5,2,26.33,2026-07-09,0.0
Пошук \ Одяг,Футболки,патріотичні футболки чоловічі купити,4,2,53.94,2026-07-09,0.0
Пошук \ Бренд,Бренд Латиниця,corogva com,2,1,0.05,2026-07-09,0.0
Пошук \ Бренд,Бренд Латиниця,прапор корогва,1,1,6.4,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогва в церкві,2,1,87.65,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогва прапори купити,2,1,3.88,2026-07-09,0.0
Пошук \ Бренд,Бренд Кирилиця,корогова,2,1,36.77,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,военный флаг,4,1,24.61,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,нацистский флаг купить,5,1,24.27,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг военный,8,1,23.33,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг вооруженных сил украины,1,1,24.07,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг гур мо,1,1,23.97,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаг нацистской германии купить,8,1,24.68,2026-07-09,0.0
Пошук \ Прапори,Милитари — RU,флаги расцвечивания,4,1,23.91,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,військовий прапор україни,13,1,10.06,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,мілітарі прапори,15,1,24.21,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор з підписами військових,6,1,19.34,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор медик,4,1,23.6,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапор мілітарі,8,1,23.87,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапори бригад зсу купити,15,1,24.94,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,прапори військових частин,6,1,23.67,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,підпис на прапорі для військових,9,1,24.86,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,стяг україни купити,4,1,24.44,2026-07-09,0.0
Пошук \ Прапори,Мілітарі — UA,що таке бойовий прапор військової частини,1,1,1.47,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),купити прапор 128 бригади,5,1,27.84,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),купити прапор 95 бригади,11,1,9.7,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),купити стяг україни,3,1,7.77,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 118 бригади,11,1,9.62,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 158 бригади,4,1,9.8,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 24 бригади,5,1,62.02,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 3 окрема штурмова бригада,1,1,9.26,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 3 штурмова бригада,9,1,13.13,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 30 бригади,11,1,52.66,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 34 бригади,3,1,10.0,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 46 бригади,23,1,52.63,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 58 бригади,13,1,17.09,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 63 бригади,9,1,19.73,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 68 єгерської бригади,9,1,5.11,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 77 бригади,5,1,14.82,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 80 бригади,15,1,62.26,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 82 бригади,15,1,22.22,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 93 бригади холодний яр,16,1,9.89,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор 95 бригади,19,1,45.21,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор бригади,28,1,13.25,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор бригади рубіж,4,1,9.77,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапор зсу купити,5,1,36.25,2026-07-09,0.0
Пошук \ Прапори,Бригадні прапори (оригінальна група),прапори бригад,8,1,0.59,2026-07-09,0.0
Пошук \ Одяг,штани,купити військові штани з наколінниками,1,1,15.82,2026-07-09,0.0
Пошук \ Одяг,штани,купити військові штани мультикам,3,1,15.61,2026-07-09,0.0
Пошук \ Одяг,штани,купити штани піксель зсу літні,1,1,58.66,2026-07-09,0.0
Пошук \ Одяг,Футболки,армійські футболки купити,3,1,7.71,2026-07-09,0.0
Пошук \ Одяг,Футболки,жіночі патріотичні футболки купити,1,1,45.72,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити військові футболки,15,1,13.38,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити патріотичні футболки,15,1,28.31,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболку койот,6,1,39.73,2026-07-09,0.0
Пошук \ Одяг,Футболки,купить футболку поло зсу,10,1,72.28,2026-07-09,0.0
Пошук \ Одяг,Футболки,патриотични футболки,4,1,14.64,2026-07-09,0.0
