Campaign,AdGroup,SearchTerm,Impressions,Clicks,Cost,Conversions_period_from,Conversions
Merchant_Shopping,Группа объявлений 1,корогва,10262,58,778.14,2026-07-09,4.99
Merchant_Shopping,Группа объявлений 1,корогва прапори,2250,28,477.87,2026-07-09,3.0
Merchant_Shopping,Группа объявлений 1,худі,1895,16,118.53,2026-07-09,3.0
Merchant_Shopping,Группа объявлений 1,спортивні штани чоловічі,188,13,87.58,2026-07-09,2.0
Merchant_Shopping,Группа объявлений 1,худи,1599,13,76.13,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,зип худи,931,11,68.47,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,худі чоловічі,492,9,123.8,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,corogva,803,7,87.42,2026-07-09,1.0
Merchant_Shopping,Группа объявлений 1,зіп худі,1109,7,56.46,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,зіпка,516,7,68.56,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,купити прапор,503,7,45.02,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,флаг донецкой области,155,6,34.92,2026-07-09,1.03
Merchant_Shopping,Группа объявлений 1,nord division мерч,136,6,10.78,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,гуд бойс клаб,323,6,57.33,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,кофта,689,5,74.64,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,прапор вампір,17,5,18.22,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,прапори зсу,203,5,67.68,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,футболки,171,5,26.59,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,худі на блискавці,197,5,23.75,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,good boys club,537,4,55.32,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,замовити прапор,353,4,72.6,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,зипка мужская,155,4,23.02,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,купить зипку,215,4,50.19,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,купить худи,174,4,29.29,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,прапор дронщики,40,4,34.88,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,прапор замовити,148,4,354.62,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,прапор медик,27,4,11.87,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,прапори військові,370,4,57.07,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,прапори корогва,325,4,52.86,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,флаги на стену,79,4,39.97,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,худі жіночі,429,4,50.97,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,широкі спортивні штани чоловічі,52,4,35.34,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,штани спортивні чоловічі широкі,20,4,37.72,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,goodboys club,94,3,72.28,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,riot division,477,3,7.93,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,rusoriz футболка,63,3,6.43,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,бершка,48,3,27.32,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,зіп худі жіноче,96,3,22.25,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,зіпка чоловіча,335,3,17.47,2026-07-09,0.0
Merchant_Shopping,Группа объявлений 1,купити зіпку,68,3,131.36,2026-07-09,0.0
