Asset_group,Date,Impressions,Clicks,Cost,Conversions
"Интересы ""Новости и политика""",2026-07-09,1179,65,138.74,0.0
"Интересы ""Новости и политика""",2026-07-10,927,33,64.36,0.0
"Интересы ""Новости и политика""",2026-07-11,1376,42,79.16,1.0
"Интересы ""Новости и политика""",2026-07-12,989,47,117.7,3.0
"Интересы ""Новости и политика""",2026-07-13,1268,43,145.58,1.0
"Интересы ""Новости и политика""",2026-07-14,1489,50,126.58,0.0
"Интересы ""Новости и политика""",2026-07-15,1612,36,90.88,0.0
"Интересы ""Новости и политика""",2026-07-16,1288,68,110.82,1.0
"Интересы ""Новости и политика""",2026-07-17,708,23,48.21,0.0
"Интересы ""Новости и политика""",2026-07-18,1958,78,142.11,0.0
"Интересы ""Новости и политика""",2026-07-19,1794,52,100.5,1.0
"Интересы ""Новости и политика""",2026-07-20,774,31,101.12,1.0
"Интересы ""Новости и политика""",2026-07-21,2297,97,254.85,0.0
"Интересы ""Новости и политика""",2026-07-22,3471,125,271.54,1.0
"Интересы ""Новости и политика""",2026-07-23,3862,166,332.03,0.011
"Интересы ""Новости и политика""",2026-07-24,2780,98,247.75,0.0
"Интересы ""Новости и политика""",2026-07-25,1419,55,152.22,0.0
"Интересы ""Новости и политика""",2026-07-26,4417,194,435.55,1.0
"Интересы ""Новости и политика""",2026-07-27,1686,67,158.52,1.0
"Интересы ""Новости и политика""",2026-07-28,2954,126,260.35,0.0
"Интересы ""Новости и политика""",2026-07-29,4548,175,313.18,1.0
"Интересы ""Новости и политика""",2026-07-30,1361,62,121.1,0.0
"Интересы ""Новости и политика""",2026-07-31,4605,166,344.89,1.0
"Интересы ""Новости и политика""",2026-08-01,1187,48,117.72,0.0
"Интересы ""Новости и политика""",2026-08-02,1517,66,175.04,1.0
"Интересы ""Новости и политика""",2026-08-03,2314,107,218.3,0.0
"Интересы ""Новости и политика""",2026-08-04,1352,39,120.56,0.0
"Интересы ""Новости и политика""",2026-08-05,404,7,10.03,0.0
"Интересы ""Новости и политика""",2026-08-06,329,7,11.52,0.0
"Интересы ""Новости и политика""",2026-08-07,517,29,71.86,0.859
"Интересы ""Новости и политика""",2026-08-08,352,9,13.3,0.0
"Интересы ""Новости и политика""",2026-08-09,575,11,29.13,0.0
"Интересы ""Новости и политика""",2026-08-10,594,16,43.11,0.0
"Интересы ""Новости и политика""",2026-08-11,732,19,78.98,0.0
"Интересы ""Новости и политика""",2026-08-12,736,12,154.11,0.0
"Интересы ""Новости и политика""",2026-08-13,597,9,40.03,0.0
"Интересы ""Новости и политика""",2026-08-14,633,8,17.77,0.0
"Интересы ""Новости и политика""",2026-08-15,745,21,48.53,1.0
"Интересы ""Новости и политика""",2026-08-16,618,17,34.99,0.0
"Интересы ""Новости и политика""",2026-08-17,417,19,31.18,0.0
"Интересы ""Новости и политика""",2026-08-18,589,11,28.0,0.0
"Интересы ""Новости и политика""",2026-08-19,402,12,20.52,0.0
"Интересы ""Новости и политика""",2026-08-20,516,17,41.9,0.0
"Интересы ""Новости и политика""",2026-08-21,855,24,85.22,0.906
"Интересы ""Новости и политика""",2026-08-22,678,18,68.74,0.0
"Интересы ""Новости и политика""",2026-08-23,494,15,80.57,0.0
"Интересы ""Новости и политика""",2026-08-27,121,7,11.12,0.0
"Интересы ""Новости и политика""",2026-08-28,500,13,43.51,0.0
"Интересы ""Новости и политика""",2026-08-29,1160,33,82.01,0.0
"Интересы ""Новости и политика""",2026-08-30,1033,28,111.3,0.0
"Интересы ""Новости и политика""",2026-08-31,1088,39,85.4,1.0
"Интересы ""Новости и политика""",2026-09-01,1261,47,132.73,0.0
"Интересы ""Новости и политика""",2026-09-02,797,20,66.32,0.0
"Интересы ""Новости и политика""",2026-09-03,851,18,36.83,0.0
"Интересы ""Новости и политика""",2026-09-04,1975,35,101.47,0.0
"Интересы ""Новости и политика""",2026-09-05,1187,39,148.67,0.0
"Интересы ""Новости и политика""",2026-09-06,900,22,120.56,0.0
"Интересы ""Новости и политика""",2026-09-07,1375,25,75.88,0.0
"Интересы ""Новости и политика""",2026-09-08,599,13,80.49,0.0
Поисковые запросы,2026-07-09,409,10,74.72,0.0
Поисковые запросы,2026-07-10,540,13,107.66,2.887
Поисковые запросы,2026-07-11,605,12,104.44,0.0
Поисковые запросы,2026-07-12,382,4,30.79,0.0
Поисковые запросы,2026-07-13,998,11,76.62,0.0
Поисковые запросы,2026-07-14,1041,14,93.78,0.0
Поисковые запросы,2026-07-15,510,15,135.26,0.0
Поисковые запросы,2026-07-16,239,8,42.37,0.0
Поисковые запросы,2026-07-17,658,19,139.62,0.057
Поисковые запросы,2026-07-18,587,9,107.77,0.0
Поисковые запросы,2026-07-19,1259,15,29.19,0.0
Поисковые запросы,2026-07-20,290,12,172.71,0.0
Поисковые запросы,2026-07-21,818,32,109.33,1.0
Поисковые запросы,2026-07-22,1010,28,188.76,0.0
Поисковые запросы,2026-07-23,1029,41,167.62,0.0
Поисковые запросы,2026-07-24,979,48,201.93,3.0
Поисковые запросы,2026-07-25,831,27,90.69,1.0
Поисковые запросы,2026-07-26,1196,29,117.72,1.0
Поисковые запросы,2026-07-27,1201,54,290.51,5.667
Поисковые запросы,2026-07-28,1468,40,432.53,1.333
Поисковые запросы,2026-07-29,1483,34,242.89,2.571
Поисковые запросы,2026-07-30,615,38,307.98,0.143
Поисковые запросы,2026-07-31,1294,51,307.49,2.0
Поисковые запросы,2026-08-01,1112,50,304.53,2.0
Поисковые запросы,2026-08-02,1076,36,509.92,0.0
Поисковые запросы,2026-08-03,1015,29,226.99,0.0
Поисковые запросы,2026-08-04,1552,50,249.88,3.0
Поисковые запросы,2026-08-05,394,16,124.44,3.0
Поисковые запросы,2026-08-06,301,16,32.17,0.083
Поисковые запросы,2026-08-07,269,23,167.26,2.0
Поисковые запросы,2026-08-08,181,14,131.02,0.0
Поисковые запросы,2026-08-09,504,24,248.19,1.083
Поисковые запросы,2026-08-10,689,13,152.15,0.0
Поисковые запросы,2026-08-11,703,11,90.65,0.0
Поисковые запросы,2026-08-12,730,13,203.09,0.0
Поисковые запросы,2026-08-13,800,17,347.77,0.0
Поисковые запросы,2026-08-14,730,9,278.6,1.0
Поисковые запросы,2026-08-15,717,8,40.95,0.0
Поисковые запросы,2026-08-16,498,4,34.27,0.0
Поисковые запросы,2026-08-17,292,8,33.87,0.0
Поисковые запросы,2026-08-18,315,6,56.21,0.0
Поисковые запросы,2026-08-19,321,7,18.85,2.083
Поисковые запросы,2026-08-20,746,37,275.69,0.083
Поисковые запросы,2026-08-21,868,23,145.7,1.0
Поисковые запросы,2026-08-22,838,15,85.44,0.0
Поисковые запросы,2026-08-23,1129,13,29.68,2.0
Поисковые запросы,2026-08-27,49,3,4.88,3.0
Поисковые запросы,2026-08-28,154,4,10.19,0.0
Поисковые запросы,2026-08-29,333,10,245.48,1.0
Поисковые запросы,2026-08-30,414,8,103.75,1.0
Поисковые запросы,2026-08-31,103,9,51.76,0.0
Поисковые запросы,2026-09-01,133,8,86.23,0.0
Поисковые запросы,2026-09-02,1087,51,925.22,3.0
Поисковые запросы,2026-09-03,1220,51,2284.79,1.0
Поисковые запросы,2026-09-04,2149,40,299.85,0.0
Поисковые запросы,2026-09-05,867,32,619.97,0.0
Поисковые запросы,2026-09-06,822,28,440.12,0.0
Поисковые запросы,2026-09-07,1193,27,507.47,0.0
Поисковые запросы,2026-09-08,744,17,409.61,0.0
Ретаргет,2026-07-09,351,2,9.62,0.0
Ретаргет,2026-07-10,734,26,69.29,0.0
Ретаргет,2026-07-11,541,10,49.53,0.132
Ретаргет,2026-07-12,394,9,72.68,0.593
Ретаргет,2026-07-13,950,10,34.77,3.275
Ретаргет,2026-07-14,1103,9,30.24,0.0
Ретаргет,2026-07-15,481,15,35.35,0.0
Ретаргет,2026-07-16,449,33,42.18,0.0
Ретаргет,2026-07-17,574,8,65.22,0.0
Ретаргет,2026-07-18,594,10,49.31,0.0
Ретаргет,2026-07-19,1225,14,51.13,0.0
Ретаргет,2026-07-20,236,4,51.42,0.0
Ретаргет,2026-07-21,1077,16,65.39,0.0
Ретаргет,2026-07-22,1228,10,70.14,1.0
Ретаргет,2026-07-23,1041,16,84.38,0.0
Ретаргет,2026-07-24,1063,13,53.26,0.0
Ретаргет,2026-07-25,945,21,137.34,0.0
Ретаргет,2026-07-26,1218,16,120.65,0.0
Ретаргет,2026-07-27,1043,24,100.69,0.0
Ретаргет,2026-07-28,1590,31,162.37,1.0
Ретаргет,2026-07-29,2088,50,174.01,3.0
Ретаргет,2026-07-30,1831,136,112.8,0.0
Ретаргет,2026-07-31,2744,127,178.62,0.0
Ретаргет,2026-08-01,2032,47,195.49,1.0
Ретаргет,2026-08-02,1965,48,148.15,0.0
Ретаргет,2026-08-03,3175,157,195.13,0.0
