Asset_group,Date,Impressions,Clicks,Cost,Conversions
интересы - новости,2026-08-10,56,5,1.89,0.0
интересы - новости,2026-08-11,272,17,73.23,0.0
интересы - новости,2026-08-12,612,31,66.04,0.0
интересы - новости,2026-08-13,736,28,80.26,2.0
интересы - новости,2026-08-14,531,17,21.83,0.0
интересы - новости,2026-08-15,590,24,98.59,0.5
интересы - новости,2026-08-16,488,32,77.37,1.0
интересы - новости,2026-08-17,528,14,29.79,0.0
интересы - новости,2026-08-18,690,9,121.8,0.0
интересы - новости,2026-08-19,1175,18,136.54,0.0
интересы - новости,2026-08-20,2035,98,516.37,0.0
интересы - новости,2026-08-21,2481,94,311.41,1.0
интересы - новости,2026-08-22,625,17,69.58,0.0
интересы - новости,2026-08-23,260,3,5.21,0.0
интересы - новости,2026-08-27,891,41,124.98,0.0
интересы - новости,2026-08-28,590,10,97.23,0.0
интересы - новости,2026-08-29,414,3,6.12,0.0
интересы - новости,2026-08-30,582,19,159.64,0.0
интересы - новости,2026-08-31,797,6,22.76,0.0
интересы - новости,2026-09-01,838,12,135.27,0.0
интересы - новости,2026-09-02,731,12,161.8,0.0
интересы - новости,2026-09-03,329,8,41.12,0.0
ключи,2026-08-10,365,16,30.01,0.0
ключи,2026-08-11,367,19,20.95,0.0
ключи,2026-08-12,503,16,8.82,0.083
ключи,2026-08-13,574,28,89.99,0.167
ключи,2026-08-14,714,43,126.07,0.0
ключи,2026-08-15,694,66,381.91,0.0
ключи,2026-08-16,2142,130,456.15,0.0
ключи,2026-08-17,4390,270,768.69,1.25
ключи,2026-08-18,5581,288,1170.11,2.0
ключи,2026-08-19,3829,175,1444.18,1.0
ключи,2026-08-20,1949,93,423.84,0.0
ключи,2026-08-21,570,34,635.04,0.0
ключи,2026-08-22,1603,72,342.0,0.083
ключи,2026-08-23,1047,37,146.46,0.0
ключи,2026-08-27,478,19,147.11,2.0
ключи,2026-08-28,3413,191,550.67,1.011
ключи,2026-08-29,1222,62,352.69,2.0
ключи,2026-08-30,3738,217,932.97,2.0
ключи,2026-08-31,3623,160,846.54,1.0
ключи,2026-09-01,6921,340,1541.35,0.0
ключи,2026-09-02,5495,240,1389.93,2.083
ключи,2026-09-03,4438,202,1073.78,1.0
ключи,2026-09-04,1604,72,642.02,4.0
ключи,2026-09-05,711,32,410.14,0.0
ключи,2026-09-06,937,59,364.27,0.0
ключи,2026-09-07,541,24,339.01,0.0
ключи,2026-09-08,1208,44,365.5,0.0
ретаргет,2026-08-10,424,9,29.98,0.0
ретаргет,2026-08-11,720,24,121.96,0.0
ретаргет,2026-08-12,884,22,94.67,0.0
ретаргет,2026-08-13,334,16,73.08,0.0
ретаргет,2026-08-14,433,16,41.33,4.0
ретаргет,2026-08-15,881,44,202.35,0.5
ретаргет,2026-08-16,983,59,174.7,1.0
ретаргет,2026-08-17,1280,46,136.37,0.0
ретаргет,2026-08-18,795,17,67.75,0.0
ретаргет,2026-08-19,1231,28,89.98,0.0
ретаргет,2026-08-20,1542,39,217.61,0.0
ретаргет,2026-08-21,1379,39,155.83,0.0
ретаргет,2026-08-22,718,17,142.54,0.0
ретаргет,2026-08-23,378,6,24.11,0.0
ретаргет,2026-08-27,519,2,13.97,0.0
ретаргет,2026-08-28,863,11,57.8,1.0
ретаргет,2026-08-29,427,2,46.02,0.0
ретаргет,2026-08-30,1000,17,119.32,0.0
ретаргет,2026-08-31,1333,22,138.63,0.0
ретаргет,2026-09-01,1902,30,304.72,0.0
ретаргет,2026-09-02,1636,21,190.86,0.0
ретаргет,2026-09-03,705,14,159.9,0.0
