Campaign,Ad_group,Search_term,Network,Impressions,Clicks,Cost,Conversions
Merchant_Shopping,Всі товари,корогва,SEARCH,24924,121,1909.0,7.3
Merchant_Shopping,Всі товари,корогва прапори,SEARCH,5247,46,692.75,6.0
Merchant_Shopping,Всі товари,прапор,SEARCH,5215,40,607.5,0.6
Merchant_Shopping,Всі товари,прапори,SEARCH,3453,19,397.32,0.0
Merchant_Shopping,Всі товари,купити прапори,SEARCH,208,18,174.46,0.0
Merchant_Shopping,Всі товари,corogva,SEARCH,2135,17,378.4,0.0
Merchant_Shopping,Всі товари,худі,SEARCH,1151,15,170.8,0.0
Merchant_Shopping,Всі товари,худі чоловічі,SEARCH,937,15,176.4,0.0
Merchant_Shopping,Всі товари,зіп худі,SEARCH,609,12,56.37,0.08
Merchant_Shopping,Всі товари,корогва магазин,SEARCH,639,11,146.27,1.0
Merchant_Shopping,Всі товари,спортивні штани чоловічі,SEARCH,773,11,165.43,0.0
Merchant_Shopping,Всі товари,футболка русоріз,SEARCH,106,10,35.65,0.0
Merchant_Shopping,Всі товари,прапор мінометників,SEARCH,133,10,88.94,1.0
Merchant_Shopping,Всі товари,футболка зв язківець,SEARCH,26,8,48.48,0.0
Merchant_Shopping,Всі товари,прапор корогва,SEARCH,483,8,119.77,0.5
Merchant_Shopping,Всі товари,спортивні штани,SEARCH,565,8,80.19,0.0
Merchant_Shopping,Всі товари,флаг донецкой области,SEARCH,793,8,161.23,0.0
Merchant_Shopping,Всі товари,прапор донецької області,SEARCH,678,7,46.44,0.0
Merchant_Shopping,Всі товари,широкі спортивні штани чоловічі,SEARCH,204,7,64.4,0.0
Merchant_Shopping,Всі товари,флаг на заказ,SEARCH,310,7,189.6,0.0
Merchant_Shopping,Всі товари,прапор військовий,SEARCH,519,7,110.7,0.0
Merchant_Shopping,Всі товари,прапори військові,SEARCH,753,6,185.92,0.0
Merchant_Shopping,Всі товари,штаны спортивные мужские,SEARCH,202,6,139.07,1.0
Merchant_Shopping,Всі товари,широкие спортивные штаны мужские,SEARCH,71,6,69.53,0.0
Merchant_Shopping,Всі товари,худі чоловіче,SEARCH,214,6,63.84,0.0
Merchant_Shopping,Всі товари,honorovi,SEARCH,984,6,149.41,0.0
Merchant_Shopping,Всі товари,футболка риот дивижн,SEARCH,127,5,12.11,0.0
Merchant_Shopping,Всі товари,кріплення для прапора,SEARCH,60,5,9.86,0.0
Merchant_Shopping,Всі товари,спортивні штани чоловічі широкі,SEARCH,112,5,25.97,0.0
Merchant_Shopping,Всі товари,футболка riot division,SEARCH,228,5,21.07,0.0
Merchant_Shopping,Акційні,зіп худі,SEARCH,228,5,29.33,0.0
Merchant_Shopping,Всі товари,штани спортивні чоловічі,SEARCH,442,5,63.91,0.0
Merchant_Shopping,Всі товари,прапор медик,SEARCH,58,5,72.01,0.0
Merchant_Shopping,Всі товари,зип худи,SEARCH,402,4,27.2,0.0
Merchant_Shopping,Всі товари,купить флаг,SEARCH,610,4,41.6,0.0
Merchant_Shopping,Всі товари,прапор на стіну,SEARCH,582,4,34.49,0.0
Merchant_Shopping,Всі товари,прапор дснс,SEARCH,52,4,18.56,0.0
Merchant_Shopping,Всі товари,футболка company group,SEARCH,122,4,39.77,0.0
Merchant_Shopping,Всі товари,футболка вампір дрон,SEARCH,163,4,67.74,0.0
Merchant_Shopping,Всі товари,peklo toys,SEARCH,657,4,107.07,0.0
Merchant_Shopping,Всі товари,штани чоловічі широкі,SEARCH,87,4,32.57,1.0
Merchant_Shopping,Всі товари,штани чоловічі,SEARCH,490,4,38.18,0.0
Merchant_Shopping,Акційні,корогва,SEARCH,815,4,82.4,0.0
Merchant_Shopping,Акційні,прапор,SEARCH,210,4,65.27,0.4
Merchant_Shopping,Всі товари,заколот футболка,SEARCH,60,4,17.0,0.0
Merchant_Shopping,Всі товари,riotdivision,SEARCH,238,4,17.57,0.0
Merchant_Shopping,Всі товари,прапор купити,SEARCH,699,4,99.84,0.0
Merchant_Shopping,Всі товари,прапор дронщики,SEARCH,25,4,66.13,0.0
Merchant_Shopping,Всі товари,honorovi футболки,SEARCH,259,4,290.86,0.0
Merchant_Shopping,Всі товари,прапор нрк,SEARCH,13,4,42.74,0.0
Merchant_Shopping,Всі товари,rusoriz футболка,SEARCH,30,3,4.09,0.0
Merchant_Shopping,Всі товари,прапор хижак,SEARCH,114,3,32.9,0.0
Merchant_Shopping,Всі товари,прапор з принтом,SEARCH,88,3,18.23,0.0
Merchant_Shopping,Всі товари,ріот дівіжн,SEARCH,454,3,15.82,0.0
Merchant_Shopping,Всі товари,прапор вампір,SEARCH,145,3,29.1,0.0
Merchant_Shopping,Всі товари,welcome to hell футболка,SEARCH,21,3,39.15,0.0
Merchant_Shopping,Всі товари,прапор донецька,SEARCH,121,3,51.35,0.0
Merchant_Shopping,Всі товари,прапор для військових,SEARCH,135,3,69.75,0.0
Merchant_Shopping,Всі товари,військовий мерч,SEARCH,195,3,43.46,0.0
Merchant_Shopping,Всі товари,купить зип худи,SEARCH,65,3,50.93,0.0
Merchant_Shopping,Всі товари,спортивні штани баггі чоловічі,SEARCH,46,3,27.04,0.0
Merchant_Shopping,Всі товари,korogva,SEARCH,309,3,16.6,0.0
Merchant_Shopping,Всі товари,свастон,SEARCH,1068,3,94.72,0.0
Merchant_Shopping,Всі товари,флаг донбасса купить,SEARCH,58,3,28.84,0.0
Merchant_Shopping,Всі товари,stlv club,SEARCH,237,3,31.4,0.0
Merchant_Shopping,Всі товари,флаг купить,SEARCH,258,3,39.54,0.0
Merchant_Shopping,Всі товари,мерч русоріз,SEARCH,25,3,9.3,0.0
Merchant_Shopping,Всі товари,флаги,SEARCH,236,3,47.88,0.0
