date,term,impr,clicks,cost,conv
2026-08-01,044 garden,2,0,0.0,0.0
2026-08-01,1312 футболка,4,0,0.0,0.0
2026-08-01,13litera,1,0,0.0,0.0
2026-08-01,1ona,1,0,0.0,0.0
2026-08-01,4.5 0 project,5,0,0.0,0.0
2026-08-01,450 project,3,0,0.0,0.0
2026-08-01,4f ua,1,0,0.0,0.0
2026-08-01,5.11 сайт,1,0,0.0,0.0
2026-08-01,7.62 design,3,0,0.0,0.0
2026-08-01,7.62 designs,2,0,0.0,0.0
2026-08-01,72 бригада прапор,1,0,0.0,0.0
2026-08-01,abrams,1,0,0.0,0.0
2026-08-01,abrams магазин,6,0,0.0,0.0
2026-08-01,acab футболка,6,0,0.0,0.0
2026-08-01,adanola,1,0,0.0,0.0
2026-08-01,adidas штаны широкие мужские,1,0,0.0,0.0
2026-08-01,affliction,1,0,0.0,0.0
2026-08-01,allfordance,1,0,0.0,0.0
2026-08-01,andrestar com ua,1,0,0.0,0.0
2026-08-01,animalism by uanimals,1,0,0.0,0.0
2026-08-01,animalism shop,1,0,0.0,0.0
2026-08-01,answear,2,0,0.0,0.0
2026-08-01,answer,1,0,0.0,0.0
2026-08-01,anti russian social club,1,0,0.0,0.0
2026-08-01,arachne shirt,3,0,0.0,0.0
2026-08-01,aravana shop,1,0,0.0,0.0
2026-08-01,arcteryx футболка,1,0,0.0,0.0
2026-08-01,armada merch,1,0,0.0,0.0
2026-08-01,aviatsiya halychyny,3,0,0.0,0.0
2026-08-01,azazel,3,0,0.0,0.0
2026-08-01,azov мерч,1,0,0.0,0.0
2026-08-01,bad company одежда,1,0,0.0,0.0
2026-08-01,baggy polo joggers,1,0,0.0,0.0
2026-08-01,baggy ralph lauren joggers,1,0,0.0,0.0
2026-08-01,baggy trousers,1,0,0.0,0.0
2026-08-01,baggy штани,1,0,0.0,0.0
2026-08-01,baggy штаны,1,0,0.0,0.0
2026-08-01,bakelove,1,0,0.0,0.0
2026-08-01,balak,1,0,0.0,0.0
2026-08-01,balak wear,11,0,0.0,0.0
2026-08-01,bambass,4,0,0.0,0.0
2026-08-01,barbarian одяг,1,0,0.0,0.0
2026-08-01,barbell crew hoodie,2,0,0.0,0.0
2026-08-01,barrel штани,1,0,0.0,0.0
2026-08-01,barricade shop,1,0,0.0,0.0
2026-08-01,basic stüssy zip hoodie,2,0,0.0,0.0
2026-08-01,batart,3,0,0.0,0.0
2026-08-01,be om design,1,0,0.0,0.0
2026-08-01,begentle,1,0,0.0,0.0
2026-08-01,bekhtir,2,0,0.0,0.0
2026-08-01,benya and zubrik,1,0,0.0,0.0
2026-08-01,benya i zubrik,1,0,0.0,0.0
2026-08-01,benya zubrik,1,0,0.0,0.0
2026-08-01,berserk магазин,1,0,0.0,0.0
2026-08-01,bershka спортивные штаны,1,0,0.0,0.0
2026-08-01,bershka спортивні штани,1,0,0.0,0.0
2026-08-01,bershka штани,1,0,0.0,0.0
2026-08-01,bezet запоріжжя,2,0,0.0,0.0
2026-08-01,bezlad,3,0,0.0,0.0
2026-08-01,black limit,3,0,0.0,0.0
2026-08-01,black limit одежда,15,0,0.0,0.0
2026-08-01,blanc ua,1,0,0.0,0.0
2026-08-01,bluza chady,1,0,0.0,0.0
2026-08-01,bones hoodie sesh,1,0,0.0,0.0
2026-08-01,born to fly,1,0,0.0,0.0
2026-08-01,brain dead,3,0,0.0,0.0
2026-08-01,brock lesnar pants,2,0,0.0,0.0
2026-08-01,brubacher jeans,1,0,0.0,0.0
2026-08-01,brutal kill bode,10,0,0.0,0.0
2026-08-01,bury tomorrow merch,1,0,0.0,0.0
2026-08-01,cabanchi,2,0,0.0,0.0
2026-08-01,cabanchicom,1,0,0.0,0.0
2026-08-01,cap the uni,1,0,0.0,0.0
2026-08-01,capri sweatpants,1,0,0.0,0.0
2026-08-01,captheuni,3,0,0.0,0.0
2026-08-01,cascade store,1,0,0.0,0.0
2026-08-01,casual trend,1,0,0.0,0.0
2026-08-01,casual одяг,1,0,0.0,0.0
2026-08-01,cav empt худи,1,0,0.0,0.0
2026-08-01,cgt,3,0,0.0,0.0
2026-08-01,choose your reality футболка,1,0,0.0,0.0
2026-08-01,chrome hearts худі,1,0,0.0,0.0
2026-08-01,chthe ilist shirt,13,0,0.0,0.0
2026-08-01,clan p футболки,5,0,0.0,0.0
2026-08-01,columbia штаны,1,0,0.0,0.0
2026-08-01,comfort colors футболка,1,0,0.0,0.0
2026-08-01,company group,23,0,0.0,0.0
2026-08-01,company group team одежда,2,0,0.0,0.0
2026-08-01,company group магазин,7,0,0.0,0.0
2026-08-01,company group футболка,3,0,0.0,0.0
2026-08-01,converse футболка мужская,1,0,0.0,0.0
2026-08-01,corogva,8,0,0.0,0.0
2026-08-01,cp company футболка,2,0,0.0,0.0
2026-08-01,cropp,3,0,0.0,0.0
2026-08-01,cropp ua,1,0,0.0,0.0
2026-08-01,cropp спортивні штани чоловічі,1,0,0.0,0.0
2026-08-01,cropp штани чоловічі,1,0,0.0,0.0
2026-08-01,ctrl футболки,1,0,0.0,0.0
2026-08-01,cupage,4,0,0.0,0.0
2026-08-01,cupage ua,1,0,0.0,0.0
2026-08-01,dead souls,4,0,0.0,0.0
2026-08-01,dead souls group,18,0,0.0,0.0
2026-08-01,decalius футболка,1,0,0.0,0.0
2026-08-01,diadia,1,0,0.0,0.0
2026-08-01,dickies футболка,1,0,0.0,0.0
2026-08-01,disturbed футболка,1,0,0.0,0.0
2026-08-01,donbasonia футболка,2,0,0.0,0.0
2026-08-01,doomshop merch,3,0,0.0,0.0
2026-08-01,dropdead,2,0,0.0,0.0
2026-08-01,dropdead ua,1,0,0.0,0.0
2026-08-01,du0367 adidas,1,0,0.0,0.0
2026-08-01,dubhumans,3,0,0.0,0.0
2026-08-01,durnev shop,2,0,0.0,0.0
2026-08-01,esense,1,0,0.0,0.0
2026-08-01,essential футболка,1,0,0.0,0.0
2026-08-01,famo,1,0,0.0,0.0
2026-08-01,famo ua,1,0,0.0,0.0
2026-08-01,farfi,1,0,0.0,0.0
2026-08-01,farfie,5,1,14.45,0.0
2026-08-01,fear of god штаны,1,0,0.0,0.0
2026-08-01,ffdp мерч,1,0,0.0,0.0
2026-08-01,fire point мерч,3,0,0.0,0.0
2026-08-01,fire point футболка,1,0,0.0,0.0
2026-08-01,flame of desire,2,0,0.0,0.0
2026-08-01,flameofdesire,1,0,0.0,0.0
2026-08-01,flaner urban,1,0,0.0,0.0
2026-08-01,fog футболка,2,0,0.0,0.0
2026-08-01,fomo магазин,1,0,0.0,0.0
2026-08-01,fonk ua,1,0,0.0,0.0
2026-08-01,forward футболки,1,0,0.0,0.0
2026-08-01,foxmoto,1,0,0.0,0.0
2026-08-01,fpv art,2,0,0.0,0.0
2026-08-01,fpv футболка,5,0,0.0,0.0
2026-08-01,fpv шеврон,1,0,0.0,0.0
2026-08-01,fred perry футболка,1,0,0.0,0.0
2026-08-01,free azov футболка,2,0,0.0,0.0
2026-08-01,gang shop,2,0,0.0,0.0
2026-08-01,gard,3,0,0.0,0.0
2026-08-01,gard одяг,1,0,0.0,0.0
2026-08-01,garda,1,0,0.0,0.0
2026-08-01,gart,1,0,0.0,0.0
2026-08-01,gasanova футболка,1,0,0.0,0.0
2026-08-01,gencrew4,1,0,0.0,0.0
2026-08-01,ghost футболка,2,0,0.0,0.0
2026-08-01,glow in the dark,6,0,0.0,0.0
2026-08-01,good boys,1,0,0.0,0.0
2026-08-01,good boys club,35,0,0.0,0.0
2026-08-01,good boys club запоріжжя,14,0,0.0,0.0
2026-08-01,good boys club магазин,1,0,0.0,0.0
2026-08-01,goodboys club,10,0,0.0,0.0
2026-08-01,gorgany,1,0,0.0,0.0
2026-08-01,gorgoroth футболка,2,0,0.0,0.0
2026-08-01,gothic zip hoodie,3,0,0.0,0.0
2026-08-01,gray pants,1,0,0.0,0.0
2026-08-01,grunt style,1,0,0.0,0.0
2026-08-01,grunt style футболка,1,0,0.0,0.0
2026-08-01,gwer,1,0,0.0,0.0
2026-08-01,gym joggers for men,2,0,0.0,0.0
2026-08-01,hard kyiv,2,0,0.0,0.0
2026-08-01,hardkyiv,6,0,0.0,0.0
2026-08-01,harvest clothing com ua,2,0,0.0,0.0
2026-08-01,hate cult,5,0,0.0,0.0
2026-08-01,hate cult ua,9,0,0.0,0.0
2026-08-01,hate forest футболка,1,0,0.0,0.0
