date,term,impressions,clicks,cost,conversions
2026-08-13,corogva,6,3,0.19,0.0
2026-08-13,корогва прапори,8,2,13.86,0.0
2026-08-14,corogva,8,3,11.59,0.0
2026-08-14,корогва прапори,16,5,18.95,0.0
2026-08-14,что такое корогва,1,0,0.0,0.0
2026-08-15,corogva,4,1,0.05,0.0
2026-08-15,корогва прапори,5,2,3.83,1.0
2026-08-16,corogva,10,3,0.35,1.0
2026-08-16,корогва прапори,6,2,6.6593,2.943145
2026-08-17,corogva,4,1,0.05,0.0
2026-08-17,корогва прапори,12,2,8.26,0.0
2026-08-18,corogva,5,2,8.28,0.0
2026-08-18,корогва прапори,9,3,2.679548,0.0
2026-08-19,corogva,6,1,0.05,0.0
2026-08-19,корогва прапори,8,3,7.124858,0.0
2026-08-20,corogva,4,2,0.1,0.0
2026-08-20,корогва прапори,6,2,5.06,0.0
2026-08-21,corogva,4,2,1.73,0.0
2026-08-21,корогва прапори,18,1,2.26,1.0
2026-08-22,corogva,6,2,2.11,0.0
2026-08-22,корогва прапори,13,0,0.0,0.0
2026-08-23,corogva,2,1,0.05,0.0
2026-08-23,корогва прапори,6,1,5.96,0.0
2026-08-27,corogva,6,2,6.72,0.0
2026-08-27,корогва прапори,2,0,0.0,0.0
2026-08-28,corogva,2,1,0.07,0.0
2026-08-28,корогва прапори,1,0,0.0,0.0
2026-08-29,corogva,4,2,0.95,0.0
2026-08-29,корогва прапори,10,3,14.9,1.988852
2026-08-29,прапор корогва,2,0,0.0,0.0
2026-08-30,corogva,6,2,0.1,0.0
2026-08-30,корогва прапори,4,3,0.557937,0.0
2026-08-31,corogva,10,4,1.73,0.0
2026-08-31,корогва прапори,8,3,8.68,0.0
2026-08-31,прапор корогва,2,0,0.0,0.0
2026-09-01,corogva,5,0,0.0,0.0
2026-09-01,корогва прапори,7,4,17.04,0.0
2026-09-01,прапори корогва,3,1,1.68,0.0
2026-09-02,корогва прапори,4,2,11.98,0.0
2026-09-02,прапори корогва,1,0,0.0,0.0
2026-09-03,corogva,4,1,0.05,0.0
2026-09-03,корогва прапори,5,0,0.0,0.0
2026-09-04,corogva,13,5,26.0,0.0
2026-09-04,корогва,7,1,0.05,0.0
2026-09-04,корогва прапори,18,3,18.76,1.0
2026-09-05,corogva,2,0,0.0,0.0
2026-09-05,корогва,33,9,16.83,0.0
2026-09-05,корогва прапор,2,0,0.0,0.0
2026-09-05,корогва прапори,9,3,17.64,0.0
2026-09-05,коругва,3,1,18.12,0.0
2026-09-05,купити прапор корогва,2,1,4.43,0.0
2026-09-06,corogva,8,5,41.13,0.0
2026-09-06,корогва,58,15,40.02,0.0
2026-09-06,корогва купити,2,1,13.18,0.0
2026-09-06,корогва магазин,4,2,0.1,0.0
2026-09-06,корогва прапори,4,2,23.47,0.0
2026-09-06,коругва,6,3,8.77,0.0
2026-09-06,прапор корогва,8,2,15.49,0.0
2026-09-06,прапори корогва,2,1,5.47,0.0
2026-09-07,corogva,8,4,1.78,0.0
2026-09-07,barricade,2,0,0.0,0.0
2026-09-07,корогва,154,18,22.05,1.0
2026-09-07,корогва козаків,1,0,0.0,0.0
2026-09-07,корогва прапор,3,0,0.0,0.0
2026-09-07,корогва прапори,6,1,0.05,0.0
2026-09-07,корогва історизм,2,0,0.0,0.0
2026-09-07,прапори корогва,2,1,0.05,0.0
2026-09-08,corogva,2,1,0.92,0.0
2026-09-08,корогва,150,14,52.342572,0.0
2026-09-08,корогва прапор,2,0,0.0,0.0
2026-09-08,корогва прапори,10,3,15.78,0.0
2026-09-08,корогва прапори купити,4,1,20.7,0.0
2026-09-08,корогва сайт,2,1,5.13,0.0
2026-09-08,корогва фото,2,0,0.0,0.0
2026-09-08,коругва,4,0,0.0,0.0
2026-09-08,прапор корогва,2,0,0.0,0.0
