word,stem,clicks_before,conv_before,CVR_before_%,clicks_after,conv_after,cost_after,p_value
прапори,прапор,185,4.0,2.16,40,0.0,1704.58,0.41713
україни,україн,21,0.0,,10,0.0,755.41,
военторг,военторг,0,0.0,,2,0.0,664.33,
купити,купит,29,0.0,,11,0.0,472.88,
футболка,футболк,46,2.0,4.35,18,0.0,361.0,0.44927
мілітарі,мілітарі,12,0.0,,11,0.0,276.09,
замовити,замовит,5,0.0,,4,0.0,256.91,
бригади,бригад,21,0.0,,6,0.0,249.53,
койот,койот,0,0.0,,2,0.0,236.5,
корогва,корогв,473,40.09,8.48,46,0.0,209.96,0.01701
одягу,одяг,6,0.0,,5,0.0,132.52,
купить,куп,15,0.0,,6,0.0,131.94,
день,ден,0,0.0,,2,0.0,78.88,
кожен,кож,0,0.0,,2,0.0,78.88,
штани,штан,14,1.0,7.14,10,0.0,75.37,0.4766
зсу,зсу,1,0.0,,3,0.0,74.27,
худі,худі,63,1.0,1.59,9,0.0,64.37,0.86589
armolain,armolain,0,0.0,,1,0.0,61.47,
військових,військов,10,0.0,,4,0.0,58.32,
форма,форм,0,0.0,,1,0.0,55.72,
спортивні,спортивні,8,0.0,,5,0.0,44.88,
стайл,стайл,0,0.0,,1,0.0,43.62,
117,117,0,0.0,,1,0.0,35.41,
чоловічі,чоловічі,17,0.0,,5,0.0,34.98,
honorovi,honorovi,1,0.0,,1,0.0,30.85,
символикой,символик,0,0.0,,2,0.0,30.1,
украинские,украинск,0,0.0,,2,0.0,30.1,
спортивные,спортивн,3,1.0,33.33,4,0.0,28.2,
великих,велик,0,0.0,,2,0.0,28.04,
onlywars,onlywars,0,0.0,,1,0.0,26.73,
жіночі,жіночі,9,0.0,,3,0.0,24.61,
мвг,мвг,0,0.0,,1,0.0,23.9,
худи,худ,23,3.0,13.04,4,0.0,22.69,
шеврон,шеврон,1,0.0,,2,0.0,21.88,
омбр,омбр,5,0.0,,1,0.0,20.96,
військові,військові,13,0.0,,1,0.0,18.12,
стіну,стіну,1,0.0,,1,0.0,17.32,
оверсайз,оверсайз,4,0.0,,2,0.0,16.43,
олімпійський,олімпійськ,0,0.0,,1,0.0,15.96,
мужские,мужск,10,0.0,,3,0.0,15.91,
кофта,кофт,8,0.0,,2,0.0,15.02,
project,project,0,0.0,,1,0.0,14.8,
огшбр,огшбр,0,0.0,,1,0.0,12.8,
широкие,широк,3,0.0,,1,0.0,11.64,
спортивки,спортивк,0,0.0,,1,0.0,10.94,
черная,черн,4,1.0,25.0,1,0.0,10.94,
бойс,бойс,0,0.0,,2,0.0,10.7,
клаб,клаб,0,0.0,,2,0.0,10.7,
гуд,гуд,0,0.0,,2,0.0,10.7,
зип,зип,11,3.0,27.27,2,0.0,10.3,
чорні,чорні,3,0.0,,1,0.0,9.85,
оригинал,оригина,0,0.0,,1,0.0,9.67,
ерд,ерд,0,0.0,,1,0.0,9.67,
широкі,широкі,2,0.0,,2,0.0,9.31,
принтом,принт,25,0.0,,1,0.0,8.18,
тепла,тепл,0,0.0,,1,0.0,7.69,
киев,ки,0,0.0,,1,0.0,7.15,
патч,патч,0,0.0,,1,0.0,6.89,
вампір,вампір,6,0.0,,1,0.0,6.89,
милитари,милитар,1,0.0,,1,0.0,6.84,
худак,худак,0,0.0,,1,0.0,6.45,
мерч,мерч,3,0.0,,2,0.0,5.67,
замку,замк,1,0.0,,1,0.0,5.35,
good,good,1,0.0,,1,0.0,4.91,
boys,boys,1,0.0,,1,0.0,4.91,
club,club,2,0.0,,1,0.0,4.91,
urban,urban,1,0.0,,1,0.0,4.87,
tactical,tactical,1,0.0,,1,0.0,4.87,
командир,командир,0,0.0,,1,0.0,4.85,
чоловіча,чоловіч,9,0.0,,1,0.0,4.24,
бренд,бренд,0,0.0,,1,0.0,4.24,
українські,українські,0,0.0,,1,0.0,4.24,
дснс,дснс,2,0.0,,1,0.0,3.85,
подарунок,подарунок,0,0.0,,1,0.0,3.85,
флисовая,флисов,0,0.0,,1,0.0,3.8,
хейтспіч,хейтспіч,0,0.0,,1,0.0,3.7,
нрк,нрк,0,0.0,,1,0.0,3.33,
яга,яг,1,0.0,,2,0.0,3.2,
баба,баб,1,0.0,,2,0.0,3.2,
nord,nord,3,0.0,,1,0.0,3.04,
division,division,5,0.0,,1,0.0,3.04,
джоггеры,джоггер,0,0.0,,1,0.0,2.73,
каспер,каспер,0,0.0,,1,0.0,2.38,
vampire,vampire,0,0.0,,1,0.0,2.23,
найк,найк,0,0.0,,1,0.0,1.85,
украина,украин,1,0.0,,1,0.0,1.37,
rusoriz,rusoriz,2,0.0,,1,0.0,0.41,
магазин,магазин,15,1.0,6.67,1,0.0,0.05,
харківський,харківськ,0,0.0,,0,0.0,0.0,
петля,петл,0,0.0,,0,0.0,0.0,
омега,омег,0,0.0,,0,0.0,0.0,
беар,беар,0,0.0,,0,0.0,0.0,
ecko,ecko,0,0.0,,0,0.0,0.0,
берсерк,берсерк,0,0.0,,0,0.0,0.0,
garage,garage,0,0.0,,0,0.0,0.0,
skin,skin,0,0.0,,0,0.0,0.0,
крестом,крест,0,0.0,,0,0.0,0.0,
bungee,bungee,0,0.0,,0,0.0,0.0,
nuoff,nuoff,0,0.0,,0,0.0,0.0,
шарф,шарф,0,0.0,,0,0.0,0.0,
орб,орб,0,0.0,,0,0.0,0.0,
demilich,demilich,0,0.0,,0,0.0,0.0,
raiders,raiders,0,0.0,,0,0.0,0.0,
дьяволом,дьявол,0,0.0,,0,0.0,0.0,
прпор,прпор,0,0.0,,0,0.0,0.0,
дзвоник,дзвоник,0,0.0,,0,0.0,0.0,
corteiz,corteiz,0,0.0,,0,0.0,0.0,
маріуполь,маріупол,0,0.0,,0,0.0,0.0,
greek,greek,0,0.0,,0,0.0,0.0,
сохрани,сохран,0,0.0,,0,0.0,0.0,
чоловіків,чоловіків,0,0.0,,0,0.0,0.0,
hemp,hemp,0,0.0,,0,0.0,0.0,
производства,производств,0,0.0,,0,0.0,0.0,
farfie,farfie,0,0.0,,0,0.0,0.0,
www,www,0,0.0,,0,0.0,0.0,
bigboss,bigboss,0,0.0,,0,0.0,0.0,
flames,flames,0,0.0,,0,0.0,0.0,
moow,moow,0,0.0,,0,0.0,0.0,
salon,salon,0,0.0,,0,0.0,0.0,
лють,лют,0,0.0,,0,0.0,0.0,
кайф,кайф,0,0.0,,0,0.0,0.0,
ворам,вор,0,0.0,,0,0.0,0.0,
tee,tee,0,0.0,,0,0.0,0.0,
мобильный,мобильн,0,0.0,,0,0.0,0.0,
fasthouse,fasthouse,0,0.0,,0,0.0,0.0,
stvl,stvl,0,0.0,,0,0.0,0.0,
365,365,0,0.0,,0,0.0,0.0,
цинк,цинк,0,0.0,,0,0.0,0.0,
stories,stories,0,0.0,,0,0.0,0.0,
сокира,сокир,0,0.0,,0,0.0,0.0,
розетка,розетк,0,0.0,,0,0.0,0.0,
revenge,revenge,0,0.0,,0,0.0,0.0,
fred,fred,0,0.0,,0,0.0,0.0,
рикки,рикк,0,0.0,,0,0.0,0.0,
крайова,крайов,0,0.0,,0,0.0,0.0,
компані,компані,0,0.0,,0,0.0,0.0,
valkyrie,valkyrie,0,0.0,,0,0.0,0.0,
breathedivinity,breathedivinity,0,0.0,,0,0.0,0.0,
media,media,0,0.0,,0,0.0,0.0,
эксчендж,эксчендж,0,0.0,,0,0.0,0.0,
koza,koza,0,0.0,,0,0.0,0.0,
официальный,официальн,0,0.0,,0,0.0,0.0,
донбасс,донбасс,1,0.0,,0,0.0,0.0,
медицинского,медицинск,0,0.0,,0,0.0,0.0,
лонгслів,лонгслів,0,0.0,,0,0.0,0.0,
дня,дня,0,0.0,,0,0.0,0.0,
fzm,fzm,0,0.0,,0,0.0,0.0,
відро,відро,0,0.0,,0,0.0,0.0,
банері,банері,0,0.0,,0,0.0,0.0,
shinigami,shinigami,0,0.0,,0,0.0,0.0,
ніков,ніков,0,0.0,,0,0.0,0.0,
контрлве,контрлв,0,0.0,,0,0.0,0.0,
індивідуальним,індивідуальн,0,0.0,,0,0.0,0.0,
celamur,celamur,0,0.0,,0,0.0,0.0,
бруталмен,бруталм,0,0.0,,0,0.0,0.0,
132,132,0,0.0,,0,0.0,0.0,
lama,lama,0,0.0,,0,0.0,0.0,
chamur,chamur,0,0.0,,0,0.0,0.0,
ибис,ибис,0,0.0,,0,0.0,0.0,
убори,убор,0,0.0,,0,0.0,0.0,
орлом,орл,0,0.0,,0,0.0,0.0,
львові,львові,0,0.0,,0,0.0,0.0,
оу74,оу74,0,0.0,,0,0.0,0.0,
edge,edge,0,0.0,,0,0.0,0.0,
loys,loys,0,0.0,,0,0.0,0.0,
меч,меч,0,0.0,,0,0.0,0.0,
oneface,oneface,0,0.0,,0,0.0,0.0,
гог,гог,0,0.0,,0,0.0,0.0,
performance,performance,0,0.0,,0,0.0,0.0,
dawn,dawn,0,0.0,,0,0.0,0.0,
miumau,miumau,0,0.0,,0,0.0,0.0,
under,under,0,0.0,,0,0.0,0.0,
dutch,dutch,0,0.0,,0,0.0,0.0,
нации,нац,0,0.0,,0,0.0,0.0,
hannya,hannya,0,0.0,,0,0.0,0.0,
кривий,крив,0,0.0,,0,0.0,0.0,
craf,craf,0,0.0,,0,0.0,0.0,
поясной,поясн,0,0.0,,0,0.0,0.0,
hootir,hootir,0,0.0,,0,0.0,0.0,
флагман,флагма,0,0.0,,0,0.0,0.0,
гарно,гарн,0,0.0,,0,0.0,0.0,
esoteric,esoteric,0,0.0,,0,0.0,0.0,
магнітік,магнітік,0,0.0,,0,0.0,0.0,
світлячок,світлячок,0,0.0,,0,0.0,0.0,
молитвою,молитв,1,0.0,,0,0.0,0.0,
bezet,bezet,0,0.0,,0,0.0,0.0,
трикотаж,трикотаж,0,0.0,,0,0.0,0.0,
полузамок,полузамок,0,0.0,,0,0.0,0.0,
боевая,боев,0,0.0,,0,0.0,0.0,
национальной,национальн,0,0.0,,0,0.0,0.0,
пері,пері,0,0.0,,0,0.0,0.0,
гэнг,гэнг,2,0.0,,0,0.0,0.0,
сепультура,сепультур,0,0.0,,0,0.0,0.0,
стильні,стильні,0,0.0,,0,0.0,0.0,
gsm,gsm,0,0.0,,0,0.0,0.0,
вальхейм,вальхейм,0,0.0,,0,0.0,0.0,
збройні,збройні,0,0.0,,0,0.0,0.0,
махновцев,махновц,0,0.0,,0,0.0,0.0,
оптимусгенг,оптимусгенг,0,0.0,,0,0.0,0.0,
тактікал,тактіка,0,0.0,,0,0.0,0.0,
как,как,0,0.0,,0,0.0,0.0,
forces,forces,0,0.0,,0,0.0,0.0,
clth,clth,0,0.0,,0,0.0,0.0,
адушкиной,адушкин,0,0.0,,0,0.0,0.0,
гербом,герб,0,0.0,,0,0.0,0.0,
свободного,свободн,0,0.0,,0,0.0,0.0,
empyre,empyre,0,0.0,,0,0.0,0.0,
новинки,новинк,0,0.0,,0,0.0,0.0,
пеклотойс,пеклотойс,1,0.0,,0,0.0,0.0,
999yessirskiii,999yessirskiii,0,0.0,,0,0.0,0.0,
ionrumfus,ionrumfus,0,0.0,,0,0.0,0.0,
scastone,scastone,0,0.0,,0,0.0,0.0,
дум,дум,0,0.0,,0,0.0,0.0,
постелькин,постелькин,0,0.0,,0,0.0,0.0,
очки,очк,0,0.0,,0,0.0,0.0,
питерский,питерск,1,0.0,,0,0.0,0.0,
скала,скал,0,0.0,,0,0.0,0.0,
тойс,тойс,1,0.0,,0,0.0,0.0,
sturman,sturman,0,0.0,,0,0.0,0.0,
jacket,jacket,0,0.0,,0,0.0,0.0,
безет,безет,0,0.0,,0,0.0,0.0,
есентиалс,есентиалс,0,0.0,,0,0.0,0.0,
робоча,робоч,0,0.0,,0,0.0,0.0,
рипндип,рипндип,0,0.0,,0,0.0,0.0,
спорядження,споряджен,0,0.0,,0,0.0,0.0,
ворлд,ворлд,0,0.0,,0,0.0,0.0,
company,company,0,0.0,,0,0.0,0.0,
лонсдейл,лонсдейл,0,0.0,,0,0.0,0.0,
why,why,0,0.0,,0,0.0,0.0,
gurd,gurd,0,0.0,,0,0.0,0.0,
волчок,волчок,0,0.0,,0,0.0,0.0,
lis,lis,0,0.0,,0,0.0,0.0,
авеню,авен,0,0.0,,0,0.0,0.0,
vol,vol,0,0.0,,0,0.0,0.0,
аллах,алл,0,0.0,,0,0.0,0.0,
110,110,0,0.0,,0,0.0,0.0,
shevashop,shevashop,0,0.0,,0,0.0,0.0,
фонк,фонк,0,0.0,,0,0.0,0.0,
toys,toys,0,0.0,,0,0.0,0.0,
бордовое,бордов,0,0.0,,0,0.0,0.0,
apart,apart,0,0.0,,0,0.0,0.0,
християнські,християнські,0,0.0,,0,0.0,0.0,
rhinestone,rhinestone,0,0.0,,0,0.0,0.0,
coosh,coosh,0,0.0,,0,0.0,0.0,
едельвейс,едельвейс,0,0.0,,0,0.0,0.0,
кураж,кураж,0,0.0,,0,0.0,0.0,
похуй,пох,0,0.0,,0,0.0,0.0,
вымпел,вымпел,0,0.0,,0,0.0,0.0,
mikiny,mikiny,0,0.0,,0,0.0,0.0,
islnd,islnd,0,0.0,,0,0.0,0.0,
stranding,stranding,0,0.0,,0,0.0,0.0,
ганг,ганг,0,0.0,,0,0.0,0.0,
тканини,тканин,0,0.0,,0,0.0,0.0,
референс,референс,0,0.0,,0,0.0,0.0,
металлика,металлик,0,0.0,,0,0.0,0.0,
work,work,0,0.0,,0,0.0,0.0,
camotec,camotec,0,0.0,,0,0.0,0.0,
балони,балон,0,0.0,,0,0.0,0.0,
swash,swash,0,0.0,,0,0.0,0.0,
conservir,conservir,0,0.0,,0,0.0,0.0,
cyanotopia,cyanotopia,0,0.0,,0,0.0,0.0,
utopia8,utopia8,0,0.0,,0,0.0,0.0,
siiriset,siiriset,0,0.0,,0,0.0,0.0,
apparel,apparel,0,0.0,,0,0.0,0.0,
величайший,величайш,0,0.0,,0,0.0,0.0,
щит,щит,1,0.0,,0,0.0,0.0,
kufaika,kufaika,0,0.0,,0,0.0,0.0,
кладовище,кладовищ,0,0.0,,0,0.0,0.0,
флагсистем,флагсист,0,0.0,,0,0.0,0.0,
sklowear,sklowear,0,0.0,,0,0.0,0.0,
хатній,хатні,0,0.0,,0,0.0,0.0,
відїбіться,відїбіться,0,0.0,,0,0.0,0.0,
philipp,philipp,0,0.0,,0,0.0,0.0,
gaga,gaga,0,0.0,,0,0.0,0.0,
конверс,конверс,0,0.0,,0,0.0,0.0,
mortum,mortum,0,0.0,,0,0.0,0.0,
levitate,levitate,0,0.0,,0,0.0,0.0,
эволюция,эволюц,0,0.0,,0,0.0,0.0,
дронів,дронів,0,0.0,,0,0.0,0.0,
army,army,0,0.0,,0,0.0,0.0,
летние,летн,0,0.0,,0,0.0,0.0,
виробника,виробник,0,0.0,,0,0.0,0.0,
тру,тру,0,0.0,,0,0.0,0.0,
ск8,ск8,0,0.0,,0,0.0,0.0,
uniform,uniform,0,0.0,,0,0.0,0.0,
корова,коров,0,0.0,,0,0.0,0.0,
когва,когв,0,0.0,,0,0.0,0.0,
сухарка,сухарк,0,0.0,,0,0.0,0.0,
веселий,весел,0,0.0,,0,0.0,0.0,
мегаспорт,мегаспорт,0,0.0,,0,0.0,0.0,
турция,турц,0,0.0,,0,0.0,0.0,
удочка,удочк,0,0.0,,0,0.0,0.0,
band,band,0,0.0,,0,0.0,0.0,
фог,фог,0,0.0,,0,0.0,0.0,
агломерація,агломераці,0,0.0,,0,0.0,0.0,
parallel50th,parallel50th,0,0.0,,0,0.0,0.0,
калина,калин,0,0.0,,0,0.0,0.0,
lawa,lawa,0,0.0,,0,0.0,0.0,
civarize,civarize,0,0.0,,0,0.0,0.0,
wardoc,wardoc,0,0.0,,0,0.0,0.0,
brebsi,brebsi,0,0.0,,0,0.0,0.0,
punk,punk,0,0.0,,0,0.0,0.0,
палка,палк,0,0.0,,0,0.0,0.0,
танкс,танкс,0,0.0,,0,0.0,0.0,
схима,схим,0,0.0,,0,0.0,0.0,
мэнсон,мэнсон,0,0.0,,0,0.0,0.0,
викинги,викинг,0,0.0,,0,0.0,0.0,
третьої,третьої,1,0.0,,0,0.0,0.0,
суми,сум,0,0.0,,0,0.0,0.0,
prevail,prevail,0,0.0,,0,0.0,0.0,
рефлектив,рефлект,0,0.0,,0,0.0,0.0,
covert,covert,0,0.0,,0,0.0,0.0,
фривер,фривер,0,0.0,,0,0.0,0.0,
підлітковий,підлітков,0,0.0,,0,0.0,0.0,
спаси,спас,0,0.0,,0,0.0,0.0,
придністров,придністр,0,0.0,,0,0.0,0.0,
прапорна,прапорн,0,0.0,,0,0.0,0.0,
лонгслив,лонгсл,0,0.0,,0,0.0,0.0,
hoffmann,hoffmann,0,0.0,,0,0.0,0.0,
лукава,лукав,0,0.0,,0,0.0,0.0,
наклейка,наклейк,1,0.0,,0,0.0,0.0,
плащівка,плащівк,0,0.0,,0,0.0,0.0,
profile,profile,0,0.0,,0,0.0,0.0,
потворно,потворн,0,0.0,,0,0.0,0.0,
русь,ру,0,0.0,,0,0.0,0.0,
regular,regular,0,0.0,,0,0.0,0.0,
авто,авт,0,0.0,,0,0.0,0.0,
бурзум,бурзум,0,0.0,,0,0.0,0.0,
death,death,1,0.0,,0,0.0,0.0,
brothers,brothers,0,0.0,,0,0.0,0.0,
bates,bates,0,0.0,,0,0.0,0.0,
гвардії,гвардії,0,0.0,,0,0.0,0.0,
стиль,стил,0,0.0,,0,0.0,0.0,
buy,buy,0,0.0,,0,0.0,0.0,
uto,uto,0,0.0,,0,0.0,0.0,
wanderlast,wanderlast,0,0.0,,0,0.0,0.0,
клеш,клеш,0,0.0,,0,0.0,0.0,
азазель,азазел,0,0.0,,0,0.0,0.0,
savastone,savastone,0,0.0,,0,0.0,0.0,
metal,metal,0,0.0,,0,0.0,0.0,
jav,jav,0,0.0,,0,0.0,0.0,
raid,raid,0,0.0,,0,0.0,0.0,
ватага,ватаг,0,0.0,,0,0.0,0.0,
arckanum,arckanum,0,0.0,,0,0.0,0.0,
дбр,дбр,0,0.0,,0,0.0,0.0,
rocky,rocky,0,0.0,,0,0.0,0.0,
солдат,солдат,0,0.0,,0,0.0,0.0,
sworn,sworn,0,0.0,,0,0.0,0.0,
chef,chef,0,0.0,,0,0.0,0.0,
заколот,заколот,1,0.0,,0,0.0,0.0,
base,base,0,0.0,,0,0.0,0.0,
зіпка,зіпка,4,1.0,25.0,0,0.0,0.0,
ranger,ranger,0,0.0,,0,0.0,0.0,
goinua,goinua,0,0.0,,0,0.0,0.0,
polo,polo,0,0.0,,0,0.0,0.0,
будда,будд,0,0.0,,0,0.0,0.0,
pepe,pepe,0,0.0,,0,0.0,0.0,
мають,мают,0,0.0,,0,0.0,0.0,
пацаны,паца,0,0.0,,0,0.0,0.0,
sunday,sunday,0,0.0,,0,0.0,0.0,
man,man,0,0.0,,0,0.0,0.0,
thug,thug,0,0.0,,0,0.0,0.0,
мапа,мап,0,0.0,,0,0.0,0.0,
print,print,0,0.0,,0,0.0,0.0,
sarcasm,sarcasm,0,0.0,,0,0.0,0.0,
хлопців,хлопців,0,0.0,,0,0.0,0.0,
zone,zone,0,0.0,,0,0.0,0.0,
bangert,bangert,1,0.0,,0,0.0,0.0,
интернет,интернет,0,0.0,,0,0.0,0.0,
morok,morok,0,0.0,,0,0.0,0.0,
шмот,шмот,0,0.0,,0,0.0,0.0,
націоналістів,націоналістів,0,0.0,,0,0.0,0.0,
welcome,welcome,1,0.0,,0,0.0,0.0,
катря,катр,0,0.0,,0,0.0,0.0,
банери,банер,0,0.0,,0,0.0,0.0,
пиксель,пиксел,0,0.0,,0,0.0,0.0,
militarny,militarny,0,0.0,,0,0.0,0.0,
наших,наш,0,0.0,,0,0.0,0.0,
розрізами,розріз,0,0.0,,0,0.0,0.0,
anivara,anivara,1,0.0,,0,0.0,0.0,
ftp,ftp,0,0.0,,0,0.0,0.0,
staf,staf,0,0.0,,0,0.0,0.0,
range,range,0,0.0,,0,0.0,0.0,
amorphis,amorphis,0,0.0,,0,0.0,0.0,
хаки,хак,0,0.0,,0,0.0,0.0,
кровью,кров,0,0.0,,0,0.0,0.0,
форвард,форвард,0,0.0,,0,0.0,0.0,
харкова,харков,0,0.0,,0,0.0,0.0,
vsisvoi,vsisvoi,0,0.0,,0,0.0,0.0,
bmth,bmth,0,0.0,,0,0.0,0.0,
hound,hound,0,0.0,,0,0.0,0.0,
westcity,westcity,0,0.0,,0,0.0,0.0,
ляпис,ляпис,0,0.0,,0,0.0,0.0,
опора,опор,0,0.0,,0,0.0,0.0,
огонь,огон,0,0.0,,0,0.0,0.0,
юкрейн,юкрейн,0,0.0,,0,0.0,0.0,
монтаж,монтаж,0,0.0,,0,0.0,0.0,
волками,волк,0,0.0,,0,0.0,0.0,
geographic,geographic,0,0.0,,0,0.0,0.0,
дакар,дакар,0,0.0,,0,0.0,0.0,
ахіллес,ахіллес,0,0.0,,0,0.0,0.0,
xes,xes,0,0.0,,0,0.0,0.0,
прийняття,прийнятт,0,0.0,,0,0.0,0.0,
патріотичні,патріотичні,0,0.0,,0,0.0,0.0,
donbanistan,donbanistan,0,0.0,,0,0.0,0.0,
тро,тро,0,0.0,,0,0.0,0.0,
тельняшку,тельняшк,0,0.0,,0,0.0,0.0,
ісланд,ісланд,0,0.0,,0,0.0,0.0,
skinny,skinny,0,0.0,,0,0.0,0.0,
дуже,дуж,0,0.0,,0,0.0,0.0,
парню,парн,0,0.0,,0,0.0,0.0,
харків,харків,0,0.0,,0,0.0,0.0,
frog,frog,0,0.0,,0,0.0,0.0,
аниме,аним,0,0.0,,0,0.0,0.0,
вертикальний,вертикальн,0,0.0,,0,0.0,0.0,
