date,network,clicks,cost,conversions
2026-08-10,SEARCH,8,11.7,0.0
2026-08-11,SEARCH,15,14.08,0.0
2026-08-12,SEARCH,11,3.315714,0.083333
2026-08-13,SEARCH,22,63.549623,0.166666
2026-08-14,SEARCH,25,86.749526,4.0
2026-08-15,SEARCH,30,357.818695,0.0
2026-08-16,SEARCH,26,255.493332,1.0
2026-08-17,SEARCH,39,283.836756,1.249999
2026-08-18,SEARCH,46,738.172407,0.0
2026-08-19,SEARCH,58,1133.034019,1.0
2026-08-20,SEARCH,16,495.552332,0.0
2026-08-21,SEARCH,19,714.972156,0.0
2026-08-22,SEARCH,17,261.714908,0.083333
2026-08-23,SEARCH,9,92.93,0.0
2026-08-27,SEARCH,12,136.75,2.0
2026-08-28,SEARCH,25,271.17,1.0
2026-08-29,SEARCH,18,131.36,2.0
2026-08-30,SEARCH,50,683.25,0.0
2026-08-31,SEARCH,35,595.890507,1.0
2026-09-01,SEARCH,54,1060.790986,0.0
2026-09-02,SEARCH,30,1050.31,0.083337
2026-09-03,SEARCH,30,679.598352,0.0
2026-09-04,SEARCH,27,511.03,2.0
2026-09-05,SEARCH,8,329.65,0.0
2026-09-06,SEARCH,10,187.4,0.0
2026-09-07,SEARCH,6,287.24,0.0
2026-09-08,SEARCH,11,236.380911,0.0
2026-09-08,SEARCH_PARTNERS,1,4.3,0.0
2026-08-10,CONTENT,11,3.271291,0.0
2026-08-11,CONTENT,7,34.750022,0.0
2026-08-12,CONTENT,12,17.299079,0.0
2026-08-13,CONTENT,18,75.595141,0.0
2026-08-14,CONTENT,13,24.850715,0.0
2026-08-15,CONTENT,14,108.129242,0.0
2026-08-16,CONTENT,24,62.086602,0.0
2026-08-17,CONTENT,16,110.803306,0.0
2026-08-18,CONTENT,22,98.177118,0.0
2026-08-19,CONTENT,20,85.488386,0.0
2026-08-20,CONTENT,26,148.518347,0.0
2026-08-21,CONTENT,35,102.149722,0.0
2026-08-22,CONTENT,21,65.889314,0.0
2026-08-23,CONTENT,8,9.640524,0.0
2026-08-28,CONTENT,9,31.511716,0.0
2026-08-29,CONTENT,10,70.973018,0.0
2026-08-30,CONTENT,9,55.694136,0.0
2026-08-31,CONTENT,12,104.177777,0.0
2026-09-01,CONTENT,16,60.076296,0.0
2026-09-02,CONTENT,11,73.66442,0.0
2026-09-03,CONTENT,7,41.169397,0.0
2026-09-04,CONTENT,1,5.169767,2.0
2026-09-07,CONTENT,1,11.49336,0.0
2026-09-08,CONTENT,0,24.240747,0.0
2026-09-01,MIXED,0,0.110723,0.0
2026-08-10,YOUTUBE,11,46.90126,0.0
2026-08-11,YOUTUBE,8,41.79168,0.0
2026-08-12,YOUTUBE,8,65.498823,0.0
2026-08-13,YOUTUBE,0,3.957565,0.0
2026-08-14,YOUTUBE,0,0.307281,0.0
2026-08-19,YOUTUBE,24,39.328626,0.0
2026-08-20,YOUTUBE,16,29.762397,0.0
2026-08-21,YOUTUBE,10,35.579733,0.0
2026-08-22,YOUTUBE,3,83.278633,0.0
2026-08-23,YOUTUBE,1,9.189402,0.0
2026-08-27,YOUTUBE,7,34.002262,0.0
2026-08-28,YOUTUBE,5,24.349887,1.0
2026-08-29,YOUTUBE,0,0.694772,0.0
2026-08-30,YOUTUBE,3,41.486645,0.0
2026-08-31,YOUTUBE,5,49.615225,0.0
2026-09-01,YOUTUBE,6,116.197334,0.0
2026-09-02,YOUTUBE,3,76.726499,0.0
2026-09-03,YOUTUBE,2,67.882036,0.0
2026-09-04,YOUTUBE,0,5.070697,0.0
2026-09-05,YOUTUBE,0,3.470163,0.0
2026-09-06,YOUTUBE,0,2.658911,0.0
2026-09-07,YOUTUBE,0,7.821287,0.0
2026-09-08,YOUTUBE,0,5.214321,0.0
2026-08-30,GMAIL,1,0.010285,0.0
2026-08-31,GMAIL,1,2.392487,0.0
2026-09-01,GMAIL,0,0.683942,0.0
2026-09-02,GMAIL,0,3.946412,0.0
2026-08-11,DISCOVER,30,125.5194,0.0
2026-08-12,DISCOVER,38,83.410984,0.0
2026-08-13,DISCOVER,32,100.228164,2.0
2026-08-14,DISCOVER,38,77.324557,0.0
2026-08-15,DISCOVER,90,216.907455,1.0
2026-08-16,DISCOVER,171,390.634159,1.0
2026-08-17,DISCOVER,275,540.203759,0.0
2026-08-18,DISCOVER,246,523.311645,2.0
2026-08-19,DISCOVER,119,412.849308,0.0
2026-08-20,DISCOVER,172,483.993032,0.0
2026-08-21,DISCOVER,103,249.582719,1.0
2026-08-22,DISCOVER,65,143.245091,0.0
2026-08-23,DISCOVER,28,64.027497,0.0
2026-08-27,DISCOVER,43,115.302134,0.0
2026-08-28,DISCOVER,173,378.66113,0.011148
2026-08-29,DISCOVER,39,201.805737,0.0
2026-08-30,DISCOVER,190,431.484313,2.0
2026-08-31,DISCOVER,135,255.854108,0.0
2026-09-01,DISCOVER,306,743.489871,0.0
2026-09-02,DISCOVER,229,537.946956,2.0
2026-09-03,DISCOVER,185,486.142669,1.0
2026-09-04,DISCOVER,44,120.753389,0.0
2026-09-05,DISCOVER,24,77.018735,0.0
2026-09-06,DISCOVER,49,174.211896,0.0
2026-09-07,DISCOVER,17,32.45991,0.0
2026-09-08,DISCOVER,32,95.366608,0.0
