stem,word_before,clicks_before,conversions_before,CVR_before_%,clicks_after,conversions_after,CVR_after_%,gap
штан,штани,211.0,10.0,4.739336492890995,146.0,0.0,0.0,6.919431279620853
чоловічі,чоловічі,129.0,5.5,4.263565891472868,92.0,0.0,0.0,3.922480620155038
прапор,прапор,259.0,10.0,3.861003861003861,200.0,4.0,2.0,3.722007722007721
спортивн,спортивные,61.0,5.0,8.19672131147541,34.0,0.0,0.0,2.7868852459016393
худі,худі,171.0,5.796,3.3894736842105266,99.0,1.08,1.0909090909090908,2.275578947368421
флаг,флаг,49.0,3.031,6.185714285714286,36.0,0.0,0.0,2.226857142857143
спортивні,спортивні,96.0,3.0,3.125,64.0,0.0,0.0,2.0
широкі,широкі,41.0,2.0,4.878048780487805,29.0,0.0,0.0,1.4146341463414636
куп,купить,52.0,2.0,3.8461538461538463,28.0,0.0,0.0,1.0769230769230769
мужск,мужские,97.0,1.0,1.0309278350515463,56.0,0.0,0.0,0.5773195876288659
військов,військових,28.0,2.0,7.142857142857143,22.0,1.0,4.545454545454546,0.5714285714285714
футболк,футболка,250.0,1.0,0.4,125.0,0.0,0.0,0.5
купит,купити,49.0,0.5,1.0204081632653061,44.0,0.0,0.0,0.4489795918367347
чоловіч,чоловіче,53.0,1.0,1.8867924528301887,20.0,0.0,0.0,0.37735849056603776
худ,худи,111.0,1.0,0.9009009009009009,40.0,0.0,0.0,0.3603603603603604
принт,принтом,54.0,0.0,0.0,33.0,0.0,0.0,0.0
широк,широкие,32.0,0.0,0.0,20.0,0.0,0.0,0.0
корогв,корогва,187.0,14.284,7.638502673796792,123.0,9.5,7.723577235772358,-0.10464171122994692
