word,stem,clicks_before,conversions_before,CVR_before_%,clicks_after,conversions_after,CVR_after_%,cost_after,p_value_decline
прапор,прапор,259,10.0,3.86,200,4.0,2.0,2430.91,0.111934
корогва,корогв,187,14.28,7.64,123,9.5,7.72,1902.79,0.661262
штани,штан,211,10.0,4.74,146,0.0,0.0,1828.55,0.000834
футболка,футболк,250,1.0,0.4,125,0.0,0.0,1245.06,0.605923
чоловічі,чоловічі,129,5.5,4.26,92,0.0,0.0,1189.34,0.01816
худі,худі,171,5.8,3.39,99,1.08,1.09,1010.35,0.147248
спортивні,спортивні,96,3.0,3.12,64,0.0,0.0,820.49,0.131084
флаг,флаг,49,3.03,6.19,36,0.0,0.0,665.72,0.100386
мужской,мужск,97,1.0,1.03,56,0.0,0.0,638.88,0.559721
купити,купит,49,0.5,1.02,44,0.0,0.0,528.99,0.636809
спортивный,спортивн,61,5.0,8.2,34,0.0,0.0,473.57,0.054598
худи,худ,111,1.0,0.9,40,0.0,0.0,403.17,0.696287
corogva,corogva,9,1.35,15.03,15,0.0,0.0,350.72,
купить,куп,52,2.0,3.85,28,0.0,0.0,335.21,0.333477
принтом,принт,54,0.0,0.0,33,0.0,0.0,297.32,
військовий,військов,28,2.0,7.14,22,1.0,4.55,272.21,0.527305
широкие,широк,32,0.0,0.0,20,0.0,0.0,256.65,
широкі,широкі,41,2.0,4.88,29,0.0,0.0,219.09,0.234499
донецка,донецк,14,1.03,7.36,11,0.0,0.0,217.65,
оверсайз,оверсайз,34,0.0,0.0,15,0.0,0.0,213.35,
чоловічий,чоловіч,53,1.0,1.89,20,0.0,0.0,203.64,0.683203
области,област,14,1.03,7.36,13,0.0,0.0,202.43,
заказ,заказ,1,0.0,0.0,7,0.0,0.0,189.6,
військові,військові,11,0.0,0.0,12,0.0,0.0,169.4,
магазин,магазин,14,0.0,0.0,16,1.0,6.25,145.73,
гонорова,гоноров,0,0.0,,1,0.0,0.0,138.3,
мерч,мерч,51,0.0,0.0,15,0.0,0.0,137.1,
нрк,нрк,1,0.0,0.0,13,0.0,0.0,132.1,
дснс,дснс,5,0.0,0.0,12,0.0,0.0,127.78,
брюки,брюк,13,0.0,0.0,7,0.0,0.0,124.69,
зип,зип,34,0.0,0.0,13,0.0,0.0,124.22,
вампір,вампір,18,0.05,0.26,11,0.0,0.0,114.85,
зіп,зіп,39,1.0,2.56,16,0.08,0.5,114.34,0.659939
военная,воен,7,0.0,0.0,11,0.0,0.0,101.98,
ріотдівіжн,ріотдівіжн,0,0.0,,2,0.0,0.0,99.78,
кофта,кофт,53,0.0,0.0,14,1.0,7.14,81.02,
division,division,28,0.0,0.0,10,0.0,0.0,79.25,
замовлення,замовлен,7,0.0,0.0,3,0.0,0.0,79.21,
moletom,moletom,0,0.0,,2,0.0,0.0,77.53,
чорні,чорні,4,0.0,0.0,6,0.0,0.0,76.05,
прапорів,прапорів,3,0.0,0.0,2,0.0,0.0,73.46,
без,без,2,0.0,0.0,4,0.0,0.0,73.37,
друк,друк,1,0.0,0.0,2,0.0,0.0,73.19,
dubhumans,dubhumans,0,0.0,,3,0.0,0.0,73.16,
дпсу,дпсу,0,0.0,,2,0.0,0.0,70.04,
жіночі,жіночі,27,0.0,0.0,10,0.0,0.0,69.16,
черные,черн,19,1.0,5.26,5,0.0,0.0,67.7,
honorovi,honorovi,8,0.0,0.0,3,0.0,0.0,67.67,
дронщики,дронщик,3,0.0,0.0,4,0.0,0.0,66.13,
одяг,одяг,21,0.0,0.0,5,0.0,0.0,64.73,
женская,женск,18,0.0,0.0,6,0.0,0.0,64.38,
дрони,дрон,7,0.0,0.0,4,0.0,0.0,64.15,
зіпки,зіпки,3,0.25,8.33,1,0.0,0.0,59.46,
гур,гур,0,0.0,,1,0.0,0.0,59.31,
український,українськ,11,0.0,0.0,3,0.0,0.0,58.23,
vampire,vampire,4,0.0,0.0,4,0.0,0.0,57.73,
світшот,світшот,3,0.0,0.0,3,0.0,0.0,57.22,
донецька,донецьк,6,0.0,0.0,3,0.0,0.0,55.2,
гонорові,гонорові,2,0.0,0.0,2,0.0,0.0,52.82,
zara,zara,0,0.0,,3,0.0,0.0,52.3,
бпла,бпла,0,0.0,,3,0.0,0.0,50.15,
тойс,тойс,1,0.0,0.0,4,0.0,0.0,50.02,
пекло,пекл,1,0.0,0.0,4,0.0,0.0,50.02,
zoho,zoho,1,0.0,0.0,1,0.0,0.0,49.7,
україна,україн,8,0.0,0.0,3,0.0,0.0,49.68,
group,group,11,0.0,0.0,3,0.0,0.0,49.21,
ghfgjhb,ghfgjhb,0,0.0,,1,0.0,0.0,48.52,
язківець,язківет^,0,0.0,,8,0.0,0.0,48.48,
мілітарі,мілітарі,8,0.0,0.0,5,0.0,0.0,47.91,
foxtrot,foxtrot,7,0.0,0.0,1,0.0,0.0,46.07,
zero,zero,7,0.0,0.0,1,0.0,0.0,46.07,
svastone,svastone,2,0.0,0.0,2,0.0,0.0,45.76,
toys,toys,2,0.0,0.0,4,0.0,0.0,45.48,
сапер,сапер,0,0.0,,2,0.0,0.0,44.32,
стела,стел,0,0.0,,1,0.0,0.0,43.14,
дивижн,дивижн,14,0.0,0.0,14,0.0,0.0,42.76,
фпв,фпв,1,0.0,0.0,4,0.5,12.5,41.67,
помилку,помилк,0,0.0,,1,0.0,0.0,41.29,
правого,прав,0,0.0,,1,0.0,0.0,41.29,
слабким,слабк,3,0.0,0.0,2,0.0,0.0,40.62,
vidro,vidro,0,0.0,,1,0.0,0.0,40.48,
зсу,зсу,11,2.0,18.18,6,0.0,0.0,39.87,
riotdivision,riotdivision,3,0.0,0.0,5,0.0,0.0,39.01,
чорний,чорн,11,1.0,9.09,4,0.0,0.0,38.67,
донбас,донбас,9,0.0,0.0,2,0.0,0.0,38.55,
свастон,свастон,5,0.0,0.0,4,0.0,0.0,38.18,
забой,заб,1,0.0,0.0,2,0.0,0.0,38.0,
харків,харків,1,0.0,0.0,2,0.0,0.0,37.96,
інтернет,інтернет,0,0.0,,2,0.0,0.0,37.27,
жіноче,жіноч,14,1.0,7.14,5,0.0,0.0,37.04,
welcome,welcome,2,0.0,0.0,2,0.0,0.0,36.9,
hell,hell,2,0.0,0.0,2,0.0,0.0,36.9,
хонорові,хонорові,1,0.0,0.0,2,0.0,0.0,36.6,
шеврон,шеврон,5,0.0,0.0,9,0.0,0.0,36.48,
груп,груп,6,0.0,0.0,4,0.0,0.0,36.25,
замовити,замовит,10,0.0,0.0,4,0.0,0.0,36.15,
мінометників,мінометників,7,1.0,14.29,4,0.0,0.0,36.08,
банер,банер,1,0.0,0.0,2,0.0,0.0,35.98,
одежда,одежд,16,0.0,0.0,3,0.0,0.0,35.3,
peklo,peklo,2,0.0,0.0,3,0.0,0.0,34.85,
подмост,подмост,8,1.0,12.5,2,0.0,0.0,34.13,
зіпка,зіпка,24,0.25,1.04,4,0.0,0.0,33.48,
блискавці,блискавці,9,0.0,0.0,4,1.0,25.0,33.37,
club,club,14,0.0,0.0,4,0.0,0.0,33.36,
толстовка,толстовк,18,0.11,0.63,5,0.0,0.0,33.13,
резинці,резинці,0,0.0,,3,0.0,0.0,33.07,
хонорови,хоноров,0,0.0,,2,0.0,0.0,32.86,
азов,аз,3,0.0,0.0,2,0.0,0.0,32.38,
baggy,baggy,2,0.0,0.0,5,0.0,0.0,31.9,
піхоти,піхот,1,0.0,0.0,2,0.0,0.0,31.74,
ukraine,ukraine,5,0.0,0.0,2,0.0,0.0,31.67,
stlv,stlv,2,0.0,0.0,3,0.0,0.0,31.4,
компани,компан,6,0.0,0.0,3,0.0,0.0,30.29,
нарада,нарад,0,0.0,,1,1.0,100.0,30.27,
dead,dead,4,0.0,0.0,1,0.0,0.0,30.27,
souls,souls,3,0.0,0.0,1,0.0,0.0,30.27,
riot,riot,13,0.0,0.0,5,0.0,0.0,30.02,
ukrarmor,ukrarmor,0,0.0,,1,0.0,0.0,29.8,
нації,нації,0,0.0,,2,0.0,0.0,29.17,
ідея,іде,0,0.0,,2,0.0,0.0,29.17,
хижак,хижак,1,0.0,0.0,2,0.0,0.0,29.07,
толстых,толст,0,0.0,,1,0.0,0.0,29.04,
виробник,виробник,1,0.0,0.0,1,0.0,0.0,28.92,
розмір,розмір,2,0.0,0.0,2,0.0,0.0,28.85,
андеграунд,андеграунд,0,0.0,,1,0.0,0.0,28.52,
донецької,донецької,6,0.0,0.0,5,0.0,0.0,28.43,
області,області,4,0.0,0.0,5,0.0,0.0,28.43,
морська,морськ,0,0.0,,1,0.0,0.0,27.85,
альфа,альф,0,0.0,,2,0.0,0.0,27.61,
маверік,маверік,0,0.0,,1,0.0,0.0,27.27,
подарунок,подарунок,2,0.0,0.0,2,0.0,0.0,26.75,
donetsk,donetsk,0,0.0,,1,0.0,0.0,26.21,
zaboy,zaboy,0,0.0,,1,0.0,0.0,26.21,
норд,норд,12,0.0,0.0,7,0.0,0.0,25.34,
кепка,кепк,0,0.0,,1,0.0,0.0,25.1,
пізда,пізда,2,0.0,0.0,1,0.0,0.0,24.9,
com,com,0,0.0,,2,0.0,0.0,24.76,
реб,реб,0,0.0,,3,0.0,0.0,24.63,
капюшоном,капюшон,3,0.11,3.76,3,0.0,0.0,24.53,
стафф,стафф,2,0.0,0.0,2,0.0,0.0,24.39,
drapp,drapp,0,0.0,,1,0.0,0.0,23.9,
кроп,кроп,0,0.0,,3,0.0,0.0,23.28,
манжетів,манжетів,1,0.0,0.0,1,0.0,0.0,22.67,
артилерія,артилері,1,0.0,0.0,1,0.0,0.0,22.44,
y2k,y2k,0,0.0,,1,0.0,0.0,22.17,
nike,nike,0,0.0,,2,0.0,0.0,22.08,
адаптивні,адаптивні,1,0.0,0.0,1,0.0,0.0,22.03,
русоріз,русоріз,15,0.0,0.0,7,0.0,0.0,21.78,
бренд,бренд,7,0.0,0.0,2,0.0,0.0,21.32,
байдикую,байдик,1,0.0,0.0,1,0.0,0.0,21.26,
стіну,стіну,8,0.0,0.0,5,0.0,0.0,21.23,
діловод,діловод,0,0.0,,2,0.0,0.0,21.09,
большая,больш,1,0.0,0.0,3,0.0,0.0,21.07,
костюм,костюм,10,0.0,0.0,3,0.0,0.0,20.83,
project,project,2,0.0,0.0,1,0.0,0.0,20.81,
450,450,0,0.0,,1,0.0,0.0,20.81,
мінометник,мінометник,0,0.0,,1,0.0,0.0,20.75,
maverick,maverick,0,0.0,,2,0.0,0.0,20.58,
good,good,7,0.0,0.0,2,0.0,0.0,20.3,
теплі,теплі,0,0.0,,2,0.0,0.0,20.17,
nord,nord,15,0.0,0.0,4,0.0,0.0,20.15,
стандартний,стандартн,0,0.0,,1,0.0,0.0,19.66,
шоп,шоп,2,0.0,0.0,3,0.0,0.0,19.36,
плакати,плакат,2,0.0,0.0,3,0.0,0.0,19.34,
авіація,авіаці,3,0.0,0.0,2,0.0,0.0,19.09,
галичина,галичин,3,0.0,0.0,2,0.0,0.0,19.09,
company,company,8,0.0,0.0,2,0.0,0.0,18.94,
shirts,shirts,1,0.0,0.0,1,0.0,0.0,18.34,
донбасс,донбасс,5,0.0,0.0,3,0.0,0.0,18.08,
виробництво,виробництв,3,0.0,0.0,1,0.0,0.0,17.79,
милитари,милитар,5,0.0,0.0,2,0.0,0.0,17.72,
фото,фот,4,0.0,0.0,3,0.0,0.0,17.32,
гуд,гуд,11,1.0,9.09,1,0.0,0.0,17.22,
бойс,бойс,11,1.0,9.09,1,0.0,0.0,17.22,
клаб,клаб,10,1.0,10.0,1,0.0,0.0,17.22,
баггі,баггі,5,0.0,0.0,1,0.0,0.0,16.83,
humana,humana,0,0.0,,1,0.0,0.0,16.69,
korogva,korogva,1,0.0,0.0,3,0.0,0.0,16.6,
дівіжн,дівіжн,8,0.0,0.0,4,0.0,0.0,16.55,
практичний,практичн,0,0.0,,1,0.0,0.0,16.55,
кракен,крак,2,0.0,0.0,1,0.0,0.0,16.53,
рост,рост,0,0.0,,1,0.0,0.0,16.46,
высоких,высок,0,0.0,,1,0.0,0.0,16.46,
фенікс,фенікс,0,0.0,,1,0.0,0.0,16.42,
риот,риот,2,0.0,0.0,7,0.0,0.0,16.33,
балахон,балахон,2,0.0,0.0,1,0.0,0.0,15.91,
пизда,пизд,1,0.0,0.0,1,0.0,0.0,15.72,
генг,генг,3,0.0,0.0,1,0.0,0.0,15.61,
оптімус,оптімус,2,0.0,0.0,1,0.0,0.0,15.61,
oversized,oversized,1,0.0,0.0,1,0.0,0.0,15.52,
медик,медик,9,0.0,0.0,2,0.0,0.0,15.34,
украина,украин,7,0.0,0.0,2,0.0,0.0,15.22,
коргва,коргв,1,0.0,0.0,1,0.0,0.0,14.93,
casual,casual,0,0.0,,1,0.0,0.0,14.84,
розвідка,розвідк,5,0.0,0.0,3,0.0,0.0,14.65,
літні,літні,1,0.0,0.0,2,0.0,0.0,14.58,
paul,paul,0,0.0,,1,0.0,0.0,14.38,
shark,shark,1,0.0,0.0,1,0.0,0.0,14.38,
размер,размер,2,0.0,0.0,2,0.0,0.0,14.29,
прямые,прям,3,0.0,0.0,1,0.0,0.0,14.07,
ппо,ппо,0,0.0,,2,0.0,0.0,13.98,
великий,велик,2,0.0,0.0,2,0.0,0.0,13.82,
розмірів,розмірів,2,0.0,0.0,2,0.0,0.0,13.82,
буду,буд,1,0.0,0.0,1,0.0,0.0,13.82,
пеньком,пеньк,0,0.0,,1,0.0,0.0,13.82,
воля,вол,1,0.0,0.0,1,0.0,0.0,13.8,
ціна,ціна,0,0.0,,1,0.0,0.0,13.74,
трикотажні,трикотажні,1,0.0,0.0,1,0.0,0.0,13.45,
джинсы,джинс,6,0.0,0.0,3,0.0,0.0,13.37,
подарки,подарк,0,0.0,,1,0.0,0.0,13.3,
tac,tac,1,0.0,0.0,2,0.0,0.0,13.25,
сталкер,сталкер,0,0.0,,1,0.0,0.0,13.17,
зіпер,зіпер,0,0.0,,2,0.0,0.0,13.11,
патчем,патч,2,0.0,0.0,2,0.0,0.0,13.06,
спортивки,спортивк,1,0.0,0.0,2,0.0,0.0,13.03,
вархаммер,вархаммер,0,0.0,,1,0.0,0.0,13.02,
40000,40000,0,0.0,,1,0.0,0.0,13.02,
спортзала,спортза,2,0.0,0.0,1,0.0,0.0,13.01,
inspiradora,inspiradora,0,0.0,,1,0.0,0.0,13.0,
стену,стен,6,0.0,0.0,1,0.0,0.0,12.97,
ренж,ренж,0,0.0,,1,0.0,0.0,12.94,
рокс,рокс,0,0.0,,1,0.0,0.0,12.94,
таро,тар,3,0.0,0.0,1,0.0,0.0,12.51,
всі,всі,1,0.0,0.0,1,0.0,0.0,12.08,
свої,свої,1,0.0,0.0,1,0.0,0.0,12.08,
неформальной,неформальн,0,0.0,,1,0.0,0.0,12.06,
старшина,старшин,0,0.0,,1,0.0,0.0,11.86,
багги,багг,3,0.0,0.0,1,0.0,0.0,11.68,
индастриз,индастриз,0,0.0,,1,0.0,0.0,11.62,
зипка,зипк,22,0.0,0.0,3,0.0,0.0,11.57,
turwear,turwear,0,0.0,,1,0.0,0.0,11.54,
кріплення,кріплен,3,0.0,0.0,5,0.0,0.0,11.45,
дурнев,дурн,2,0.0,0.0,2,0.0,0.0,11.44,
крою,кро,3,0.0,0.0,2,0.0,0.0,11.42,
пума,пум,2,0.0,0.0,1,0.0,0.0,11.27,
вишивка,вишивк,0,0.0,,2,0.0,0.0,11.21,
придатний,придатн,0,0.0,,1,0.0,0.0,11.14,
необмежено,необмеж,0,0.0,,1,0.0,0.0,11.14,
могилу,могил,0,0.0,,1,0.0,0.0,11.08,
безвісти,безвіст,3,0.0,0.0,1,0.0,0.0,11.03,
зниклих,зникл,3,0.0,0.0,1,0.0,0.0,11.03,
смеш,смеш,0,0.0,,1,0.0,0.0,10.98,
тематика,тематик,0,0.0,,1,0.0,0.0,10.96,
собаки,собак,2,0.0,0.0,1,0.0,0.0,10.94,
жадан,жада,2,0.0,0.0,1,0.0,0.0,10.94,
потасовка,потасовк,5,0.0,0.0,2,0.0,0.0,10.91,
виготовлення,виготовлен,2,0.0,0.0,1,0.0,0.0,10.82,
warrior,warrior,1,0.0,0.0,1,0.0,0.0,10.8,
зимние,зимн,0,0.0,,1,0.0,0.0,10.73,
peclo,peclo,0,0.0,,1,0.0,0.0,10.63,
емблема,емблем,0,0.0,,1,0.0,0.0,10.62,
мнс,мнс,0,0.0,,1,0.0,0.0,10.62,
прямі,прямі,7,1.0,14.29,2,0.0,0.0,10.52,
заколот,заколот,7,0.0,0.0,3,0.0,0.0,10.44,
fire,fire,0,0.0,,1,0.0,0.0,10.35,
point,point,0,0.0,,1,0.0,0.0,10.35,
онлайн,онлайн,0,0.0,,1,0.0,0.0,10.27,
flags,flags,2,0.0,0.0,1,0.0,0.0,10.14,
прикольная,прикольн,0,0.0,,1,0.0,0.0,10.13,
прапар,прапар,0,0.0,,1,0.0,0.0,10.1,
блокнот,блокнот,0,0.0,,1,0.0,0.0,10.0,
джогери,джогер,4,0.0,0.0,1,0.0,0.0,9.98,
украинской,украинск,2,0.0,0.0,1,0.0,0.0,9.8,
r3ich,r3ich,0,0.0,,2,0.0,0.0,9.66,
серые,сер,0,0.0,,1,0.0,0.0,9.64,
sweatpants,sweatpants,0,0.0,,2,0.0,0.0,9.61,
картель,картел,0,0.0,,1,0.0,0.0,9.51,
range,range,3,0.0,0.0,2,0.0,0.0,9.35,
rocks,rocks,3,0.0,0.0,2,0.0,0.0,9.35,
статуетка,статуетк,0,0.0,,1,0.0,0.0,9.28,
george,george,0,0.0,,1,0.0,0.0,9.23,
незалежності,незалежності,0,0.0,,1,0.0,0.0,9.22,
personalizada,personalizada,0,0.0,,1,0.0,0.0,9.08,
fazer,fazer,0,0.0,,1,0.0,0.0,9.08,
bandeira,bandeira,0,0.0,,1,0.0,0.0,9.08,
паркур,паркур,0,0.0,,1,0.0,0.0,9.06,
замку,замк,2,0.0,0.0,1,0.0,0.0,8.93,
прапорі,прапорі,1,0.0,0.0,1,0.0,0.0,8.92,
застібці,застібці,0,0.0,,1,0.0,0.0,8.89,
ogp,ogp,4,0.0,0.0,1,0.0,0.0,8.85,
томі,томі,0,0.0,,1,0.0,0.0,8.75,
тактична,тактичн,3,0.0,0.0,2,0.0,0.0,8.64,
