campaign,term,impressions,clicks,cost,conversions,cluster,week_start
Merchant_Shopping,044 garden,2,0,0.0,0.0,Інше (без чіткої теми),2026-07-20
Merchant_Shopping,044 garden,2,0,0.0,0.0,Інше (без чіткої теми),2026-07-20
Merchant_Shopping,044 garden,2,0,0.0,0.0,Інше (без чіткої теми),2026-07-27
Merchant_Shopping,044 гарден,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-13
Merchant_Shopping,044 гарден,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-20
Merchant_Shopping,044 гарден,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-20
Merchant_Shopping,044garden,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-13
Merchant_Shopping,044garden,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-20
Merchant_Shopping,044garden,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-20
Merchant_Shopping,044garden,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-20
Merchant_Shopping,044garden,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-27
Merchant_Shopping,057bandana,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-13
Merchant_Shopping,057bandana,2,0,0.0,0.0,Інше (без чіткої теми),2026-07-13
Merchant_Shopping,100 algodon,2,0,0.0,0.0,Інше (без чіткої теми),2026-07-20
Merchant_Shopping,100 cotton hoodie women's,1,0,0.0,0.0,Інше (без чіткої теми),2026-08-31
Merchant_Shopping,100 cotton zip up hoodie women's,1,0,0.0,0.0,Інше (без чіткої теми),2026-08-31
Merchant_Shopping,100 cotton футболка,1,0,0.0,0.0,Футболки,2026-07-13
Merchant_Shopping,100 cotton футболка,1,0,0.0,0.0,Футболки,2026-07-27
Merchant_Shopping,100 cotton футболка мем,1,0,0.0,0.0,Футболки,2026-07-13
Merchant_Shopping,100 percent cotton zip up hoodie,1,0,0.0,0.0,Інше (без чіткої теми),2026-08-31
Merchant_Shopping,100 percent life,2,0,0.0,0.0,Інше (без чіткої теми),2026-07-27
Merchant_Shopping,100 percent life,1,0,0.0,0.0,Інше (без чіткої теми),2026-08-17
Merchant_Shopping,1017 alyx 9sm,2,0,0.0,0.0,Інше (без чіткої теми),2026-07-20
Merchant_Shopping,11 11 магазин,1,0,0.0,0.0,Інше (без чіткої теми),2026-08-31
Merchant_Shopping,11 футболка,1,0,0.0,0.0,Футболки,2026-08-03
Merchant_Shopping,12254412,1,0,0.0,0.0,Інше (без чіткої теми),2026-08-03
Merchant_Shopping,12monkeys shop,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-06
Merchant_Shopping,13 litera,1,0,0.0,0.0,Інше (без чіткої теми),2026-08-03
Merchant_Shopping,13 litera,1,0,0.0,0.0,Інше (без чіткої теми),2026-08-10
Merchant_Shopping,13 літера,1,0,0.0,0.0,Інше (без чіткої теми),2026-09-07
Merchant_Shopping,13 літера одяг,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-06
Merchant_Shopping,13 літера одяг,3,0,0.0,0.0,Інше (без чіткої теми),2026-07-13
Merchant_Shopping,13 літера одяг,1,0,0.0,0.0,Інше (без чіткої теми),2026-07-20
Merchant_Shopping,1312 футболка,1,0,0.0,0.0,Футболки,2026-06-29
Merchant_Shopping,1312 футболка,1,0,0.0,0.0,Футболки,2026-07-06
Merchant_Shopping,1312 футболка,4,0,0.0,0.0,Футболки,2026-07-27
