cluster,week_start,clicks,cost,conversions,CPA
Інше (без чіткої теми),2026-06-29,6,72.76,0.0,inf
Інше (без чіткої теми),2026-07-06,50,562.87,1.11285,505.8
Інше (без чіткої теми),2026-07-13,96,998.88,0.25,3995.5
Інше (без чіткої теми),2026-07-20,134,1392.96,0.25,5571.8
Інше (без чіткої теми),2026-07-27,103,825.31,0.0,inf
Інше (без чіткої теми),2026-08-03,72,974.6999999999999,1.0,974.7
Інше (без чіткої теми),2026-08-10,98,1180.64,0.0,inf
Інше (без чіткої теми),2026-08-17,46,409.57,1.0,409.6
Інше (без чіткої теми),2026-08-24,13,77.14,0.0,inf
Інше (без чіткої теми),2026-08-31,57,1013.5600000000001,0.0,inf
Інше (без чіткої теми),2026-09-07,6,102.10000000000001,0.0,inf
Бренд (корогва/corogva),2026-06-29,8,157.25,0.0,inf
Бренд (корогва/corogva),2026-07-06,21,215.33,17.0,12.7
Бренд (корогва/corogva),2026-07-13,31,352.19,4.0,88.0
Бренд (корогва/corogva),2026-07-20,44,783.77,5.3416820000000005,146.7
Бренд (корогва/corogva),2026-07-27,38,891.39,1.0,891.4
Бренд (корогва/corogva),2026-08-03,55,904.11,4.295102,210.5
Бренд (корогва/corogva),2026-08-10,55,775.26,4.5,172.3
Бренд (корогва/corogva),2026-08-17,37,570.47,0.0,inf
Бренд (корогва/corogva),2026-08-24,16,159.11,5.0,31.8
Бренд (корогва/corogva),2026-08-31,43,998.29,1.0,998.3
Бренд (корогва/corogva),2026-09-07,2,44.05,0.0,inf
Донбас/Донецьк,2026-07-13,5,26.88,0.0,inf
Донбас/Донецьк,2026-07-20,0,0.0,0.0,
Донбас/Донецьк,2026-07-27,0,0.0,0.0,
Донбас/Донецьк,2026-08-03,1,6.9,0.0,inf
Донбас/Донецьк,2026-08-10,0,0.0,0.0,
Донбас/Донецьк,2026-08-17,0,0.0,0.0,
Донбас/Донецьк,2026-08-24,0,0.0,0.0,
Донбас/Донецьк,2026-08-31,2,52.42,0.0,inf
Донбас/Донецьк,2026-09-07,0,0.0,0.0,
Мерч/коллаб (артисты),2026-06-29,0,0.0,0.0,
Мерч/коллаб (артисты),2026-07-06,6,36.83,0.0,inf
Мерч/коллаб (артисты),2026-07-13,17,92.78999999999999,0.0,inf
Мерч/коллаб (артисты),2026-07-20,12,99.45,0.0,inf
Мерч/коллаб (артисты),2026-07-27,7,31.339999999999996,0.0,inf
Мерч/коллаб (артисты),2026-08-03,15,66.4,0.0,inf
Мерч/коллаб (артисты),2026-08-10,8,131.57,0.0,inf
Мерч/коллаб (артисты),2026-08-17,3,16.59,0.0,inf
Мерч/коллаб (артисты),2026-08-24,1,5.09,0.0,inf
Мерч/коллаб (артисты),2026-08-31,7,58.92,0.0,inf
Мерч/коллаб (артисты),2026-09-07,1,3.74,0.0,inf
Прапори,2026-06-29,1,18.56,0.0,inf
Прапори,2026-07-06,23,240.87,0.999999,240.9
Прапори,2026-07-13,35,402.94,1.0,402.9
Прапори,2026-07-20,49,1054.65,0.031025,33993.6
Прапори,2026-07-27,53,1028.95,2.0,514.5
Прапори,2026-08-03,68,1130.98,3.0,377.0
Прапори,2026-08-10,94,1379.6000000000001,0.5,2759.2
Прапори,2026-08-17,65,593.47,0.0,inf
Прапори,2026-08-24,20,269.55,0.0,inf
Прапори,2026-08-31,52,795.89,1.0,795.9
Прапори,2026-09-07,5,35.019999999999996,0.0,inf
Світшот/Лонгслів,2026-06-29,0,0.0,0.0,
Світшот/Лонгслів,2026-07-06,0,0.0,0.0,
Світшот/Лонгслів,2026-07-13,1,6.34,0.0,inf
Світшот/Лонгслів,2026-07-20,1,10.05,0.0,inf
Світшот/Лонгслів,2026-07-27,1,6.88,0.0,inf
Світшот/Лонгслів,2026-08-03,1,17.44,0.0,inf
Світшот/Лонгслів,2026-08-10,2,33.870000000000005,0.0,inf
Світшот/Лонгслів,2026-08-17,0,0.0,0.0,
Світшот/Лонгслів,2026-08-24,0,0.0,0.0,
Світшот/Лонгслів,2026-08-31,2,29.540000000000003,0.0,inf
Світшот/Лонгслів,2026-09-07,0,0.0,0.0,
Футболки,2026-06-29,6,30.41,0.0,inf
Футболки,2026-07-06,13,87.62,6.0,14.6
Футболки,2026-07-13,46,484.93,0.0,inf
Футболки,2026-07-20,51,527.77,0.0,inf
Футболки,2026-07-27,56,700.1800000000001,1.0,700.2
Футболки,2026-08-03,50,391.79,0.0,inf
Футболки,2026-08-10,91,1408.96,0.0,inf
Футболки,2026-08-17,38,302.34000000000003,0.0,inf
Футболки,2026-08-24,9,51.92,0.0,inf
Футболки,2026-08-31,32,308.56,0.0,inf
Футболки,2026-09-07,2,22.77,0.0,inf
Худі/Зіп-худі,2026-06-29,0,0.0,0.0,
Худі/Зіп-худі,2026-07-06,30,369.49,0.0,inf
Худі/Зіп-худі,2026-07-13,75,405.44,0.5,810.9
Худі/Зіп-худі,2026-07-20,76,684.15,4.25,161.0
Худі/Зіп-худі,2026-07-27,49,443.7,1.045992,424.2
Худі/Зіп-худі,2026-08-03,50,418.73,1.0,418.7
Худі/Зіп-худі,2026-08-10,17,154.54,0.0,inf
Худі/Зіп-худі,2026-08-17,25,216.98,0.080059,2710.3
Худі/Зіп-худі,2026-08-24,11,37.03,1.0,37.0
Худі/Зіп-худі,2026-08-31,74,856.37,0.0,inf
Худі/Зіп-худі,2026-09-07,18,189.83,0.0,inf
Череп/Skull,2026-07-20,0,0.0,0.0,
Череп/Skull,2026-08-03,0,0.0,0.0,
Череп/Skull,2026-08-10,0,0.0,0.0,
Череп/Skull,2026-08-17,0,0.0,0.0,
Череп/Skull,2026-08-24,0,0.0,0.0,
Череп/Skull,2026-08-31,0,0.0,0.0,
Штани/Шорти,2026-06-29,3,32.57,0.0,inf
Штани/Шорти,2026-07-06,10,84.02,0.0,inf
Штани/Шорти,2026-07-13,24,209.84,1.0,209.8
Штани/Шорти,2026-07-20,62,671.09,4.0,167.8
Штани/Шорти,2026-07-27,59,632.03,3.0,210.7
Штани/Шорти,2026-08-03,40,461.41,1.0,461.4
Штани/Шорти,2026-08-10,80,896.35,1.0,896.4
Штани/Шорти,2026-08-17,29,245.15,0.0,inf
Штани/Шорти,2026-08-24,12,87.21000000000001,0.0,inf
Штани/Шорти,2026-08-31,51,821.46,0.0,inf
Штани/Шорти,2026-09-07,5,53.35,0.0,inf
