date,title,clicks,cost,conv,conv_value,impr
2026-07-13,Світшот чоловічий “Azazel”,0,0.0,0.0,0.0,13
2026-07-13,"Прапор ""Німий""",0,0.0,0.0,0.0,6
2026-07-13,"Лонгслів ""Міномет""",1,14.42,0.0,0.0,32
2026-07-13,"Прапор ""Перехоплювач""",1,1.76,0.0,0.0,10
2026-07-13,"Прапор ""Привиди вогню""",0,0.0,0.0,0.0,27
2026-07-13,"Прапор ""Де посадка""",0,0.0,0.0,0.0,27
2026-07-13,"Прапор ""Штурмовики""",0,0.0,0.0,0.0,52
2026-07-13,"Прапор ""Водій""",0,0.0,0.0,0.0,1
2026-07-13,"Прапор ""Одного разу під Херсоном""",0,0.0,0.0,0.0,2
2026-07-13,"Прапор ""Стабік""",0,0.0,0.0,0.0,26
2026-07-13,"Прапор ""Тиша""",0,0.0,0.0,0.0,31
2026-07-13,"Прапор ""Привіт від Богдани""",0,0.0,0.0,0.0,9
2026-07-13,Футболка unisex “Warrior”,1,4.44,0.0,0.0,349
2026-07-13,Світшот чоловічий “Welcome to hell”,1,6.34,0.0,0.0,60
2026-07-13,"Футболка unisex ""Вампір""",1,6.35,0.0,0.0,167
2026-07-13,"Прапор ""Гострозорий птах""",0,0.0,0.0,0.0,8
2026-07-13,"Прапор ""На виїзд""",0,0.0,0.0,0.0,20
2026-07-13,Зіп-худі unisex “Arch of the Underworld”,0,0.0,0.0,0.0,216
2026-07-13,"Прапор ""Засвіт""",0,0.0,0.0,0.0,39
2026-07-13,"Прапор ""Кулеметник""",0,0.0,0.0,0.0,46
2026-07-13,"Прапор ""Згідно з наказом""",2,14.94,0.0,0.0,60
2026-07-13,Світшот чоловічий “Garden of Bones”,0,0.0,0.0,0.0,14
2026-07-13,"Прапор ""Морпіхи""",0,0.0,0.0,0.0,15
2026-07-13,Світшот чоловічий “Tarot”,1,8.41,0.0,0.0,16
2026-07-13,"Прапор ""Серебрянський ліс""",0,0.0,0.0,0.0,37
