Дата визита,Источник трафика (детально),UTM Source,UTM Campaign,UTM Content,Достигнутая цель,Визиты,Статья,Интерес
2023-07-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",ОТПРАВКА ЛЮБОЙ ФОРМЫ,3,Моя история 1,
2023-08-10,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",ОТПРАВКА ЛЮБОЙ ФОРМЫ,3,Моя история 1,
2023-08-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",ОТПРАВКА ЛЮБОЙ ФОРМЫ,3,Моя история 1,
2023-09-24,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",ОТПРАВКА ЛЮБОЙ ФОРМЫ,3,Моя история 1,
2023-08-12,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",ОТПРАВКА ЛЮБОЙ ФОРМЫ,2,Моя история 1,
2023-08-14,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",ОТПРАВКА ЛЮБОЙ ФОРМЫ,2,Моя история 1,
2023-08-27,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",ОТПРАВКА ЛЮБОЙ ФОРМЫ,2,Моя история 1,
2023-09-21,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",ОТПРАВКА ЛЮБОЙ ФОРМЫ,2,Моя история 1,
2023-09-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",ОТПРАВКА ЛЮБОЙ ФОРМЫ,2,Моя история 1,
2023-09-27,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",ОТПРАВКА ЛЮБОЙ ФОРМЫ,2,Моя история 1,
