Дата визита,Источник трафика (детально),UTM Source,UTM Campaign,UTM Content,Визиты
2023-06-18,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",25
2023-06-27,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",19
2023-06-19,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",17
2023-06-20,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",14
2023-06-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",12
2023-06-30,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",12
2023-06-29,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",11
2023-06-16,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как ""Мокрый нос"" помог мне достичь успеха в бизнесе_6489b3c2b218576c1a6c58ed",5
2023-06-16,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",5
2023-06-15,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",2
2023-06-26,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",2
2023-06-15,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,История успеха: мой путь от работницы к предпринимателю_6489b3c2b218576c1a6c58ed,1
2023-06-18,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как ""Мокрый нос"" помог мне достичь успеха в бизнесе_6489b3c2b218576c1a6c58ed",1
2023-06-19,Яндекс: Директ,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",1
2023-06-22,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",1
2023-09-21,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",24
2023-08-22,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",23
2023-08-27,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",23
2023-08-29,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",23
2023-09-24,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",23
2023-07-12,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",21
2023-08-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",20
2023-07-15,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",19
2023-09-16,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",19
2023-09-22,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",19
2023-09-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",19
2023-08-19,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",18
2023-08-16,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",16
2023-09-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",16
2023-09-19,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",16
2023-07-01,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",15
2023-08-09,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",15
2023-08-10,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",15
2023-08-15,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",15
2023-08-18,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",15
2023-07-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",14
2023-08-21,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",14
2023-09-18,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",14
2023-09-26,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",14
2023-07-14,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",13
2023-07-27,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",13
2023-08-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",13
2023-08-26,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",13
2023-08-28,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",13
2023-09-20,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",13
2023-07-28,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",12
2023-08-14,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",12
2023-07-03,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",11
2023-07-26,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",11
2023-08-04,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",11
2023-08-12,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",11
2023-08-23,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",11
2023-07-02,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",10
2023-07-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",10
2023-08-13,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",10
2023-08-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",10
2023-09-23,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",10
2023-08-20,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",9
2023-08-05,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",8
2023-08-06,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 | Цена перехода | Ж25-54,"Как я преобразила свою жизнь, открыв зоомагазин_6489b3c2b218576c1a6c58ed",8
