Дата визита,Источник трафика (детально),UTM Source,UTM Campaign,UTM Content,Достигнутая цель,Визиты
2026-04-28,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,3
2026-01-10,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_франшиза / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943ddc5d441fa401a721f35",ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-03-25,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54/ интерес_открытие бизнеса / рся / #dzen / 2603-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-04-15,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-04-21,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М25-44 / интерес_франшиза / рся / #dzen / 2603-1,market,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-05-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-06-15,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-07-11,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-07-17,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: Моя история 1 / Ж 25-54 / интерес_франшиза / рся / #dzen / 2602-1,history,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-01-01,Яндекс ПромоСтраницы,yandex.promopages,Промостатья: рынок и тренды 1 / М/Ж25-54 / интерес_открытие бизнеса / рся / #promo / 2512-1,"Почему зоомагазины процветают, пока другие закрываются_6943e83c924d6d6e4f7b8e27",ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
