Дата визита,UTM Campaign,Пол,Возраст,Визиты
2023-06-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,15
2023-06-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,10
2023-06-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,9
2023-06-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,8
2023-06-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2023-06-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,7
2023-06-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2023-06-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2023-06-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,4
2023-06-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2023-06-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-06-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2023-06-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,3
2023-06-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2023-06-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2023-06-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,55 лет и старше,2
2023-06-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-06-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2023-06-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2023-06-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-06-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2023-06-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
