Дата визита,UTM Campaign,Пол,Возраст,Достигнутая цель,Визиты
2023-06-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,3
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2023-08-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2023-08-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2023-09-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2023-09-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2023-09-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2023-07-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-04,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2023-12-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2023-10-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-10-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-11-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-11-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-11-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-11-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-12-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
