Дата визита,UTM Campaign,Город,Визиты
2023-06-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,9
2023-06-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,6
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,5
2023-06-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,5
2023-06-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,4
2023-06-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,4
2023-06-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,4
2023-06-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,3
2023-06-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Самара,3
2023-06-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,2
2023-06-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Новосибирск,2
2023-06-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Уфа,2
2023-06-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Нижний Новгород,2
2023-06-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,2
2023-06-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Санкт-Петербург,2
2023-06-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Новосибирск,1
2023-06-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Тольятти,1
2023-06-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Уфа,1
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Астрахань,1
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Кимры,1
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Омск,1
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Оренбург,1
2023-06-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Саратов,1
2023-06-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Владикавказ,1
