Дата визита,UTM Campaign,Город,Достигнутая цель,Визиты
2023-06-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Донской,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Энгельс,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Владикавказ,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-04,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Ставрополь,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Екатеринбург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Краснокамск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Михайловка,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Нижний Новгород,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Новокузнецк,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Ставрополь,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Иркутск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Киров,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Самара,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Нижний Новгород,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Абинск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Тюмень,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Новосибирск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Минусинск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Санкт-Петербург,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Хабаровск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Ростов-на-Дону,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Уфа,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-10-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-10-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Москва,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-11-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Тамбов,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-11-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Новосибирск,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-11-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
