Дата визита,UTM Source,Достигнутая цель,Пол,Возраст,Визиты
2023-07-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,3
2023-08-10,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,Не определено,2
2023-08-12,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2023-08-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2023-09-21,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2023-09-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2023-09-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2023-12-13,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2023-12-19,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,2
2023-06-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-07-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-07-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-08-04,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-08-07,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2023-08-10,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2023-08-10,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2023-08-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,45-54 года,1
2023-08-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2023-08-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
