Дата визита,UTM Source,Пол,Возраст,Визиты
2026-03-25,yandex.promopages,женский,45-54 года,69
2026-01-29,yandex.promopages,женский,45-54 года,55
2026-02-25,yandex.promopages,женский,45-54 года,52
2026-02-26,yandex.promopages,женский,45-54 года,52
2026-01-07,yandex.promopages,женский,45-54 года,40
2026-01-28,yandex.promopages,женский,45-54 года,38
2026-02-01,yandex.promopages,женский,45-54 года,34
2026-01-08,yandex.promopages,женский,45-54 года,33
2026-03-09,yandex.promopages,женский,45-54 года,33
2026-03-25,yandex.promopages,женский,35‑44 года,32
2026-01-30,yandex.promopages,женский,45-54 года,30
2026-02-27,yandex.promopages,женский,45-54 года,29
2026-02-26,yandex.promopages,женский,35‑44 года,28
2026-01-06,yandex.promopages,женский,45-54 года,27
2026-01-09,yandex.promopages,женский,45-54 года,27
2026-01-27,yandex.promopages,женский,45-54 года,27
2026-03-12,yandex.promopages,женский,45-54 года,25
2026-03-25,yandex.promopages,мужской,35‑44 года,23
2026-01-28,yandex.promopages,женский,35‑44 года,22
2026-01-31,yandex.promopages,женский,45-54 года,22
2026-01-14,yandex.promopages,женский,45-54 года,20
2026-01-29,yandex.promopages,женский,35‑44 года,20
2026-03-09,yandex.promopages,мужской,45-54 года,20
2026-01-08,yandex.promopages,мужской,45-54 года,19
2026-02-26,yandex.promopages,мужской,45-54 года,18
2026-03-25,yandex.promopages,Не определено,Не определено,17
2026-02-03,yandex.promopages,женский,45-54 года,16
2026-01-15,yandex.promopages,женский,45-54 года,15
2026-02-01,yandex.promopages,женский,35‑44 года,15
2026-02-02,yandex.promopages,женский,45-54 года,15
2026-02-26,yandex.promopages,женский,25‑34 года,15
2026-03-25,yandex.promopages,женский,25‑34 года,15
2026-02-26,yandex.promopages,Не определено,Не определено,14
2026-03-26,yandex.promopages,мужской,35‑44 года,14
2026-01-07,yandex.promopages,Не определено,Не определено,13
2026-01-14,yandex.promopages,женский,35‑44 года,13
2026-01-27,yandex.promopages,женский,35‑44 года,12
2026-01-31,yandex.promopages,женский,35‑44 года,12
2026-02-03,yandex.promopages,женский,35‑44 года,12
2026-02-25,yandex.promopages,Не определено,Не определено,12
2026-02-25,yandex.promopages,мужской,45-54 года,12
2026-01-06,yandex.promopages,мужской,45-54 года,11
2026-01-08,yandex.promopages,Не определено,Не определено,11
2026-01-26,yandex.promopages,женский,45-54 года,11
