Дата визита,UTM Source,Город,Страна,Визиты
2023-06-18,yandex.promopages,Не определено,Россия,9
2023-06-27,yandex.promopages,Не определено,Россия,6
2023-06-16,yandex.promopages,Не определено,Россия,5
2023-06-20,yandex.promopages,Не определено,Россия,5
2023-06-17,yandex.promopages,Не определено,Россия,4
2023-06-19,yandex.promopages,Не определено,Россия,4
2023-06-29,yandex.promopages,Не определено,Россия,4
2023-06-18,yandex.promopages,Москва,Россия,3
2023-06-18,yandex.promopages,Самара,Россия,3
2023-06-17,yandex.promopages,Москва,Россия,2
2023-06-19,yandex.promopages,Новосибирск,Россия,2
2023-06-19,yandex.promopages,Уфа,Россия,2
2023-06-20,yandex.promopages,Нижний Новгород,Россия,2
2023-06-26,yandex.promopages,Москва,Россия,2
2023-06-27,yandex.promopages,Санкт-Петербург,Россия,2
2023-06-15,yandex.promopages,Новосибирск,Россия,1
2023-06-15,yandex.promopages,Тольятти,Россия,1
2023-06-15,yandex.promopages,Уфа,Россия,1
2023-06-16,yandex.promopages,Астрахань,Россия,1
2023-06-16,yandex.promopages,Кимры,Россия,1
2023-06-16,yandex.promopages,Омск,Россия,1
2023-06-16,yandex.promopages,Оренбург,Россия,1
2023-06-16,yandex.promopages,Саратов,Россия,1
2023-06-17,yandex.promopages,Владикавказ,Россия,1
2023-06-17,yandex.promopages,Новосибирск,Россия,1
2023-06-17,yandex.promopages,Пермь,Россия,1
2023-06-17,yandex.promopages,Ростов-на-Дону,Россия,1
2023-06-17,yandex.promopages,Санкт-Петербург,Россия,1
2023-06-17,yandex.promopages,Тула,Россия,1
2023-06-18,yandex.promopages,Абакан,Россия,1
2023-06-18,yandex.promopages,Владимир,Россия,1
2023-06-18,yandex.promopages,Волгоград,Россия,1
2023-06-18,yandex.promopages,Воронеж,Россия,1
2023-06-18,yandex.promopages,Краснодар,Россия,1
2023-06-18,yandex.promopages,Михайловка,Россия,1
2023-06-18,yandex.promopages,Нижний Новгород,Россия,1
2023-06-18,yandex.promopages,Ростов-на-Дону,Россия,1
2023-06-18,yandex.promopages,Санкт-Петербург,Россия,1
2023-06-18,yandex.promopages,Ставрополь,Россия,1
2023-06-18,yandex.promopages,Франкфурт-на-Майне,Германия,1
2023-06-19,yandex.promopages,Анапа,Россия,1
2023-06-19,yandex.promopages,Барнаул,Россия,1
2023-06-19,yandex.promopages,Брянск,Россия,1
2023-06-19,yandex.promopages,Красноярск,Россия,1
2023-06-19,yandex.promopages,Нижний Новгород,Россия,1
2023-06-19,yandex.promopages,Ростов-на-Дону,Россия,1
2023-06-19,yandex.promopages,Самара,Россия,1
2023-06-19,yandex.promopages,Санкт-Петербург,Россия,1
2023-06-19,yandex.promopages,Тамбов,Россия,1
2023-06-19,yandex.promopages,Ульяновск,Россия,1
2023-06-20,yandex.promopages,Екатеринбург,Россия,1
2023-06-20,yandex.promopages,Красноярск,Россия,1
2023-06-20,yandex.promopages,Ростов-на-Дону,Россия,1
2023-06-20,yandex.promopages,Смоленск,Россия,1
2023-06-20,yandex.promopages,Хабаровск,Россия,1
2023-06-20,yandex.promopages,Чебоксары,Россия,1
2023-06-20,yandex.promopages,Челябинск,Россия,1
2023-06-22,yandex.promopages,Брянск,Россия,1
2023-06-27,yandex.promopages,Бежецк,Россия,1
2023-06-27,yandex.promopages,Волгоград,Россия,1
2023-06-27,yandex.promopages,Казань,Россия,1
2023-06-27,yandex.promopages,Майкоп,Россия,1
2023-06-27,yandex.promopages,Москва,Россия,1
2023-06-27,yandex.promopages,Нерюнгри,Россия,1
2023-06-27,yandex.promopages,Пятигорск,Россия,1
2023-06-27,yandex.promopages,Саратов,Россия,1
2023-06-27,yandex.promopages,Тверь,Россия,1
2023-06-27,yandex.promopages,Тула,Россия,1
2023-06-27,yandex.promopages,Шуя,Россия,1
2023-06-29,yandex.promopages,Владимир,Россия,1
2023-06-29,yandex.promopages,Междуреченск,Россия,1
2023-06-29,yandex.promopages,Пермь,Россия,1
2023-06-29,yandex.promopages,Санкт-Петербург,Россия,1
2023-06-29,yandex.promopages,Смоленск,Россия,1
2023-06-29,yandex.promopages,Тольятти,Россия,1
2023-06-29,yandex.promopages,Ярославль,Россия,1
2023-06-30,yandex.promopages,Не определено,Россия,1
2023-06-30,yandex.promopages,Калуга,Россия,1
2023-06-30,yandex.promopages,Ковров,Россия,1
2023-06-30,yandex.promopages,Краснодар,Россия,1
2023-06-30,yandex.promopages,Москва,Россия,1
2023-06-30,yandex.promopages,Омск,Россия,1
2023-06-30,yandex.promopages,Ростов-на-Дону,Россия,1
2023-06-30,yandex.promopages,Саратов,Россия,1
2023-06-30,yandex.promopages,Секаукус,США,1
2023-06-30,yandex.promopages,Тамбов,Россия,1
2023-06-30,yandex.promopages,Химки,Россия,1
2023-06-30,yandex.promopages,Якутск,Россия,1
2023-08-22,yandex.promopages,Не определено,Россия,12
2023-07-15,yandex.promopages,Не определено,Россия,8
2023-09-26,yandex.promopages,Не определено,Россия,8
2023-08-11,yandex.promopages,Не определено,Россия,7
2023-08-18,yandex.promopages,Не определено,Россия,7
2023-08-19,yandex.promopages,Не определено,Россия,7
2023-07-14,yandex.promopages,Не определено,Россия,6
2023-08-27,yandex.promopages,Не определено,Россия,6
2023-08-29,yandex.promopages,Не определено,Россия,6
2023-07-01,yandex.promopages,Не определено,Россия,5
2023-07-25,yandex.promopages,Не определено,Россия,5
2023-07-26,yandex.promopages,Не определено,Россия,5
2023-08-04,yandex.promopages,Не определено,Россия,5
2023-08-14,yandex.promopages,Не определено,Россия,5
2023-08-15,yandex.promopages,Не определено,Россия,5
2023-08-16,yandex.promopages,Не определено,Россия,5
2023-09-16,yandex.promopages,Не определено,Россия,5
2023-09-17,yandex.promopages,Не определено,Россия,5
2023-09-21,yandex.promopages,Не определено,Россия,5
2023-09-21,yandex.promopages,Москва,Россия,5
2023-09-22,yandex.promopages,Москва,Россия,5
2023-09-24,yandex.promopages,Не определено,Россия,5
2023-07-27,yandex.promopages,Не определено,Россия,4
2023-07-28,yandex.promopages,Москва,Россия,4
2023-08-06,yandex.promopages,Не определено,Россия,4
2023-08-07,yandex.promopages,Не определено,Россия,4
2023-08-10,yandex.promopages,Не определено,Россия,4
2023-08-17,yandex.promopages,Не определено,Россия,4
2023-08-19,yandex.promopages,Москва,Россия,4
2023-08-20,yandex.promopages,Не определено,Россия,4
2023-08-21,yandex.promopages,Москва,Россия,4
2023-08-29,yandex.promopages,Москва,Россия,4
2023-09-16,yandex.promopages,Москва,Россия,4
2023-09-19,yandex.promopages,Не определено,Россия,4
2023-09-19,yandex.promopages,Москва,Россия,4
