Дата визита,UTM Source,Город,Страна,Достигнутая цель,Визиты
2023-06-27,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-22,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-25,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-25,yandex.promopages,Донской,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-25,yandex.promopages,Энгельс,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-07-27,yandex.promopages,Владикавказ,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-04,yandex.promopages,Ставрополь,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-07,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-10,yandex.promopages,Екатеринбург,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-10,yandex.promopages,Краснокамск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-10,yandex.promopages,Михайловка,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-10,yandex.promopages,Нижний Новгород,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-11,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-11,yandex.promopages,Новокузнецк,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-11,yandex.promopages,Ставрополь,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-12,yandex.promopages,Иркутск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-12,yandex.promopages,Санкт-Петербург,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-13,yandex.promopages,Москва,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-14,yandex.promopages,Киров,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-14,yandex.promopages,Москва,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-15,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-19,yandex.promopages,Самара,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-22,yandex.promopages,Нижний Новгород,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-27,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-08-27,yandex.promopages,Абинск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-16,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-18,yandex.promopages,Санкт-Петербург,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-20,yandex.promopages,Тюмень,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2023-09-21,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
