Keyword,Avg_monthly_searches,Competition,Competition_index,Low_bid,High_bid
car accident lawyer,590,LOW,16,225.26,1000.0
personal injury attorney,140,LOW,16,191.45,751.16
truck accident lawyer,70,LOW,9,0.0,0.0
motorcycle accident lawyer,50,LOW,7,0.0,0.0
wrongful death lawyer,50,LOW,2,0.0,0.0
dog bite lawyer,50,MEDIUM,58,0.0,0.0
rideshare accident lawyer,30,UNSPECIFIED,0,0.0,0.0
slip and fall lawyer,30,LOW,0,0.0,0.0
workplace injury lawyer,30,HIGH,96,136.49,740.0
pedestrian accident lawyer,20,LOW,0,0.0,0.0
